,湖州市,鄂州市
包装胶袋,"('杭州市', 11032395)","('黄山市', 27168127)"
雨具,"('无锡市', 185947)","('安庆市', 457910)"
称重工具,"('苏州市', 139152)","('合肥市', 342672)"
封条类,"('无锡市', 1434901)","('长沙市', 3533555)"
贴纸类,"('苏州市', 540418)","('苏州市', 1330821)"
一次性编织袋,"('杭州市', 4739585)","('杭州市', 11671596)"
运单袋,"('保定市', 100445)","('石家庄市', 247354)"
装备箱包,"('泉州市', 381599)","('益阳市', 939718)"
背胶运单,"('上海市', 158358)","('上海市', 389968)"
常规运单,"('广州市', 1273106)","('广州市', 3135122)"
春秋冬装,"('无锡市', 404849)","('荆州市', 996971)"
防护用品,"('苏州市', 11279)","('常州市', 27774)"
封箱胶纸,"('武汉市', 9842948)","('武汉市', 24239021)"
配饰用品,"('金华市', 2778)","('金华市', 6840)"
文件封,"('杭州市', 26576070)","('杭州市', 65445630)"
夏装,"('无锡市', 299263)","('无锡市', 736959)"
