,中山市,湖州市,鄂州市
包装胶袋,"('惠州市', 6509845)","('杭州市', 10777649)","('黄山市', 20913028)"
雨具,"('安庆市', 109721)","('无锡市', 181654)","('安庆市', 352482)"
称重工具,"('中山市', 82109)","('苏州市', 135939)","('合肥市', 263777)"
封条类,"('东莞市', 846687)","('无锡市', 1401768)","('长沙市', 2720001)"
贴纸类,"('珠海市', 318882)","('苏州市', 527939)","('苏州市', 1024417)"
一次性编织袋,"('肇庆市', 2796670)","('杭州市', 4630145)","('杭州市', 8984367)"
运单袋,"('东莞市', 59269)","('保定市', 98126)","('石家庄市', 190404)"
装备箱包,"('深圳市', 225169)","('泉州市', 372788)","('益阳市', 723360)"
背胶运单,"('广州市', 93442)","('上海市', 154701)","('上海市', 300183)"
常规运单,"('珠海市', 751217)","('广州市', 1243709)","('广州市', 2413302)"
春秋冬装,"('荆州市', 238887)","('无锡市', 395500)","('荆州市', 767432)"
防护用品,"('中山市', 6655)","('苏州市', 11018)","('常州市', 21380)"
封箱胶纸,"('东莞市', 5807993)","('武汉市', 9615667)","('武汉市', 18658310)"
配饰用品,"('珠海市', 1639)","('金华市', 2713)","('金华市', 5265)"
文件封,"('广州市', 15681645)","('杭州市', 25962408)","('杭州市', 50377646)"
夏装,"('绍兴市', 176585)","('无锡市', 292353)","('无锡市', 567284)"
