,济南市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,沈阳市/铁岭市/抚顺市
包装胶袋,"('保定市', 2067172.0)","('惠州市', 8917162.0)","('贵阳市', 2034623.0)","('杭州市', 13837801.0)","('保定市', 4765537.0)","('保定市', 1075691.0)"
雨具,"('无锡市', 34841.0)","('安庆市', 150296.0)","('安庆市', 34293.0)","('无锡市', 233232.0)","('安庆市', 80322.0)","('无锡市', 18130.0)"
称重工具,"('合肥市', 26073.0)","('中山市', 112472.0)","('南宁市/崇左市', 25663.0)","('苏州市', 174537.0)","('合肥市', 60108.0)","('合肥市', 13568.0)"
封条类,"('德州市', 268862.0)","('东莞市', 1159789.0)","('长沙市', 264628.0)","('无锡市', 1799779.0)","('德州市', 619818.0)","('沈阳市/铁岭市/抚顺市', 139907.0)"
贴纸类,"('苏州市', 101260.0)","('珠海市', 436804.0)","('广州市', 99665.0)","('苏州市', 677840.0)","('苏州市', 233438.0)","('苏州市', 52692.0)"
一次性编织袋,"('盐城市', 888070.0)","('肇庆市', 3830868.0)","('肇庆市', 874087.0)","('杭州市', 5944805.0)","('盐城市', 2047304.0)","('盐城市', 462124.0)"
运单袋,"('保定市', 18821.0)","('东莞市', 81187.0)","('石家庄市', 18524.0)","('保定市', 125987.0)","('石家庄市', 43388.0)","('保定市', 9794.0)"
装备箱包,"('益阳市', 71501.0)","('深圳市', 308435.0)","('益阳市', 70376.0)","('泉州市', 478635.0)","('益阳市', 164835.0)","('益阳市', 37207.0)"
背胶运单,"('石家庄市', 29672.0)","('广州市', 127996.0)","('石家庄市', 29205.0)","('上海市', 198626.0)","('石家庄市', 68404.0)","('石家庄市', 15440.0)"
常规运单,"('长春市', 238546.0)","('珠海市', 1029014.0)","('广州市', 234790.0)","('广州市', 1596842.0)","('长春市', 549929.0)","('长春市', 124132.0)"
春秋冬装,"('济宁市', 75858.0)","('荆州市', 327227.0)","('荆州市', 74663.0)","('无锡市', 507797.0)","('廊坊市', 174878.0)","('廊坊市', 39474.0)"
防护用品,"('常州市', 2113.0)","('中山市', 9116.0)","('中山市', 2080.0)","('苏州市', 14147.0)","('常州市', 4872.0)","('常州市', 1100.0)"
封箱胶纸,"('武汉市', 1844302.0)","('东莞市', 7955766.0)","('武汉市', 1815262.0)","('武汉市', 12345892.0)","('武汉市', 4251745.0)","('武汉市', 959717.0)"
配饰用品,"('保定市', 520.0)","('珠海市', 2245.0)","('广州市', 512.0)","('金华市', 3484.0)","('保定市', 1200.0)","('沈阳市/铁岭市/抚顺市', 271.0)"
文件封,"('济宁市', 4979636.0)","('广州市', 21480658.0)","('济宁市', 4901229.0)","('杭州市', 33334047.0)","('济宁市', 11479759.0)","('长春市', 2591246.0)"
夏装,"('天津市', 56074.0)","('绍兴市', 241886.0)","('成都市/资阳市/眉山市', 55191.0)","('无锡市', 375362.0)","('廊坊市', 129269.0)","('天津市', 29179.0)"
