,济南市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,沈阳市/铁岭市/抚顺市,鄂州市
包装胶袋,"('保定市', 2007651.0)","('惠州市', 8209741.0)","('贵阳市', 1969620.0)","('杭州市', 11658342.0)","('保定市', 4562440.0)","('保定市', 1075691.0)","('黄山市', 3214501.0)"
雨具,"('无锡市', 33838.0)","('安庆市', 138372.0)","('安庆市', 33197.0)","('无锡市', 196497.0)","('安庆市', 76898.0)","('无锡市', 18130.0)","('安庆市', 54179.0)"
称重工具,"('合肥市', 25323.0)","('中山市', 103550.0)","('南宁市/崇左市', 24843.0)","('苏州市', 147047.0)","('合肥市', 57546.0)","('合肥市', 13568.0)","('合肥市', 40545.0)"
封条类,"('德州市', 261120.0)","('东莞市', 1067780.0)","('长沙市', 256174.0)","('无锡市', 1516313.0)","('德州市', 593403.0)","('沈阳市/铁岭市/抚顺市', 139907.0)","('长沙市', 418086.0)"
贴纸类,"('苏州市', 98344.0)","('珠海市', 402151.0)","('广州市', 96481.0)","('苏州市', 571080.0)","('苏州市', 223489.0)","('苏州市', 52692.0)","('苏州市', 157461.0)"
一次性编织袋,"('盐城市', 862499.0)","('肇庆市', 3526956.0)","('肇庆市', 846161.0)","('杭州市', 5008496.0)","('盐城市', 1960053.0)","('盐城市', 462124.0)","('杭州市', 1380970.0)"
运单袋,"('保定市', 18279.0)","('东莞市', 74746.0)","('石家庄市', 17933.0)","('保定市', 106144.0)","('石家庄市', 41539.0)","('保定市', 9794.0)","('石家庄市', 29267.0)"
装备箱包,"('益阳市', 69443.0)","('深圳市', 283966.0)","('益阳市', 68127.0)","('泉州市', 403250.0)","('益阳市', 157810.0)","('益阳市', 37207.0)","('益阳市', 111186.0)"
背胶运单,"('石家庄市', 28818.0)","('广州市', 117842.0)","('石家庄市', 28272.0)","('上海市', 167343.0)","('石家庄市', 65489.0)","('石家庄市', 15440.0)","('上海市', 46141.0)"
常规运单,"('长春市', 231677.0)","('珠海市', 947380.0)","('广州市', 227288.0)","('广州市', 1345338.0)","('长春市', 526492.0)","('长春市', 124132.0)","('广州市', 370944.0)"
春秋冬装,"('济宁市', 73673.0)","('荆州市', 301267.0)","('荆州市', 72278.0)","('无锡市', 427818.0)","('廊坊市', 167425.0)","('廊坊市', 39474.0)","('荆州市', 117960.0)"
防护用品,"('常州市', 2052.0)","('中山市', 8393.0)","('中山市', 2014.0)","('苏州市', 11918.0)","('常州市', 4664.0)","('常州市', 1100.0)","('常州市', 3286.0)"
封箱胶纸,"('武汉市', 1791198.0)","('东莞市', 7324615.0)","('武汉市', 1757268.0)","('武汉市', 10401409.0)","('武汉市', 4070545.0)","('武汉市', 959717.0)","('武汉市', 2867933.0)"
配饰用品,"('保定市', 505.0)","('珠海市', 2067.0)","('广州市', 496.0)","('金华市', 2935.0)","('保定市', 1149.0)","('沈阳市/铁岭市/抚顺市', 271.0)","('金华市', 809.0)"
文件封,"('济宁市', 4836254.0)","('广州市', 19776544.0)","('济宁市', 4744642.0)","('杭州市', 28083921.0)","('济宁市', 10990517.0)","('长春市', 2591246.0)","('杭州市', 7743450.0)"
夏装,"('天津市', 54459.0)","('绍兴市', 222696.0)","('成都市/资阳市/眉山市', 53428.0)","('无锡市', 316242.0)","('廊坊市', 123760.0)","('天津市', 29179.0)","('无锡市', 87196.0)"
