,济南市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,西安市/咸阳市,沈阳市/铁岭市/抚顺市,鄂州市
包装胶袋,"('保定市', 2007651.0)","('惠州市', 8209741.0)","('贵阳市', 1707061.0)","('杭州市', 11658342.0)","('保定市', 4263828.0)","('保定市', 1088791.0)","('保定市', 1075691.0)","('黄山市', 2686881.0)"
雨具,"('无锡市', 33838.0)","('安庆市', 138372.0)","('安庆市', 28772.0)","('无锡市', 196497.0)","('安庆市', 71865.0)","('安庆市', 18351.0)","('无锡市', 18130.0)","('安庆市', 45286.0)"
称重工具,"('合肥市', 25323.0)","('中山市', 103550.0)","('南宁市/崇左市', 21531.0)","('苏州市', 147047.0)","('合肥市', 53780.0)","('合肥市', 13733.0)","('合肥市', 13568.0)","('合肥市', 33890.0)"
封条类,"('德州市', 261120.0)","('东莞市', 1067780.0)","('长沙市', 222025.0)","('无锡市', 1516313.0)","('德州市', 554564.0)","('德州市', 141611.0)","('沈阳市/铁岭市/抚顺市', 139907.0)","('长沙市', 349463.0)"
贴纸类,"('苏州市', 98344.0)","('珠海市', 402151.0)","('广州市', 83620.0)","('苏州市', 571080.0)","('苏州市', 208862.0)","('苏州市', 53334.0)","('苏州市', 52692.0)","('苏州市', 131616.0)"
一次性编织袋,"('盐城市', 862499.0)","('肇庆市', 3526956.0)","('肇庆市', 733364.0)","('杭州市', 5008496.0)","('盐城市', 1831767.0)","('盐城市', 467751.0)","('盐城市', 462124.0)","('杭州市', 1154301.0)"
运单袋,"('保定市', 18279.0)","('东莞市', 74746.0)","('石家庄市', 15542.0)","('保定市', 106144.0)","('石家庄市', 38820.0)","('石家庄市', 9913.0)","('保定市', 9794.0)","('石家庄市', 24463.0)"
装备箱包,"('益阳市', 69443.0)","('深圳市', 283966.0)","('益阳市', 59045.0)","('泉州市', 403250.0)","('益阳市', 147481.0)","('益阳市', 37660.0)","('益阳市', 37207.0)","('益阳市', 92936.0)"
背胶运单,"('石家庄市', 28818.0)","('广州市', 117842.0)","('石家庄市', 24503.0)","('上海市', 167343.0)","('石家庄市', 61203.0)","('石家庄市', 15628.0)","('石家庄市', 15440.0)","('上海市', 38567.0)"
常规运单,"('长春市', 231677.0)","('珠海市', 947380.0)","('广州市', 196990.0)","('广州市', 1345338.0)","('长春市', 492033.0)","('广州市', 125643.0)","('长春市', 124132.0)","('广州市', 310058.0)"
春秋冬装,"('济宁市', 73673.0)","('荆州市', 301267.0)","('荆州市', 62643.0)","('无锡市', 427818.0)","('廊坊市', 156467.0)","('荆州市', 39955.0)","('廊坊市', 39474.0)","('荆州市', 98599.0)"
防护用品,"('常州市', 2052.0)","('中山市', 8393.0)","('中山市', 1745.0)","('苏州市', 11918.0)","('常州市', 4359.0)","('常州市', 1113.0)","('常州市', 1100.0)","('常州市', 2747.0)"
封箱胶纸,"('武汉市', 1791198.0)","('东莞市', 7324615.0)","('武汉市', 1523016.0)","('武汉市', 10401409.0)","('武汉市', 3804127.0)","('武汉市', 971404.0)","('武汉市', 959717.0)","('武汉市', 2397197.0)"
配饰用品,"('保定市', 505.0)","('珠海市', 2067.0)","('广州市', 430.0)","('金华市', 2935.0)","('保定市', 1073.0)","('保定市', 274.0)","('沈阳市/铁岭市/抚顺市', 271.0)","('金华市', 676.0)"
文件封,"('济宁市', 4836254.0)","('广州市', 19776544.0)","('济宁市', 4112161.0)","('杭州市', 28083921.0)","('济宁市', 10271187.0)","('济宁市', 2622802.0)","('长春市', 2591246.0)","('杭州市', 6472460.0)"
夏装,"('天津市', 54459.0)","('绍兴市', 222696.0)","('成都市/资阳市/眉山市', 46305.0)","('无锡市', 316242.0)","('廊坊市', 115660.0)","('成都市/资阳市/眉山市', 29534.0)","('天津市', 29179.0)","('无锡市', 72884.0)"
