,CDC,shipping_cost,Quantity,Quantity_SKU1,Quantity_SKU2,Quantity_SKU3,Quantity_SKU4,Quantity_SKU5
0,28,2088.8642067801807,7361.90128779113,7361.90128779113,0.0,0.0,0.0,0.0
1,746,1264168.908343676,5039517.48739502,0.0,0.0,0.0,5039517.48739502,0.0
2,851,5230326.612528853,10079034.97479,0.0,0.0,0.0,10079034.97479,0.0
3,595,563.4242913699868,1118.53504819278,0.0,0.0,1118.53504819278,0.0,0.0
4,760,59.21300838122939,1118.53504819278,0.0,0.0,1118.53504819278,0.0,0.0
5,537,4188812.58406683,10086396.876078082,7361.90128779113,0.0,0.0,10079034.97479029,0.0
6,631,10018.695115066996,7361.90128779113,7361.90128779113,0.0,0.0,0.0,0.0
7,27,120304.47622389713,411230.009431136,0.0,411230.009431136,0.0,0.0,0.0
8,769,290076.97381365835,822460.0188622789,0.0,822460.0188622789,0.0,0.0,0.0
9,763,3066271.099424223,5039517.48739502,0.0,0.0,0.0,5039517.48739502,0.0
10,559,1840794.6316557538,5039517.48739502,0.0,0.0,0.0,5039517.48739502,0.0
11,21,6408739.980949768,19333458.77196564,0.0,0.0,1118.53504819278,10079034.97479,9253305.26212745
12,756,1138088.2578488418,9253305.26212745,0.0,0.0,0.0,0.0,9253305.26212745
13,20,4841310.070761966,14292822.74952247,0.0,0.0,0.0,5039517.48739502,9253305.26212745
14,431,8515009.150217537,14292822.74952262,0.0,0.0,0.0,5039517.48739502,9253305.2621276
15,754,2342007.906592605,5039517.48739502,0.0,0.0,0.0,5039517.48739502,0.0
16,311,514461.33258362924,9253305.262127453,0.0,0.0,0.0,0.0,9253305.262127453
17,519,491.9869898570111,1118.53504819278,0.0,0.0,1118.53504819278,0.0,0.0
18,512,306.2144052264386,1118.53504819278,0.0,0.0,1118.53504819278,0.0,0.0
19,591,116857.26636619527,412348.5444793288,0.0,411230.009431136,1118.53504819278,0.0,0.0
20,575,11473.369422162445,22085.703863373405,22085.703863373405,0.0,0.0,0.0,0.0
21,592,180067.49305534048,411230.0094311359,0.0,411230.0094311359,0.0,0.0,0.0
22,316,4655.508545778536,14723.8025755823,14723.8025755823,0.0,0.0,0.0,0.0
23,312,707160.4643596058,5039517.48739502,0.0,0.0,0.0,5039517.48739502,0.0
24,752,1744580.5620080018,5039517.48739502,0.0,0.0,0.0,5039517.48739502,0.0
25,571,3140697.8513893876,10079034.97479,0.0,0.0,0.0,10079034.97479,0.0
26,22,4740.288853036819,7361.90128779113,7361.90128779113,0.0,0.0,0.0,0.0
27,716,3432.9817841512568,7361.90128779113,7361.90128779113,0.0,0.0,0.0,0.0
28,510,3691.1836866856047,14723.8025755823,14723.8025755823,0.0,0.0,0.0,0.0
29,755,8855477.749921303,18507729.059303094,0.0,0.0,1118.53504819278,0.0,18506610.5242549
