,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,551,合肥市,3491628.742991186,3419269.745288572,302888.2765004402,302888.2765004402,40392642.76239188,6475.889669107136,1126660618.3662436,6910898.488279758,0.006133966498537213,0.0030990954028857006,20.0
1,572,湖州市,16172274.426659804,15837127.234841732,1402896.094842778,1402896.094842778,187087732.30335507,29994.559156897223,5218385471.967433,32009401.661501534,0.006133966498537213,0.0030990954028857014,20.0
2,7311,长沙市,1384582.9330962233,1540783.4519276996,120108.39901557595,120108.39901557595,16017442.834872901,2567.9724198794993,446770025.79752076,2925366.3850239227,0.006547812557035146,0.0030990954028857023,14.0
3,311,石家庄市,6936928.587883008,6484390.206421885,601757.6606356343,601757.6606356343,80249333.1746781,12865.853584170403,2238372068.6442046,13421318.794304892,0.005996017812371232,0.0030990954028856993,13.0
4,28,成都市/资阳市/眉山市,4014408.6940845596,2508670.5058320584,222224.90251491757,222224.90251491757,29635518.429117475,4751.269897409199,826615176.317236,6523079.199916618,0.007891313136759068,0.004856442041107556,27.0
5,595,泉州市,2116185.856197503,2072330.9395445574,183572.74897134965,183572.74897134965,24480935.861177787,3924.869203682874,682839855.2129215,4188516.79574206,0.006133966498537211,0.0030990954028857014,9.0
6,851,贵阳市,5205796.154349105,1995033.0090847658,161998.3627516229,161998.3627516229,21603814.021204524,3463.5989741054955,602589105.3323648,7200829.163433871,0.011949816383524181,0.008639047915540706,35.0
7,25,南京市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011949816383524181,0.008639047915540706,
8,531,济南市,3623015.7151037348,4193012.80373258,314285.7005873118,314285.7005873118,41912583.00197992,6719.571800853493,1169055883.7685947,7816028.518836315,0.0066857612432011295,0.003099095402885703,16.0
9,571,杭州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066857612432011295,0.003099095402885703,
10,760,中山市,14424292.34734438,15463396.234333659,964332.1455591299,964332.1455591299,160752028.39603874,25772.327057222767,4483811093.56223,29887688.58167804,0.006665688620243215,0.003216971466093766,23.0
11,711,鄂州市,4171477.2172089135,1670081.705975899,216979.26865172002,216979.26865172002,28935970.010979444,4639.115849933055,807102869.1381084,5841558.923184812,0.007237688213675804,0.005168457921186136,25.0
12,371,郑州市,3822629.437921057,2241275.494517349,218392.15227042974,218392.15227042974,29124389.661732364,4669.323946911146,812358405.4365987,6063904.932438406,0.007464568461231573,0.004705594737912018,35.0
13,20,广州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007464568461231573,0.004705594737912018,
14,29,西安市/咸阳市,4791945.664288901,1600030.5161880995,155908.5926667552,155908.5926667552,20791693.095346186,3333.3969087252085,579936844.8725079,6391976.180477001,0.01102184873575708,0.008262875012437521,41.0
15,24,沈阳市/铁岭市/抚顺市,5262510.796914275,1899468.6166114756,205651.27132428667,205651.27132428667,27425288.400759734,4396.918094008048,764965852.0794165,7161979.413525751,0.009362482513509917,0.006879406162522319,46.0
