,warehouse,CDC,RDC,Trans_cost,Dist_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost
0,8,4,4,12164000.024138331,60280202.679179385,0,17697652.86620886,9914200.50184197,100056056.07136855
1,9,4,5,12638295.059785174,56014592.231168,0,18436188.540306512,10016423.138509274,97105498.96976896
2,10,4,6,11801396.867542911,54259708.3678232,0,19093429.74887508,10016321.000632567,95170855.98487376
3,11,4,7,11665637.297716646,52379594.97395872,0,19386782.108044054,10094101.174532086,93526115.5542515
4,12,4,8,11525178.08768406,50172058.378921285,0,20441995.728940606,10094101.174532084,92233333.37007803
5,13,4,9,11469310.811455578,48574229.20703469,0,21641850.82172096,10093830.1548792,91779220.99509043
6,14,4,10,11658775.172752619,46989020.66674202,0,22768559.58745826,10094101.174533628,91510456.60148653
7,15,4,11,11797972.791894179,45760831.56053204,0,23906731.511222955,10094828.919733103,91560364.78338228
8,16,4,12,11673991.3132018,45250567.728641815,0,25071453.34228328,10141071.138565361,92137083.52269226
9,17,4,13,11044417.573504703,45250567.728641815,0,26621375.73770247,10141071.138565363,93057432.17841434
10,18,4,14,10985514.37099565,45250567.728641815,0,27949454.196825415,10141071.138565363,94326607.43502824
11,19,4,15,10969361.91555503,45250567.728641815,0,29362411.369333945,10141991.152583905,95724332.16611469
