济南市,中山市,贵阳市,泉州市,湖州市,天津市,石家庄市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 2011227)","('清远市', 8913687)","('贵阳市', 805489)","('汕头市', 1339812)","('杭州市', 12397309)","('保定市', 3931273)","('保定市', 1181106)","('保定市', 2618340)","('保定市', 1291931)","('黄山市', 3710348)"
"('无锡市', 33899)","('安庆市', 150237)","('安庆市', 13576)","('安庆市', 22582)","('无锡市', 208953)","('无锡市', 66260)","('安庆市', 19907)","('安庆市', 44131)","('无锡市', 21775)","('安庆市', 62537)"
"('合肥市', 25368)","('中山市', 112429)","('南宁市/崇左市', 10160)","('福州市', 16899)","('苏州市', 156368)","('合肥市', 49585)","('合肥市', 14897)","('合肥市', 33025)","('合肥市', 16295)","('合肥市', 46799)"
"('德州市', 261585)","('东莞市', 1159337)","('长沙市', 104764)","('温州市', 174259)","('上海市', 1612425)","('德州市', 511311)","('德州市', 153618)","('德州市', 340548)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 482577)"
"('苏州市', 98519)","('珠海市', 436634)","('广州市', 39457)","('福州市', 65630)","('苏州市', 607278)","('苏州市', 192572)","('苏州市', 57856)","('苏州市', 128258)","('苏州市', 63285)","('苏州市', 181750)"
"('盐城市', 864035)","('肇庆市', 3829375)","('肇庆市', 346043)","('温州市', 575592)","('杭州市', 5325961)","('盐城市', 1688899)","('盐城市', 507411)","('盐城市', 1124855)","('盐城市', 555022)","('杭州市', 1593989)"
"('保定市', 18311)","('东莞市', 81155)","('东莞市', 7334)","('深圳市', 12198)","('保定市', 112872)","('保定市', 35793)","('石家庄市', 10753)","('石家庄市', 23839)","('保定市', 11762)","('石家庄市', 33781)"
"('益阳市', 69566)","('深圳市', 308315)","('益阳市', 27861)","('泉州市', 46343)","('泉州市', 428810)","('益阳市', 135979)","('益阳市', 40853)","('益阳市', 90566)","('益阳市', 44687)","('益阳市', 128337)"
"('石家庄市', 28869)","('广州市', 127946)","('广州市', 11562)","('深圳市', 19232)","('上海市', 177950)","('石家庄市', 56429)","('石家庄市', 16953)","('石家庄市', 37583)","('石家庄市', 18544)","('上海市', 53258)"
"('长春市', 232090)","('珠海市', 1028613)","('广州市', 92951)","('深圳市', 154610)","('深圳市', 1430613)","('长春市', 453657)","('长春市', 136296)","('广州市', 302149)","('长春市', 149085)","('广州市', 428163)"
"('济宁市', 73805)","('荆州市', 327100)","('荆州市', 29558)","('绍兴市', 49166)","('绍兴市', 454936)","('廊坊市', 144263)","('廊坊市', 43342)","('济宁市', 96083)","('廊坊市', 47409)","('荆州市', 136156)"
"('常州市', 2056)","('中山市', 9113)","('中山市', 823)","('泉州市', 1370)","('苏州市', 12674)","('常州市', 4019)","('常州市', 1207)","('常州市', 2677)","('常州市', 1321)","('常州市', 3793)"
"('武汉市', 1794388)","('东莞市', 7952666)","('东莞市', 718646)","('厦门市', 1195362)","('福州市', 11060705)","('武汉市', 3507426)","('武汉市', 1053767)","('武汉市', 2336046)","('武汉市', 1152643)","('武汉市', 3310321)"
"('保定市', 506)","('珠海市', 2244)","('广州市', 203)","('泉州市', 337)","('金华市', 3121)","('保定市', 990)","('保定市', 297)","('保定市', 659)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 934)"
"('济宁市', 4844868)","('广州市', 21472288)","('广州市', 1940352)","('广州市', 3227490)","('杭州市', 29864028)","('济宁市', 9470091)","('济宁市', 2845181)","('济宁市', 6307351)","('长春市', 3112148)","('杭州市', 8937903)"
"('天津市', 54556)","('绍兴市', 241791)","('成都市/资阳市/眉山市', 21850)","('绍兴市', 36344)","('绍兴市', 336288)","('天津市', 106639)","('廊坊市', 32039)","('廊坊市', 71025)","('天津市', 35045)","('无锡市', 100646)"
