济南市,中山市,贵阳市,泉州市,湖州市,天津市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 2011227)","('清远市', 8913687)","('贵阳市', 805489)","('汕头市', 1339812)","('杭州市', 12397309)","('保定市', 3922126)","('保定市', 1129593)","('保定市', 1114775)","('保定市', 1619930)","('保定市', 1291931)","('黄山市', 3654644)"
"('无锡市', 33899)","('安庆市', 150237)","('安庆市', 13576)","('安庆市', 22582)","('无锡市', 208953)","('无锡市', 66106)","('安庆市', 19039)","('安庆市', 18789)","('安庆市', 27303)","('无锡市', 21775)","('安庆市', 61598)"
"('合肥市', 25368)","('中山市', 112429)","('南宁市/崇左市', 10160)","('福州市', 16899)","('苏州市', 156368)","('合肥市', 49470)","('合肥市', 14248)","('合肥市', 14061)","('合肥市', 20432)","('合肥市', 16295)","('合肥市', 46096)"
"('德州市', 261585)","('东莞市', 1159337)","('长沙市', 104764)","('温州市', 174259)","('上海市', 1612425)","('德州市', 510122)","('德州市', 146918)","('德州市', 144990)","('德州市', 210692)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 475332)"
"('苏州市', 98519)","('珠海市', 436634)","('广州市', 39457)","('福州市', 65630)","('苏州市', 607278)","('苏州市', 192124)","('苏州市', 55333)","('苏州市', 54607)","('苏州市', 79352)","('苏州市', 63285)","('苏州市', 179021)"
"('盐城市', 864035)","('肇庆市', 3829375)","('肇庆市', 346043)","('温州市', 575592)","('杭州市', 5325961)","('盐城市', 1684970)","('盐城市', 485280)","('盐城市', 478914)","('盐城市', 695932)","('盐城市', 555022)","('杭州市', 1570058)"
"('保定市', 18311)","('东莞市', 81155)","('东莞市', 7334)","('深圳市', 12198)","('保定市', 112872)","('保定市', 35709)","('石家庄市', 10284)","('石家庄市', 10150)","('石家庄市', 14749)","('保定市', 11762)","('石家庄市', 33274)"
"('益阳市', 69566)","('深圳市', 308315)","('益阳市', 27861)","('泉州市', 46343)","('泉州市', 428810)","('益阳市', 135662)","('益阳市', 39071)","('益阳市', 38559)","('益阳市', 56032)","('益阳市', 44687)","('益阳市', 126410)"
"('石家庄市', 28869)","('广州市', 127946)","('广州市', 11562)","('深圳市', 19232)","('上海市', 177950)","('石家庄市', 56298)","('石家庄市', 16214)","('石家庄市', 16001)","('石家庄市', 23252)","('石家庄市', 18544)","('上海市', 52458)"
"('长春市', 232090)","('珠海市', 1028613)","('广州市', 92951)","('深圳市', 154610)","('深圳市', 1430613)","('长春市', 452602)","('长春市', 130352)","('广州市', 128642)","('广州市', 186935)","('长春市', 149085)","('广州市', 421735)"
"('济宁市', 73805)","('荆州市', 327100)","('荆州市', 29558)","('绍兴市', 49166)","('绍兴市', 454936)","('廊坊市', 143928)","('廊坊市', 41452)","('荆州市', 40908)","('济宁市', 59445)","('廊坊市', 47409)","('荆州市', 134112)"
"('常州市', 2056)","('中山市', 9113)","('中山市', 823)","('泉州市', 1370)","('苏州市', 12674)","('常州市', 4010)","('常州市', 1155)","('常州市', 1140)","('常州市', 1656)","('常州市', 1321)","('常州市', 3736)"
"('武汉市', 1794388)","('东莞市', 7952666)","('东莞市', 718646)","('厦门市', 1195362)","('福州市', 11060705)","('武汉市', 3499266)","('武汉市', 1007807)","('武汉市', 994586)","('武汉市', 1445278)","('武汉市', 1152643)","('武汉市', 3260622)"
"('保定市', 506)","('珠海市', 2244)","('广州市', 203)","('泉州市', 337)","('金华市', 3121)","('保定市', 987)","('保定市', 284)","('保定市', 281)","('保定市', 408)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 920)"
"('济宁市', 4844868)","('广州市', 21472288)","('广州市', 1940352)","('广州市', 3227490)","('杭州市', 29864028)","('济宁市', 9448058)","('济宁市', 2721090)","('济宁市', 2685394)","('济宁市', 3902268)","('长春市', 3112148)","('杭州市', 8803717)"
"('天津市', 54556)","('绍兴市', 241791)","('成都市/资阳市/眉山市', 21850)","('绍兴市', 36344)","('绍兴市', 336288)","('天津市', 106391)","('廊坊市', 30641)","('成都市/资阳市/眉山市', 30239)","('廊坊市', 43942)","('天津市', 35045)","('无锡市', 99135)"
