东莞市,济南市,中山市,贵阳市,南宁市/崇左市,泉州市,湖州市,天津市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('惠州市', 31234)","('保定市', 2011227)","('清远市', 8551163)","('贵阳市', 734724)","('贵阳市', 416542)","('汕头市', 1308578)","('杭州市', 12397309)","('保定市', 3918184)","('保定市', 1129593)","('保定市', 1118717)","('保定市', 1619930)","('保定市', 1291931)","('黄山市', 3671392)"
"('安庆市', 526)","('无锡市', 33899)","('安庆市', 144127)","('安庆市', 12384)","('安庆市', 7021)","('安庆市', 22056)","('无锡市', 208953)","('无锡市', 66040)","('安庆市', 19039)","('安庆市', 18856)","('安庆市', 27303)","('无锡市', 21775)","('安庆市', 61880)"
"('中山市', 394)","('合肥市', 25368)","('中山市', 107856)","('南宁市/崇左市', 9267)","('南宁市/崇左市', 5254)","('福州市', 16505)","('苏州市', 156368)","('合肥市', 49420)","('合肥市', 14248)","('合肥市', 14110)","('合肥市', 20432)","('合肥市', 16295)","('合肥市', 46307)"
"('东莞市', 4062)","('德州市', 261585)","('东莞市', 1112186)","('长沙市', 95560)","('东莞市', 54176)","('温州市', 170197)","('上海市', 1612425)","('德州市', 509609)","('德州市', 146918)","('德州市', 145503)","('德州市', 210692)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 477510)"
"('广州市', 1530)","('苏州市', 98519)","('珠海市', 418876)","('广州市', 35990)","('广州市', 20404)","('福州市', 64100)","('苏州市', 607278)","('苏州市', 191931)","('苏州市', 55333)","('苏州市', 54800)","('苏州市', 79352)","('苏州市', 63285)","('苏州市', 179842)"
"('肇庆市', 13418)","('盐城市', 864035)","('肇庆市', 3673632)","('肇庆市', 315642)","('肇庆市', 178949)","('温州市', 562173)","('杭州市', 5325961)","('盐城市', 1683276)","('盐城市', 485280)","('盐城市', 480608)","('盐城市', 695932)","('盐城市', 555022)","('杭州市', 1577253)"
"('东莞市', 284)","('保定市', 18311)","('东莞市', 77855)","('东莞市', 6689)","('东莞市', 3792)","('深圳市', 11914)","('保定市', 112872)","('保定市', 35673)","('石家庄市', 10284)","('石家庄市', 10185)","('石家庄市', 14749)","('保定市', 11762)","('石家庄市', 33426)"
"('深圳市', 1080)","('益阳市', 69566)","('深圳市', 295776)","('益阳市', 25413)","('深圳市', 14408)","('泉州市', 45262)","('泉州市', 428810)","('益阳市', 135526)","('益阳市', 39071)","('益阳市', 38695)","('益阳市', 56032)","('益阳市', 44687)","('益阳市', 126990)"
"('广州市', 448)","('石家庄市', 28869)","('广州市', 122742)","('广州市', 10546)","('广州市', 5979)","('深圳市', 18783)","('上海市', 177950)","('石家庄市', 56241)","('石家庄市', 16214)","('石家庄市', 16058)","('石家庄市', 23252)","('石家庄市', 18544)","('上海市', 52699)"
"('广州市', 3604)","('长春市', 232090)","('珠海市', 986779)","('广州市', 84785)","('广州市', 48068)","('深圳市', 151006)","('深圳市', 1430613)","('长春市', 452147)","('长春市', 130352)","('广州市', 129097)","('广州市', 186935)","('长春市', 149085)","('广州市', 423668)"
"('荆州市', 1146)","('济宁市', 73805)","('荆州市', 313796)","('荆州市', 26962)","('荆州市', 15286)","('绍兴市', 48020)","('绍兴市', 454936)","('廊坊市', 143783)","('廊坊市', 41452)","('荆州市', 41053)","('济宁市', 59445)","('廊坊市', 47409)","('荆州市', 134727)"
"('深圳市', 32)","('常州市', 2056)","('中山市', 8742)","('中山市', 751)","('中山市', 426)","('泉州市', 1338)","('苏州市', 12674)","('常州市', 4006)","('常州市', 1155)","('常州市', 1144)","('常州市', 1656)","('常州市', 1321)","('常州市', 3753)"
"('东莞市', 27866)","('武汉市', 1794388)","('东莞市', 7629227)","('东莞市', 655511)","('东莞市', 371633)","('厦门市', 1167495)","('福州市', 11060705)","('武汉市', 3495749)","('武汉市', 1007807)","('武汉市', 998104)","('武汉市', 1445278)","('武汉市', 1152643)","('武汉市', 3275564)"
"('广州市', 8)","('保定市', 506)","('珠海市', 2153)","('广州市', 185)","('广州市', 105)","('泉州市', 329)","('金华市', 3121)","('保定市', 986)","('保定市', 284)","('保定市', 282)","('保定市', 408)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 924)"
"('广州市', 75240)","('济宁市', 4844868)","('广州市', 20598999)","('广州市', 1769886)","('广州市', 1003413)","('广州市', 3152250)","('杭州市', 29864028)","('济宁市', 9438560)","('济宁市', 2721090)","('济宁市', 2694892)","('济宁市', 3902268)","('长春市', 3112148)","('杭州市', 8844059)"
"('绍兴市', 847)","('天津市', 54556)","('绍兴市', 231958)","('成都市/资阳市/眉山市', 19930)","('成都市/资阳市/眉山市', 11299)","('绍兴市', 35496)","('绍兴市', 336288)","('天津市', 106284)","('廊坊市', 30641)","('成都市/资阳市/眉山市', 30346)","('廊坊市', 43942)","('天津市', 35045)","('无锡市', 99590)"
