东莞市,济南市,中山市,贵阳市,南宁市/崇左市,合肥市,泉州市,湖州市,天津市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('惠州市', 31234)","('保定市', 2011227)","('清远市', 8534903)","('贵阳市', 728812)","('贵阳市', 416542)","('黄山市', 798062)","('汕头市', 1308578)","('杭州市', 11842384)","('保定市', 3918184)","('保定市', 1129593)","('保定市', 1089346)","('保定市', 1447016)","('保定市', 1291931)","('黄山市', 3652712)"
"('安庆市', 526)","('无锡市', 33899)","('安庆市', 143853)","('安庆市', 12284)","('安庆市', 7021)","('安庆市', 13451)","('安庆市', 22056)","('无锡市', 199599)","('无锡市', 66040)","('安庆市', 19039)","('安庆市', 18361)","('安庆市', 24389)","('无锡市', 21775)","('安庆市', 61565)"
"('中山市', 394)","('合肥市', 25368)","('中山市', 107651)","('南宁市/崇左市', 9193)","('南宁市/崇左市', 5254)","('合肥市', 10066)","('福州市', 16505)","('苏州市', 149368)","('合肥市', 49420)","('合肥市', 14248)","('合肥市', 13740)","('合肥市', 18251)","('合肥市', 16295)","('合肥市', 46072)"
"('东莞市', 4062)","('德州市', 261585)","('东莞市', 1110071)","('长沙市', 94791)","('东莞市', 54176)","('黄山市', 103798)","('温州市', 170197)","('上海市', 1540250)","('德州市', 509609)","('德州市', 146918)","('德州市', 141683)","('德州市', 188203)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 475081)"
"('广州市', 1530)","('苏州市', 98519)","('珠海市', 418079)","('广州市', 35701)","('广州市', 20404)","('苏州市', 39093)","('福州市', 64100)","('苏州市', 580095)","('苏州市', 191931)","('苏州市', 55333)","('苏州市', 53361)","('苏州市', 70882)","('苏州市', 63285)","('苏州市', 178927)"
"('肇庆市', 13418)","('盐城市', 864035)","('肇庆市', 3666647)","('肇庆市', 313102)","('肇庆市', 178949)","('杭州市', 342852)","('温州市', 562173)","('杭州市', 5087561)","('盐城市', 1683276)","('盐城市', 485280)","('盐城市', 467990)","('盐城市', 621647)","('盐城市', 555022)","('杭州市', 1569228)"
"('东莞市', 284)","('保定市', 18311)","('东莞市', 77707)","('东莞市', 6636)","('东莞市', 3792)","('石家庄市', 7266)","('深圳市', 11914)","('保定市', 107820)","('保定市', 35673)","('石家庄市', 10284)","('石家庄市', 9918)","('石家庄市', 13174)","('保定市', 11762)","('石家庄市', 33256)"
"('深圳市', 1080)","('益阳市', 69566)","('深圳市', 295213)","('益阳市', 25209)","('深圳市', 14408)","('益阳市', 27604)","('泉州市', 45262)","('泉州市', 409616)","('益阳市', 135526)","('益阳市', 39071)","('益阳市', 37679)","('益阳市', 50051)","('益阳市', 44687)","('益阳市', 126344)"
"('广州市', 448)","('石家庄市', 28869)","('广州市', 122509)","('广州市', 10461)","('广州市', 5979)","('上海市', 11455)","('深圳市', 18783)","('上海市', 169984)","('石家庄市', 56241)","('石家庄市', 16214)","('石家庄市', 15636)","('石家庄市', 20770)","('石家庄市', 18544)","('上海市', 52431)"
"('广州市', 3604)","('长春市', 232090)","('珠海市', 984903)","('广州市', 84103)","('广州市', 48068)","('广州市', 92094)","('深圳市', 151006)","('深圳市', 1366576)","('长春市', 452147)","('长春市', 130352)","('广州市', 125707)","('广州市', 166981)","('长春市', 149085)","('广州市', 421512)"
"('荆州市', 1146)","('济宁市', 73805)","('荆州市', 313200)","('荆州市', 26745)","('荆州市', 15286)","('无锡市', 29286)","('绍兴市', 48020)","('绍兴市', 434572)","('廊坊市', 143783)","('廊坊市', 41452)","('荆州市', 39975)","('济宁市', 53100)","('廊坊市', 47409)","('荆州市', 134041)"
"('深圳市', 32)","('常州市', 2056)","('中山市', 8725)","('中山市', 745)","('中山市', 426)","('常州市', 816)","('泉州市', 1338)","('苏州市', 12107)","('常州市', 4006)","('常州市', 1155)","('常州市', 1114)","('常州市', 1479)","('常州市', 1321)","('常州市', 3734)"
"('东莞市', 27866)","('武汉市', 1794388)","('东莞市', 7614721)","('东莞市', 650236)","('东莞市', 371633)","('武汉市', 712020)","('厦门市', 1167495)","('福州市', 10565608)","('武汉市', 3495749)","('武汉市', 1007807)","('武汉市', 971899)","('武汉市', 1291007)","('武汉市', 1152643)","('武汉市', 3258898)"
"('广州市', 8)","('保定市', 506)","('珠海市', 2149)","('广州市', 183)","('广州市', 105)","('金华市', 201)","('泉州市', 329)","('金华市', 2982)","('保定市', 986)","('保定市', 284)","('保定市', 274)","('保定市', 364)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 920)"
"('广州市', 75240)","('济宁市', 4844868)","('广州市', 20559831)","('广州市', 1755643)","('广州市', 1003413)","('杭州市', 1922462)","('广州市', 3152250)","('杭州市', 28527261)","('济宁市', 9438560)","('济宁市', 2721090)","('济宁市', 2624138)","('济宁市', 3485734)","('长春市', 3112148)","('杭州市', 8799062)"
"('绍兴市', 847)","('天津市', 54556)","('绍兴市', 231516)","('成都市/资阳市/眉山市', 19770)","('成都市/资阳市/眉山市', 11299)","('无锡市', 21648)","('绍兴市', 35496)","('绍兴市', 321235)","('天津市', 106284)","('廊坊市', 30641)","('成都市/资阳市/眉山市', 29549)","('廊坊市', 39252)","('天津市', 35045)","('无锡市', 99083)"
