中山市,湖州市
"('清远市', 12071366)","('杭州市', 26129156)"
"('安庆市', 203459)","('无锡市', 440398)"
"('中山市', 152256)","('苏州市', 329568)"
"('东莞市', 1570032)","('上海市', 3398424)"
"('珠海市', 591311)","('苏州市', 1279927)"
"('肇庆市', 5185934)","('杭州市', 11225247)"
"('东莞市', 109905)","('保定市', 237895)"
"('深圳市', 417536)","('泉州市', 903781)"
"('广州市', 173271)","('上海市', 375055)"
"('珠海市', 1393000)","('深圳市', 3015228)"
"('荆州市', 442975)","('绍兴市', 958844)"
"('中山市', 12341)","('苏州市', 26712)"
"('东莞市', 10769903)","('福州市', 23312066)"
"('珠海市', 3039)","('金华市', 6578)"
"('广州市', 29078860)","('杭州市', 62942840)"
"('绍兴市', 327446)","('绍兴市', 708776)"
