中山市,湖州市,石家庄市
"('清远市', 12048184)","('杭州市', 16249822)","('保定市', 9902517)"
"('安庆市', 203068)","('无锡市', 273885)","('安庆市', 166904)"
"('中山市', 151964)","('苏州市', 204959)","('合肥市', 124901)"
"('东莞市', 1567017)","('上海市', 2113493)","('德州市', 1287946)"
"('珠海市', 590176)","('苏州市', 795992)","('苏州市', 485071)"
"('肇庆市', 5175975)","('杭州市', 6981024)","('盐城市', 4254182)"
"('东莞市', 109694)","('保定市', 147948)","('石家庄市', 90158)"
"('深圳市', 416734)","('泉州市', 562065)","('益阳市', 342518)"
"('广州市', 172938)","('上海市', 233248)","('石家庄市', 142140)"
"('珠海市', 1390325)","('深圳市', 1875182)","('长春市', 1142721)"
"('荆州市', 442124)","('绍兴市', 596309)","('廊坊市', 363386)"
"('中山市', 12317)","('苏州市', 16612)","('常州市', 10123)"
"('东莞市', 10749221)","('福州市', 14497862)","('武汉市', 8834886)"
"('珠海市', 3033)","('金华市', 4091)","('保定市', 2493)"
"('广州市', 29023017)","('杭州市', 39144391)","('济宁市', 23854292)"
"('绍兴市', 326817)","('绍兴市', 440790)","('廊坊市', 268614)"
