中山市,湖州市,天津市,鄂州市
"('清远市', 10401823)","('杭州市', 13701007)","('保定市', 7953397)","('黄山市', 6144296)"
"('安庆市', 175319)","('无锡市', 230926)","('无锡市', 134052)","('安庆市', 103560)"
"('中山市', 131198)","('苏州市', 172811)","('合肥市', 100316)","('合肥市', 77498)"
"('东莞市', 1352887)","('上海市', 1781988)","('德州市', 1034439)","('长沙市', 799143)"
"('珠海市', 509529)","('苏州市', 671139)","('苏州市', 389594)","('苏州市', 300976)"
"('肇庆市', 4468687)","('杭州市', 5886037)","('盐城市', 3416829)","('杭州市', 2639628)"
"('东莞市', 94704)","('保定市', 124742)","('保定市', 72412)","('石家庄市', 55941)"
"('深圳市', 359788)","('泉州市', 473904)","('益阳市', 275100)","('益阳市', 212525)"
"('广州市', 149307)","('上海市', 196663)","('石家庄市', 114162)","('上海市', 88195)"
"('珠海市', 1200340)","('深圳市', 1581056)","('长春市', 917799)","('广州市', 709034)"
"('荆州市', 381709)","('绍兴市', 502777)","('廊坊市', 291861)","('荆州市', 225473)"
"('中山市', 10634)","('苏州市', 14007)","('常州市', 8131)","('常州市', 6281)"
"('东莞市', 9280360)","('福州市', 12223846)","('武汉市', 7095909)","('武汉市', 5481855)"
"('珠海市', 2619)","('金华市', 3449)","('保定市', 2002)","('金华市', 1547)"
"('广州市', 25057076)","('杭州市', 33004520)","('济宁市', 19159034)","('杭州市', 14801070)"
"('绍兴市', 282158)","('绍兴市', 371651)","('天津市', 215743)","('无锡市', 166669)"
