中山市,湖州市,天津市,郑州市,鄂州市
"('清远市', 10401823)","('杭州市', 13499718)","('保定市', 7245695)","('保定市', 3189675)","('黄山市', 3863612)"
"('安庆市', 175319)","('无锡市', 227533)","('无锡市', 122124)","('安庆市', 53761)","('安庆市', 65120)"
"('中山市', 131198)","('苏州市', 170272)","('合肥市', 91390)","('合肥市', 40231)","('合肥市', 48732)"
"('东莞市', 1352887)","('上海市', 1755807)","('德州市', 942393)","('德州市', 414857)","('长沙市', 502511)"
"('珠海市', 509529)","('苏州市', 661279)","('苏州市', 354928)","('苏州市', 156245)","('苏州市', 189258)"
"('肇庆市', 4468687)","('杭州市', 5799562)","('盐城市', 3112795)","('盐城市', 1370304)","('杭州市', 1659832)"
"('东莞市', 94704)","('保定市', 122909)","('保定市', 65969)","('石家庄市', 29041)","('石家庄市', 35177)"
"('深圳市', 359788)","('泉州市', 466941)","('益阳市', 250621)","('益阳市', 110328)","('益阳市', 133638)"
"('广州市', 149307)","('上海市', 193773)","('石家庄市', 104004)","('石家庄市', 45784)","('上海市', 55458)"
"('珠海市', 1200340)","('深圳市', 1557828)","('长春市', 836132)","('广州市', 368079)","('广州市', 445849)"
"('荆州市', 381709)","('绍兴市', 495390)","('廊坊市', 265890)","('济宁市', 117049)","('荆州市', 141780)"
"('中山市', 10634)","('苏州市', 13801)","('常州市', 7407)","('常州市', 3261)","('常州市', 3950)"
"('东莞市', 9280360)","('福州市', 12044259)","('武汉市', 6464507)","('武汉市', 2845784)","('武汉市', 3447060)"
"('珠海市', 2619)","('金华市', 3399)","('保定市', 1824)","('保定市', 803)","('金华市', 973)"
"('广州市', 25057076)","('杭州市', 32519634)","('济宁市', 17454242)","('济宁市', 7683648)","('杭州市', 9307101)"
"('绍兴市', 282158)","('绍兴市', 366191)","('天津市', 196546)","('廊坊市', 86523)","('无锡市', 104804)"
