中山市,泉州市,湖州市,天津市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('清远市', 9569816)","('汕头市', 1339812)","('杭州市', 13043924)","('保定市', 5953764)","('保定市', 3185184)","('保定市', 1291931)","('黄山市', 3816092)"
"('安庆市', 161296)","('安庆市', 22582)","('无锡市', 219851)","('无锡市', 100349)","('安庆市', 53685)","('无锡市', 21775)","('安庆市', 64319)"
"('中山市', 120704)","('福州市', 16899)","('苏州市', 164523)","('合肥市', 75095)","('合肥市', 40175)","('合肥市', 16295)","('合肥市', 48132)"
"('东莞市', 1244674)","('温州市', 174259)","('上海市', 1696526)","('德州市', 774362)","('德州市', 414273)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 496331)"
"('珠海市', 468774)","('福州市', 65630)","('苏州市', 638952)","('苏州市', 291643)","('苏州市', 156025)","('苏州市', 63285)","('苏州市', 186930)"
"('肇庆市', 4111252)","('温州市', 575592)","('杭州市', 5603751)","('盐城市', 2557774)","('盐城市', 1368375)","('盐城市', 555022)","('杭州市', 1639417)"
"('东莞市', 87129)","('深圳市', 12198)","('保定市', 118759)","('保定市', 54207)","('石家庄市', 29000)","('保定市', 11762)","('石家庄市', 34744)"
"('深圳市', 331010)","('泉州市', 46343)","('泉州市', 451176)","('益阳市', 205935)","('益阳市', 110172)","('益阳市', 44687)","('益阳市', 131995)"
"('广州市', 137364)","('深圳市', 19232)","('上海市', 187231)","('石家庄市', 85460)","('石家庄市', 45720)","('石家庄市', 18544)","('上海市', 54776)"
"('珠海市', 1104329)","('深圳市', 154610)","('深圳市', 1505230)","('长春市', 687047)","('广州市', 367561)","('长春市', 149085)","('广州市', 440366)"
"('荆州市', 351177)","('绍兴市', 49166)","('绍兴市', 478664)","('廊坊市', 218481)","('济宁市', 116885)","('廊坊市', 47409)","('荆州市', 140037)"
"('中山市', 9783)","('泉州市', 1370)","('苏州市', 13335)","('常州市', 6087)","('常州市', 3256)","('常州市', 1321)","('常州市', 3901)"
"('东莞市', 8538055)","('厦门市', 1195362)","('福州市', 11637606)","('武汉市', 5311864)","('武汉市', 2841776)","('武汉市', 1152643)","('武汉市', 3404663)"
"('珠海市', 2409)","('泉州市', 337)","('金华市', 3284)","('保定市', 1499)","('保定市', 802)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 961)"
"('广州市', 23052845)","('广州市', 3227490)","('杭州市', 31421666)","('济宁市', 14342094)","('济宁市', 7672828)","('长春市', 3112148)","('杭州市', 9192629)"
"('绍兴市', 259589)","('绍兴市', 36344)","('绍兴市', 353828)","('天津市', 161501)","('廊坊市', 86401)","('天津市', 35045)","('无锡市', 103515)"
