RDC,Trans_cost,Trunk_cost,Transit_cost,Dist_cost,Rdc_cus_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost,Total_Area,RDC_Shipping_Distance,RDC_Reverse_Distance
1,11058659.79055697,26296514.89481458,56860037.381774604,23179246.066547126,106335798.34313631,10911262.382352931,26811604.367880106,35602763.65334721,190720088.5372735,101559.10745409131,504775.2249999999,68165.25000000001
2,10126498.240072073,18849189.865279242,56860037.38177464,23179246.066547137,98888473.31360103,8708900.37459345,28526279.715346582,35602763.65334721,181852915.2969603,103590.28960317312,435514.3016666666,51863.175
3,12391720.964607261,14167309.528723378,56860037.381774634,23179246.06654714,94206592.97704515,6666756.7976550795,28765814.337391652,35602763.65334721,177633648.73004636,105662.09539523667,322320.19166666665,35545.815
4,13881782.888657084,12737642.899693092,56860037.38177464,23179246.066547144,92776926.34801488,6230859.883606004,27783768.71909494,35602763.6533472,176276101.49272013,107775.3373031414,304226.81333333335,33641.875
5,13723473.318262959,12035003.305103172,56860037.38177464,23179246.06654714,92074286.75342496,5883852.220844284,28694894.908689987,35602763.6533472,175979270.85456938,109930.8440492042,278167.5883333333,31412.395
6,13848425.761838041,11629763.17741335,56860037.38177464,23179246.06654714,91669046.62573513,5690802.816086955,29132274.083853975,35602763.6533472,175943312.94086128,112129.46093018832,257162.59499999994,29592.9716667
7,14171013.20699594,11100666.903388577,56860037.38177465,23179246.06654714,91139950.35171036,5402889.362861452,29637516.663691785,35602763.65334721,175954133.23860675,114372.05014879204,252602.38499999995,26503.021666700002
8,14491478.576685261,10742772.645808812,56860037.38177465,23179246.066547137,90782056.0941306,5116370.761274365,30263401.154523652,35602763.6533472,176256070.23996106,116659.4911517679,230191.42499999993,24094.371666699997
9,14354431.486669833,10377076.308003588,56860037.38177464,23179246.066547133,90416359.75632536,4999908.961982798,31224600.152084842,35602763.6533472,176598064.01041,118992.68097480325,227536.52499999997,23394.581666700004
10,14365748.562535208,10262181.282369273,56860037.38177465,23179246.066547133,90301464.73069105,4922438.18344282,31848195.974871393,35602763.6533472,177040611.1048877,121372.53459429934,224378.01499999996,22382.8216667
11,14701055.726038985,9918716.313012369,56860037.38177465,23179246.06654714,89957999.76133415,4759821.469120609,32493632.386656255,35602763.6533472,177515272.9964972,123799.98528618531,199893.82499999995,20384.5766667
12,14840326.20781663,9791466.592639998,56860037.38177465,23179246.06654714,89830750.04096179,4639173.504416799,33131602.60148002,35602763.653347194,178044616.00802243,126275.98499190902,197135.865,19642.456666700004
13,14825812.182893774,9799235.838850835,56860037.38177464,23179246.066547137,89838519.28717262,4566741.542076897,33795559.19252682,35605998.08946133,178632630.2941314,128801.50469174715,197598.58499999996,19081.221666700003
14,14866507.592960022,9695854.10473949,56860037.38177466,23179246.066547137,89735137.55306129,4537934.999030717,34491062.15412517,35605998.08946133,179236640.3886385,131377.5347855821,197032.07499999998,18749.6816667
