天津市,中山市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 4076818)","('惠州市', 7953291)","('汕头市', 1221617)","('杭州市', 9747421)","('保定市', 1208643)","('保定市', 195321)","('保定市', 1110554)","('保定市', 1291931)","('黄山市', 10898857)","('贵阳市', 496070)"
"('无锡市', 68713)","('安庆市', 134050)","('安庆市', 20590)","('无锡市', 164290)","('安庆市', 20371)","('安庆市', 3292)","('安庆市', 18718)","('无锡市', 21775)","('安庆市', 183697)","('安庆市', 8361)"
"('合肥市', 51421)","('中山市', 100315)","('福州市', 15408)","('苏州市', 122944)","('合肥市', 15245)","('合肥市', 2464)","('合肥市', 14007)","('合肥市', 16295)","('合肥市', 137468)","('南宁市/崇左市', 6257)"
"('德州市', 530241)","('东莞市', 1034425)","('温州市', 158887)","('无锡市', 1267774)","('德州市', 157199)","('德州市', 25404)","('德州市', 144442)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1417533)","('东莞市', 64520)"
"('苏州市', 199701)","('珠海市', 389589)","('福州市', 59840)","('苏州市', 477474)","('苏州市', 59205)","('苏州市', 9568)","('苏州市', 54400)","('苏州市', 63285)","('苏州市', 533876)","('广州市', 24300)"
"('盐城市', 1751426)","('肇庆市', 3416783)","('温州市', 524814)","('杭州市', 4187553)","('盐城市', 519241)","('盐城市', 83911)","('盐城市', 477101)","('盐城市', 555022)","('杭州市', 4682216)","('肇庆市', 213115)"
"('保定市', 37118)","('东莞市', 72411)","('深圳市', 11122)","('保定市', 88746)","('石家庄市', 11004)","('石家庄市', 1778)","('石家庄市', 10111)","('保定市', 11762)","('石家庄市', 99230)","('东莞市', 4517)"
"('益阳市', 141013)","('深圳市', 275096)","('泉州市', 42254)","('泉州市', 337153)","('益阳市', 41806)","('益阳市', 6756)","('益阳市', 38413)","('益阳市', 44687)","('益阳市', 376980)","('深圳市', 17159)"
"('石家庄市', 58518)","('广州市', 114161)","('深圳市', 17535)","('上海市', 139913)","('石家庄市', 17349)","('石家庄市', 2804)","('石家庄市', 15941)","('石家庄市', 18544)","('上海市', 156441)","('广州市', 7121)"
"('长春市', 470453)","('珠海市', 917786)","('深圳市', 140971)","('广州市', 1124824)","('长春市', 139474)","('广州市', 22539)","('广州市', 128155)","('长春市', 149085)","('广州市', 1257696)","('广州市', 57245)"
"('廊坊市', 149604)","('荆州市', 291857)","('绍兴市', 44829)","('无锡市', 357695)","('廊坊市', 44353)","('荆州市', 7168)","('济宁市', 40753)","('廊坊市', 47409)","('荆州市', 399948)","('荆州市', 18204)"
"('常州市', 4168)","('中山市', 8131)","('泉州市', 1249)","('苏州市', 9965)","('常州市', 1236)","('常州市', 200)","('常州市', 1135)","('常州市', 1321)","('常州市', 11142)","('中山市', 507)"
"('武汉市', 3637280)","('东莞市', 7095815)","('厦门市', 1089909)","('武汉市', 8696512)","('武汉市', 1078334)","('武汉市', 174262)","('武汉市', 990821)","('武汉市', 1152643)","('武汉市', 9723807)","('东莞市', 442586)"
"('保定市', 1026)","('珠海市', 2002)","('泉州市', 308)","('金华市', 2454)","('保定市', 304)","('保定市', 49)","('保定市', 280)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 2744)","('广州市', 125)"
"('济宁市', 9820697)","('广州市', 19158779)","('广州市', 2942767)","('杭州市', 23480681)","('济宁市', 2911515)","('济宁市', 470510)","('济宁市', 2675228)","('长春市', 3112148)","('杭州市', 26254387)","('广州市', 1194988)"
"('天津市', 110587)","('绍兴市', 215740)","('绍兴市', 33137)","('无锡市', 264407)","('廊坊市', 32785)","('成都市/资阳市/眉山市', 5298)","('廊坊市', 30125)","('天津市', 35045)","('无锡市', 295641)","('成都市/资阳市/眉山市', 13456)"
