天津市,中山市,贵阳市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 4076818)","('惠州市', 7930858)","('贵阳市', 213205)","('汕头市', 1144785)","('杭州市', 9039773)","('保定市', 1208643)","('保定市', 194990)","('保定市', 1054772)","('保定市', 1291931)","('黄山市', 11676992)","('贵阳市', 367756)"
"('无锡市', 68713)","('安庆市', 133672)","('安庆市', 3593)","('安庆市', 19295)","('无锡市', 152362)","('安庆市', 20371)","('安庆市', 3286)","('安庆市', 17778)","('无锡市', 21775)","('安庆市', 196812)","('安庆市', 6198)"
"('合肥市', 51421)","('中山市', 100032)","('南宁市/崇左市', 2689)","('福州市', 14439)","('苏州市', 114019)","('合肥市', 15245)","('合肥市', 2459)","('合肥市', 13304)","('合肥市', 16295)","('合肥市', 147282)","('南宁市/崇左市', 4639)"
"('德州市', 530241)","('东莞市', 1031507)","('长沙市', 27730)","('温州市', 148894)","('无锡市', 1175736)","('德州市', 157199)","('德州市', 25361)","('德州市', 137186)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1518739)","('东莞市', 47831)"
"('苏州市', 199701)","('珠海市', 388490)","('广州市', 10444)","('福州市', 56077)","('苏州市', 442810)","('苏州市', 59205)","('苏州市', 9551)","('苏州市', 51668)","('苏州市', 63285)","('苏州市', 571993)","('广州市', 18014)"
"('盐城市', 1751426)","('肇庆市', 3407146)","('肇庆市', 91594)","('温州市', 491807)","('杭州市', 3883543)","('盐城市', 519241)","('盐城市', 83769)","('盐城市', 453137)","('盐城市', 555022)","('杭州市', 5016508)","('肇庆市', 157990)"
"('保定市', 37118)","('东莞市', 72207)","('东莞市', 1941)","('深圳市', 10423)","('保定市', 82303)","('石家庄市', 11004)","('石家庄市', 1775)","('石家庄市', 9603)","('保定市', 11762)","('石家庄市', 106314)","('东莞市', 3348)"
"('益阳市', 141013)","('深圳市', 274320)","('益阳市', 7375)","('泉州市', 39597)","('泉州市', 312676)","('益阳市', 41806)","('益阳市', 6744)","('益阳市', 36483)","('益阳市', 44687)","('益阳市', 403895)","('深圳市', 12720)"
"('石家庄市', 58518)","('广州市', 113839)","('广州市', 3060)","('深圳市', 16432)","('上海市', 129756)","('石家庄市', 17349)","('石家庄市', 2799)","('石家庄市', 15140)","('石家庄市', 18544)","('上海市', 167610)","('广州市', 5279)"
"('长春市', 470453)","('珠海市', 915198)","('广州市', 24603)","('深圳市', 132105)","('广州市', 1043163)","('长春市', 139474)","('广州市', 22501)","('广州市', 121718)","('长春市', 149085)","('广州市', 1347490)","('广州市', 42438)"
"('廊坊市', 149604)","('荆州市', 291033)","('荆州市', 7824)","('绍兴市', 42009)","('无锡市', 331727)","('廊坊市', 44353)","('荆州市', 7155)","('济宁市', 38706)","('廊坊市', 47409)","('荆州市', 428503)","('荆州市', 13495)"
"('常州市', 4168)","('中山市', 8108)","('中山市', 218)","('泉州市', 1170)","('苏州市', 9241)","('常州市', 1236)","('常州市', 199)","('常州市', 1078)","('常州市', 1321)","('常州市', 11938)","('中山市', 376)"
"('武汉市', 3637280)","('东莞市', 7075800)","('东莞市', 190218)","('厦门市', 1021361)","('武汉市', 8065159)","('武汉市', 1078334)","('武汉市', 173967)","('武汉市', 941053)","('武汉市', 1152643)","('武汉市', 10418048)","('东莞市', 328106)"
"('保定市', 1026)","('珠海市', 1997)","('广州市', 54)","('泉州市', 288)","('金华市', 2276)","('保定市', 304)","('保定市', 49)","('保定市', 266)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 2940)","('广州市', 93)"
"('济宁市', 9820697)","('广州市', 19104740)","('广州市', 513591)","('广州市', 2757686)","('杭州市', 21776019)","('济宁市', 2911515)","('济宁市', 469713)","('济宁市', 2540853)","('长春市', 3112148)","('杭州市', 28128847)","('广州市', 885891)"
"('天津市', 110587)","('绍兴市', 215131)","('成都市/资阳市/眉山市', 5783)","('绍兴市', 31053)","('无锡市', 245212)","('廊坊市', 32785)","('成都市/资阳市/眉山市', 5289)","('廊坊市', 28612)","('天津市', 35045)","('无锡市', 316748)","('成都市/资阳市/眉山市', 9976)"
