济南市,天津市,中山市,贵阳市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 352112)","('保定市', 3687236)","('惠州市', 7894963)","('贵阳市', 212210)","('汕头市', 973688)","('杭州市', 9039773)","('保定市', 1204671)","('保定市', 193129)","('保定市', 1012681)","('保定市', 1291931)","('黄山市', 11983836)","('贵阳市', 354293)"
"('无锡市', 5935)","('无锡市', 62147)","('安庆市', 133067)","('安庆市', 3577)","('安庆市', 16411)","('无锡市', 152362)","('安庆市', 20304)","('安庆市', 3255)","('安庆市', 17068)","('无锡市', 21775)","('安庆市', 201984)","('安庆市', 5971)"
"('合肥市', 4441)","('合肥市', 46507)","('中山市', 99579)","('南宁市/崇左市', 2677)","('福州市', 12281)","('苏州市', 114019)","('合肥市', 15195)","('合肥市', 2436)","('合肥市', 12773)","('合肥市', 16295)","('合肥市', 151152)","('南宁市/崇左市', 4469)"
"('德州市', 45797)","('德州市', 479571)","('东莞市', 1026839)","('长沙市', 27601)","('温州市', 126640)","('无锡市', 1175736)","('德州市', 156683)","('德州市', 25119)","('德州市', 131712)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1558648)","('东莞市', 46080)"
"('苏州市', 17248)","('苏州市', 180618)","('珠海市', 386732)","('广州市', 10395)","('福州市', 47696)","('苏州市', 442810)","('苏州市', 59010)","('苏州市', 9460)","('苏州市', 49606)","('苏州市', 63285)","('苏州市', 587024)","('广州市', 17355)"
"('盐城市', 151270)","('盐城市', 1584059)","('肇庆市', 3391725)","('肇庆市', 91167)","('温州市', 418302)","('杭州市', 3883543)","('盐城市', 517534)","('盐城市', 82969)","('盐城市', 435054)","('盐城市', 555022)","('杭州市', 5148330)","('肇庆市', 152207)"
"('保定市', 3206)","('保定市', 33571)","('东莞市', 71880)","('东莞市', 1932)","('深圳市', 8865)","('保定市', 82303)","('石家庄市', 10968)","('石家庄市', 1758)","('石家庄市', 9220)","('保定市', 11762)","('石家庄市', 109108)","('东莞市', 3226)"
"('益阳市', 12179)","('益阳市', 127538)","('深圳市', 273079)","('益阳市', 7340)","('泉州市', 33679)","('泉州市', 312676)","('益阳市', 41668)","('益阳市', 6680)","('益阳市', 35028)","('益阳市', 44687)","('益阳市', 414509)","('深圳市', 12255)"
"('石家庄市', 5054)","('石家庄市', 52926)","('广州市', 113323)","('广州市', 3046)","('深圳市', 13976)","('上海市', 129756)","('石家庄市', 17292)","('石家庄市', 2772)","('石家庄市', 14536)","('石家庄市', 18544)","('上海市', 172015)","('广州市', 5085)"
"('长春市', 40633)","('长春市', 425496)","('珠海市', 911055)","('广州市', 24488)","('深圳市', 112361)","('广州市', 1043163)","('长春市', 139015)","('广州市', 22287)","('广州市', 116860)","('长春市', 149085)","('广州市', 1382899)","('广州市', 40884)"
"('济宁市', 12921)","('廊坊市', 135308)","('荆州市', 289716)","('荆州市', 7787)","('绍兴市', 35731)","('无锡市', 331727)","('廊坊市', 44207)","('荆州市', 7087)","('济宁市', 37162)","('廊坊市', 47409)","('荆州市', 439763)","('荆州市', 13001)"
"('常州市', 360)","('常州市', 3770)","('中山市', 8071)","('中山市', 217)","('泉州市', 995)","('苏州市', 9241)","('常州市', 1232)","('常州市', 197)","('常州市', 1035)","('常州市', 1321)","('常州市', 12251)","('中山市', 362)"
"('武汉市', 314150)","('武汉市', 3289700)","('东莞市', 7043775)","('东莞市', 189330)","('厦门市', 868710)","('武汉市', 8065159)","('武汉市', 1074790)","('武汉市', 172307)","('武汉市', 903499)","('武汉市', 1152643)","('武汉市', 10691810)","('东莞市', 316095)"
"('保定市', 89)","('保定市', 928)","('珠海市', 1988)","('广州市', 53)","('泉州市', 245)","('金华市', 2276)","('保定市', 303)","('保定市', 49)","('保定市', 255)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 3017)","('广州市', 89)"
"('济宁市', 848208)","('济宁市', 8882226)","('广州市', 19018272)","('广州市', 511194)","('广州市', 2345528)","('杭州市', 21776019)","('济宁市', 2901946)","('济宁市', 465231)","('济宁市', 2439459)","('长春市', 3112148)","('杭州市', 28868008)","('广州市', 853461)"
"('天津市', 9551)","('天津市', 100019)","('绍兴市', 214158)","('成都市/资阳市/眉山市', 5756)","('绍兴市', 26412)","('无锡市', 245212)","('廊坊市', 32678)","('成都市/资阳市/眉山市', 5239)","('廊坊市', 27470)","('天津市', 35045)","('无锡市', 325072)","('成都市/资阳市/眉山市', 9611)"
