济南市,天津市,中山市,贵阳市,合肥市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 229248)","('保定市', 3810100)","('惠州市', 7518007)","('贵阳市', 212210)","('黄山市', 182458)","('汕头市', 921978)","('杭州市', 8931042)","('保定市', 1047732)","('保定市', 192953)","('保定市', 834808)","('保定市', 1299030)","('黄山市', 12695654)","('贵阳市', 325303)"
"('无锡市', 3864)","('无锡市', 64218)","('安庆市', 126714)","('安庆市', 3577)","('安庆市', 3075)","('安庆市', 15540)","('无锡市', 150530)","('安庆市', 17659)","('安庆市', 3252)","('安庆市', 14070)","('无锡市', 21895)","('安庆市', 213981)","('安庆市', 5483)"
"('合肥市', 2892)","('合肥市', 48057)","('中山市', 94825)","('南宁市/崇左市', 2677)","('合肥市', 2301)","('福州市', 11629)","('苏州市', 112647)","('合肥市', 13215)","('合肥市', 2434)","('合肥市', 10529)","('合肥市', 16385)","('合肥市', 160131)","('南宁市/崇左市', 4103)"
"('德州市', 29817)","('德州市', 495551)","('东莞市', 977811)","('长沙市', 27601)","('黄山市', 23731)","('温州市', 119915)","('无锡市', 1161594)","('德州市', 136271)","('德州市', 25096)","('德州市', 108577)","('沈阳市/铁岭市/抚顺市', 168955)","('长沙市', 1651229)","('东莞市', 42310)"
"('苏州市', 11230)","('苏州市', 186636)","('珠海市', 368267)","('广州市', 10395)","('苏州市', 8938)","('福州市', 45163)","('苏州市', 437484)","('苏州市', 51323)","('苏州市', 9452)","('苏州市', 40893)","('苏州市', 63632)","('苏州市', 621892)","('广州市', 15935)"
"('盐城市', 98486)","('盐城市', 1636843)","('肇庆市', 3229783)","('肇庆市', 91167)","('杭州市', 78385)","('温州市', 396087)","('杭州市', 3836831)","('盐城市', 450112)","('盐城市', 82894)","('盐城市', 358639)","('盐城市', 558071)","('杭州市', 5454132)","('肇庆市', 139752)"
"('保定市', 2087)","('保定市', 34689)","('东莞市', 68448)","('东莞市', 1932)","('石家庄市', 1661)","('深圳市', 8394)","('保定市', 81313)","('石家庄市', 9539)","('石家庄市', 1757)","('石家庄市', 7601)","('保定市', 11827)","('石家庄市', 115589)","('东莞市', 2962)"
"('益阳市', 7929)","('益阳市', 131787)","('深圳市', 260040)","('益阳市', 7340)","('益阳市', 6311)","('泉州市', 31890)","('泉州市', 308916)","('益阳市', 36240)","('益阳市', 6674)","('益阳市', 28875)","('益阳市', 44932)","('益阳市', 439130)","('深圳市', 11252)"
"('石家庄市', 3291)","('石家庄市', 54690)","('广州市', 107913)","('广州市', 3046)","('上海市', 2619)","('深圳市', 13234)","('上海市', 128195)","('石家庄市', 15039)","('石家庄市', 2770)","('石家庄市', 11983)","('石家庄市', 18646)","('上海市', 182232)","('广州市', 4669)"
"('长春市', 26454)","('长春市', 439674)","('珠海市', 867556)","('广州市', 24488)","('广州市', 21055)","('深圳市', 106394)","('广州市', 1030616)","('长春市', 120905)","('广州市', 22266)","('广州市', 96334)","('长春市', 149904)","('广州市', 1465041)","('广州市', 37539)"
"('济宁市', 8413)","('廊坊市', 139817)","('荆州市', 275883)","('荆州市', 7787)","('无锡市', 6696)","('绍兴市', 33833)","('无锡市', 327737)","('廊坊市', 38448)","('荆州市', 7081)","('济宁市', 30634)","('廊坊市', 47670)","('荆州市', 465884)","('荆州市', 11937)"
"('常州市', 234)","('常州市', 3895)","('中山市', 7686)","('中山市', 217)","('常州市', 187)","('泉州市', 943)","('苏州市', 9130)","('常州市', 1071)","('常州市', 197)","('常州市', 853)","('常州市', 1328)","('常州市', 12979)","('中山市', 333)"
"('武汉市', 204531)","('武汉市', 3399318)","('东莞市', 6707461)","('东莞市', 189330)","('武汉市', 162787)","('厦门市', 822576)","('武汉市', 7968150)","('武汉市', 934771)","('武汉市', 172150)","('武汉市', 744804)","('武汉市', 1158976)","('武汉市', 11326884)","('东莞市', 290231)"
"('保定市', 58)","('保定市', 959)","('珠海市', 1893)","('广州市', 53)","('金华市', 46)","('泉州市', 232)","('金华市', 2249)","('保定市', 264)","('保定市', 49)","('保定市', 210)","('沈阳市/铁岭市/抚顺市', 327)","('金华市', 3196)","('广州市', 82)"
"('济宁市', 552237)","('济宁市', 9178197)","('广州市', 18110219)","('广州市', 511194)","('杭州市', 439526)","('广州市', 2220964)","('杭州市', 21514094)","('济宁市', 2523893)","('济宁市', 464806)","('济宁市', 2010980)","('长春市', 3129248)","('杭州市', 30582714)","('广州市', 783627)"
"('天津市', 6219)","('天津市', 103352)","('绍兴市', 203932)","('成都市/资阳市/眉山市', 5756)","('无锡市', 4949)","('绍兴市', 25009)","('无锡市', 242262)","('廊坊市', 28421)","('成都市/资阳市/眉山市', 5234)","('廊坊市', 22645)","('天津市', 35237)","('无锡市', 344380)","('成都市/资阳市/眉山市', 8824)"
