济南市,天津市,中山市,贵阳市,成都市/资阳市/眉山市,合肥市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 229248)","('保定市', 3752351)","('惠州市', 5049193)","('贵阳市', 128314)",,"('黄山市', 182458)","('汕头市', 809103)","('杭州市', 7155801)","('保定市', 996175)","('保定市', 192953)","('保定市', 203860)","('保定市', 1330060)","('黄山市', 18084459)","('贵阳市', 86547)"
"('无锡市', 3864)","('无锡市', 63245)","('安庆市', 85102)","('安庆市', 2163)",,"('安庆市', 3075)","('安庆市', 13637)","('无锡市', 120609)","('安庆市', 16790)","('安庆市', 3252)","('安庆市', 3436)","('无锡市', 22418)","('安庆市', 304808)","('安庆市', 1459)"
"('合肥市', 2892)","('合肥市', 47329)","('中山市', 63686)","('南宁市/崇左市', 1618)",,"('合肥市', 2301)","('福州市', 10205)","('苏州市', 90256)","('合肥市', 12565)","('合肥市', 2434)","('合肥市', 2571)","('合肥市', 16776)","('合肥市', 228100)","('南宁市/崇左市', 1092)"
"('德州市', 29817)","('德州市', 488040)","('东莞市', 656711)","('长沙市', 16689)",,"('黄山市', 23731)","('温州市', 105234)","('无锡市', 930702)","('德州市', 129565)","('德州市', 25096)","('德州市', 26515)","('沈阳市/铁岭市/抚顺市', 172991)","('长沙市', 2352110)","('东莞市', 11257)"
"('苏州市', 11230)","('苏州市', 183808)","('珠海市', 247333)","('广州市', 6285)",,"('苏州市', 8938)","('福州市', 39634)","('苏州市', 350524)","('苏州市', 48797)","('苏州市', 9452)","('苏州市', 9986)","('苏州市', 65153)","('苏州市', 885861)","('广州市', 4239)"
"('盐城市', 98486)","('盐城市', 1612033)","('肇庆市', 2169165)","('肇庆市', 55125)",,"('杭州市', 78385)","('温州市', 347596)","('杭州市', 3074176)","('盐城市', 427963)","('盐城市', 82894)","('盐城市', 87580)","('盐城市', 571402)","('杭州市', 7769196)","('肇庆市', 37181)"
"('保定市', 2087)","('保定市', 34164)","('东莞市', 45971)","('东莞市', 1168)",,"('石家庄市', 1661)","('深圳市', 7367)","('保定市', 65151)","('石家庄市', 9070)","('石家庄市', 1757)","('石家庄市', 1856)","('保定市', 12110)","('石家庄市', 164651)","('东莞市', 788)"
"('益阳市', 7929)","('益阳市', 129790)","('深圳市', 174646)","('益阳市', 4438)",,"('益阳市', 6311)","('泉州市', 27986)","('泉州市', 247512)","('益阳市', 34457)","('益阳市', 6674)","('益阳市', 7051)","('益阳市', 46005)","('益阳市', 625523)","('深圳市', 2994)"
"('石家庄市', 3291)","('石家庄市', 53861)","('广州市', 72476)","('广州市', 1842)",,"('上海市', 2619)","('深圳市', 11614)","('上海市', 102714)","('石家庄市', 14299)","('石家庄市', 2770)","('石家庄市', 2926)","('石家庄市', 19092)","('上海市', 259582)","('广州市', 1242)"
"('长春市', 26454)","('长春市', 433010)","('珠海市', 582662)","('广州市', 14807)",,"('广州市', 21055)","('深圳市', 93368)","('广州市', 825758)","('长春市', 114956)","('广州市', 22266)","('广州市', 23525)","('长春市', 153485)","('广州市', 2086893)","('广州市', 9987)"
"('济宁市', 8413)","('廊坊市', 137698)","('荆州市', 185287)","('荆州市', 4709)",,"('无锡市', 6696)","('绍兴市', 29691)","('无锡市', 262592)","('廊坊市', 36556)","('荆州市', 7081)","('济宁市', 7481)","('廊坊市', 48808)","('荆州市', 663633)","('荆州市', 3176)"
"('常州市', 234)","('常州市', 3836)","('中山市', 5162)","('中山市', 131)",,"('常州市', 187)","('泉州市', 827)","('苏州市', 7315)","('常州市', 1018)","('常州市', 197)","('常州市', 208)","('常州市', 1360)","('常州市', 18488)","('中山市', 88)"
"('武汉市', 204531)","('武汉市', 3347795)","('东莞市', 4504819)","('东莞市', 114480)",,"('武汉市', 162787)","('厦门市', 721870)","('武汉市', 6384305)","('武汉市', 888774)","('武汉市', 172150)","('武汉市', 181881)","('武汉市', 1186661)","('武汉市', 16134700)","('东莞市', 77216)"
"('保定市', 58)","('保定市', 945)","('珠海市', 1271)","('广州市', 32)",,"('金华市', 46)","('泉州市', 204)","('金华市', 1802)","('保定市', 251)","('保定市', 49)","('保定市', 51)","('沈阳市/铁岭市/抚顺市', 335)","('金华市', 4553)","('广州市', 22)"
"('济宁市', 552237)","('济宁市', 9039084)","('广州市', 12163063)","('广州市', 309098)",,"('杭州市', 439526)","('广州市', 1949057)","('杭州市', 17237695)","('济宁市', 2399699)","('济宁市', 464806)","('济宁市', 491081)","('长春市', 3203999)","('杭州市', 43563872)","('广州市', 208484)"
"('天津市', 6219)","('天津市', 101786)","('绍兴市', 136964)","('成都市/资阳市/眉山市', 3481)",,"('无锡市', 4949)","('绍兴市', 21948)","('无锡市', 194107)","('廊坊市', 27022)","('成都市/资阳市/眉山市', 5234)","('廊坊市', 5530)","('天津市', 36079)","('无锡市', 490556)","('成都市/资阳市/眉山市', 2348)"
