中山市,湖州市,鄂州市
"('惠州市', 9021308)","('杭州市', 13259455)","('黄山市', 15919759)"
"('安庆市', 152051)","('无锡市', 223484)","('安庆市', 268322)"
"('中山市', 113786)","('苏州市', 167242)","('合肥市', 200796)"
"('东莞市', 1173334)","('无锡市', 1724558)","('长沙市', 2070564)"
"('珠海市', 441905)","('苏州市', 649510)","('苏州市', 779824)"
"('肇庆市', 3875610)","('杭州市', 5696344)","('杭州市', 6839227)"
"('东莞市', 82135)","('保定市', 120722)","('石家庄市', 144943)"
"('深圳市', 312038)","('泉州市', 458631)","('益阳市', 550648)"
"('广州市', 129491)","('上海市', 190325)","('上海市', 228510)"
"('珠海市', 1041032)","('广州市', 1530102)","('广州市', 1837093)"
"('荆州市', 331049)","('无锡市', 486573)","('荆州市', 584197)"
"('中山市', 9223)","('苏州市', 13555)","('常州市', 16275)"
"('东莞市', 8048684)","('武汉市', 11829900)","('武汉市', 14203386)"
"('珠海市', 2271)","('金华市', 3338)","('金华市', 4008)"
"('广州市', 21731537)","('杭州市', 31940862)","('杭州市', 38349301)"
"('绍兴市', 244711)","('无锡市', 359674)","('无锡市', 431837)"
