天津市,中山市,湖州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 5460944)","('惠州市', 8952642)","('杭州市', 12573377)","('保定市', 1291931)","('黄山市', 9921629)"
"('无锡市', 92042)","('安庆市', 150894)","('无锡市', 211920)","('无锡市', 21775)","('安庆市', 167226)"
"('合肥市', 68879)","('中山市', 112920)","('苏州市', 158588)","('合肥市', 16295)","('合肥市', 125142)"
"('德州市', 710264)","('东莞市', 1164403)","('无锡市', 1635325)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1290432)"
"('苏州市', 267502)","('珠海市', 438542)","('苏州市', 615902)","('苏州市', 63285)","('苏州市', 486007)"
"('盐城市', 2346055)","('肇庆市', 3846110)","('杭州市', 5401601)","('盐城市', 555022)","('杭州市', 4262393)"
"('保定市', 49720)","('东莞市', 81510)","('保定市', 114475)","('保定市', 11762)","('石家庄市', 90332)"
"('益阳市', 188888)","('深圳市', 309663)","('泉州市', 434900)","('益阳市', 44687)","('益阳市', 343179)"
"('石家庄市', 78386)","('广州市', 128505)","('上海市', 180477)","('石家庄市', 18544)","('上海市', 142414)"
"('长春市', 630177)","('珠海市', 1033108)","('广州市', 1450931)","('长春市', 149085)","('广州市', 1144927)"
"('廊坊市', 200397)","('荆州市', 328529)","('无锡市', 461397)","('廊坊市', 47409)","('荆州市', 364087)"
"('常州市', 5583)","('中山市', 9152)","('苏州市', 12854)","('常州市', 1321)","('常州市', 10143)"
"('武汉市', 4872177)","('东莞市', 7987421)","('武汉市', 11217790)","('武汉市', 1152643)","('武汉市', 8851938)"
"('保定市', 1375)","('珠海市', 2254)","('金华市', 3166)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 2498)"
"('济宁市', 13154934)","('广州市', 21566127)","('杭州市', 30288160)","('长春市', 3112148)","('杭州市', 23900332)"
"('天津市', 148133)","('绍兴市', 242848)","('无锡市', 341064)","('天津市', 35045)","('无锡市', 269133)"
