天津市,中山市,湖州市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 4994574)","('惠州市', 8866931)","('杭州市', 11561629)","('保定市', 2697782)","('保定市', 1291931)","('黄山市', 8787676)"
"('无锡市', 84182)","('安庆市', 149449)","('无锡市', 194867)","('安庆市', 45470)","('无锡市', 21775)","('安庆市', 148113)"
"('合肥市', 62997)","('中山市', 111839)","('苏州市', 145827)","('合肥市', 34027)","('合肥市', 16295)","('合肥市', 110839)"
"('德州市', 649607)","('东莞市', 1153256)","('无锡市', 1503735)","('德州市', 350880)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1142947)"
"('苏州市', 244657)","('珠海市', 434343)","('苏州市', 566342)","('苏州市', 132150)","('苏州市', 63285)","('苏州市', 430461)"
"('盐城市', 2145700)","('肇庆市', 3809289)","('杭州市', 4966947)","('盐城市', 1158984)","('盐城市', 555022)","('杭州市', 3775240)"
"('保定市', 45474)","('东莞市', 80730)","('保定市', 105264)","('石家庄市', 24562)","('保定市', 11762)","('石家庄市', 80008)"
"('益阳市', 172757)","('深圳市', 306698)","('泉州市', 399905)","('益阳市', 93314)","('益阳市', 44687)","('益阳市', 303957)"
"('石家庄市', 71692)","('广州市', 127275)","('上海市', 165954)","('石家庄市', 38724)","('石家庄市', 18544)","('上海市', 126137)"
"('长春市', 576359)","('珠海市', 1023218)","('广州市', 1334178)","('广州市', 311316)","('长春市', 149085)","('广州市', 1014072)"
"('廊坊市', 183283)","('荆州市', 325384)","('无锡市', 424269)","('济宁市', 98999)","('廊坊市', 47409)","('荆州市', 322476)"
"('常州市', 5106)","('中山市', 9065)","('苏州市', 11820)","('常州市', 2758)","('常州市', 1321)","('常州市', 8984)"
"('武汉市', 4456089)","('东莞市', 7910952)","('武汉市', 10315123)","('武汉市', 2406923)","('武汉市', 1152643)","('武汉市', 7840241)"
"('保定市', 1257)","('珠海市', 2232)","('金华市', 2911)","('保定市', 679)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 2212)"
"('济宁市', 12031489)","('广州市', 21359658)","('杭州市', 27850947)","('济宁市', 6498720)","('长春市', 3112148)","('杭州市', 21168738)"
"('天津市', 135482)","('绍兴市', 240523)","('无锡市', 313619)","('廊坊市', 73180)","('天津市', 35045)","('无锡市', 238373)"
