天津市,中山市,泉州市,湖州市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 4926950)","('惠州市', 8531492)","('汕头市', 1438025)","('杭州市', 11516910)","('保定市', 2210921)","('保定市', 1291931)","('黄山市', 8284294)"
"('无锡市', 83042)","('安庆市', 143795)","('安庆市', 24237)","('无锡市', 194114)","('安庆市', 37264)","('无锡市', 21775)","('安庆市', 139629)"
"('合肥市', 62144)","('中山市', 107608)","('福州市', 18138)","('苏州市', 145263)","('合肥市', 27886)","('合肥市', 16295)","('合肥市', 104490)"
"('德州市', 640812)","('东莞市', 1109627)","('温州市', 187033)","('无锡市', 1497918)","('德州市', 287558)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1077476)"
"('苏州市', 241345)","('珠海市', 417912)","('福州市', 70441)","('苏州市', 564152)","('苏州市', 108301)","('苏州市', 63285)","('苏州市', 405803)"
"('盐城市', 2116648)","('肇庆市', 3665182)","('温州市', 617785)","('杭州市', 4947736)","('盐城市', 949825)","('盐城市', 555022)","('杭州市', 3558984)"
"('保定市', 44858)","('东莞市', 77676)","('深圳市', 13093)","('保定市', 104857)","('石家庄市', 20130)","('保定市', 11762)","('石家庄市', 75425)"
"('益阳市', 170418)","('深圳市', 295096)","('泉州市', 49740)","('泉州市', 398358)","('益阳市', 76473)","('益阳市', 44687)","('益阳市', 286545)"
"('石家庄市', 70721)","('广州市', 122460)","('深圳市', 20641)","('上海市', 165312)","('石家庄市', 31735)","('石家庄市', 18544)","('上海市', 118912)"
"('长春市', 568556)","('珠海市', 984509)","('深圳市', 165944)","('广州市', 1329017)","('广州市', 255134)","('长春市', 149085)","('广州市', 955983)"
"('廊坊市', 180801)","('荆州市', 313075)","('绍兴市', 52770)","('无锡市', 422628)","('济宁市', 81133)","('廊坊市', 47409)","('荆州市', 304003)"
"('常州市', 5037)","('中山市', 8722)","('泉州市', 1470)","('苏州市', 11774)","('常州市', 2260)","('常州市', 1321)","('常州市', 8469)"
"('武汉市', 4395755)","('东莞市', 7611678)","('厦门市', 1282986)","('武汉市', 10275225)","('武汉市', 1972553)","('武汉市', 1152643)","('武汉市', 7391130)"
"('保定市', 1240)","('珠海市', 2148)","('泉州市', 362)","('金华市', 2900)","('保定市', 557)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 2086)"
"('济宁市', 11868589)","('广州市', 20551615)","('广州市', 3464076)","('杭州市', 27743223)","('济宁市', 5325914)","('长春市', 3112148)","('杭州市', 19956135)"
"('天津市', 133648)","('绍兴市', 231424)","('绍兴市', 39008)","('无锡市', 312406)","('廊坊市', 59973)","('天津市', 35045)","('无锡市', 224719)"
