天津市,中山市,泉州市,湖州市,石家庄市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 4353091)","('惠州市', 8416468)","('汕头市', 1438025)","('杭州市', 11335758)","('保定市', 1260157)","('保定市', 1496993)","('保定市', 1291931)","('黄山市', 8608099)"
"('无锡市', 73370)","('安庆市', 141857)","('安庆市', 24237)","('无锡市', 191060)","('安庆市', 21240)","('安庆市', 25231)","('无锡市', 21775)","('安庆市', 145087)"
"('合肥市', 54906)","('中山市', 106157)","('福州市', 18138)","('苏州市', 142978)","('合肥市', 15894)","('合肥市', 18882)","('合肥市', 16295)","('合肥市', 108574)"
"('德州市', 566174)","('东莞市', 1094667)","('温州市', 187033)","('无锡市', 1474357)","('德州市', 163899)","('德州市', 194703)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1119591)"
"('苏州市', 213235)","('珠海市', 412278)","('福州市', 70441)","('苏州市', 555278)","('苏州市', 61728)","('苏州市', 73330)","('苏州市', 63285)","('苏州市', 421665)"
"('盐城市', 1870115)","('肇庆市', 3615767)","('温州市', 617785)","('杭州市', 4869912)","('盐城市', 541371)","('盐城市', 643117)","('盐城市', 555022)","('杭州市', 3698093)"
"('保定市', 39633)","('东莞市', 76628)","('深圳市', 13093)","('保定市', 103207)","('石家庄市', 11473)","('石家庄市', 13629)","('保定市', 11762)","('石家庄市', 78373)"
"('益阳市', 150569)","('深圳市', 291117)","('泉州市', 49740)","('泉州市', 392092)","('益阳市', 43588)","('益阳市', 51779)","('益阳市', 44687)","('益阳市', 297745)"
"('石家庄市', 62484)","('广州市', 120809)","('深圳市', 20641)","('上海市', 162712)","('石家庄市', 18088)","('石家庄市', 21488)","('石家庄市', 18544)","('上海市', 123560)"
"('长春市', 502334)","('珠海市', 971236)","('深圳市', 165944)","('广州市', 1308113)","('长春市', 145418)","('广州市', 172749)","('长春市', 149085)","('广州市', 993349)"
"('廊坊市', 159743)","('荆州市', 308854)","('绍兴市', 52770)","('无锡市', 415981)","('廊坊市', 46243)","('济宁市', 54934)","('廊坊市', 47409)","('荆州市', 315886)"
"('常州市', 4450)","('中山市', 8604)","('泉州市', 1470)","('苏州市', 11589)","('常州市', 1288)","('常州市', 1530)","('常州市', 1321)","('常州市', 8800)"
"('武汉市', 3883767)","('东莞市', 7509055)","('厦门市', 1282986)","('武汉市', 10113604)","('武汉市', 1124294)","('武汉市', 1335596)","('武汉市', 1152643)","('武汉市', 7680025)"
"('保定市', 1096)","('珠海市', 2119)","('泉州市', 362)","('金华市', 2854)","('保定市', 317)","('保定市', 377)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 2167)"
"('济宁市', 10486214)","('广州市', 20274532)","('广州市', 3464076)","('杭州市', 27306845)","('济宁市', 3035607)","('济宁市', 3606125)","('长春市', 3112148)","('杭州市', 20736154)"
"('天津市', 118081)","('绍兴市', 228304)","('绍兴市', 39008)","('无锡市', 307492)","('廊坊市', 34183)","('廊坊市', 40607)","('天津市', 35045)","('无锡市', 233502)"
