天津市,中山市,泉州市,湖州市,石家庄市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 4277609)","('惠州市', 8030123)","('汕头市', 1438025)","('杭州市', 10366508)","('保定市', 1260157)","('保定市', 1324007)","('保定市', 1291931)","('黄山市', 9716094)","('贵阳市', 496070)"
"('无锡市', 72098)","('安庆市', 135345)","('安庆市', 24237)","('无锡市', 174724)","('安庆市', 21240)","('安庆市', 22316)","('无锡市', 21775)","('安庆市', 163762)","('安庆市', 8361)"
"('合肥市', 53954)","('中山市', 101284)","('福州市', 18138)","('苏州市', 130753)","('合肥市', 15894)","('合肥市', 16700)","('合肥市', 16295)","('合肥市', 122549)","('南宁市/崇左市', 6257)"
"('德州市', 556357)","('东莞市', 1044418)","('温州市', 187033)","('无锡市', 1348294)","('德州市', 163899)","('德州市', 172204)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 1263700)","('东莞市', 64520)"
"('苏州市', 209537)","('珠海市', 393353)","('福州市', 70441)","('苏州市', 507800)","('苏州市', 61728)","('苏州市', 64856)","('苏州市', 63285)","('苏州市', 475939)","('广州市', 24300)"
"('盐城市', 1837687)","('肇庆市', 3449791)","('温州市', 617785)","('杭州市', 4453516)","('盐城市', 541371)","('盐城市', 568801)","('盐城市', 555022)","('杭州市', 4174094)","('肇庆市', 213115)"
"('保定市', 38946)","('东莞市', 73111)","('深圳市', 13093)","('保定市', 94383)","('石家庄市', 11473)","('石家庄市', 12055)","('保定市', 11762)","('石家庄市', 88461)","('东莞市', 4517)"
"('益阳市', 147958)","('深圳市', 277754)","('泉州市', 49740)","('泉州市', 358567)","('益阳市', 43588)","('益阳市', 45796)","('益阳市', 44687)","('益阳市', 336070)","('深圳市', 17159)"
"('石家庄市', 61400)","('广州市', 115263)","('深圳市', 20641)","('上海市', 148800)","('石家庄市', 18088)","('石家庄市', 19005)","('石家庄市', 18544)","('上海市', 139464)","('广州市', 7121)"
"('长春市', 493623)","('珠海市', 926653)","('深圳市', 165944)","('广州市', 1196265)","('长春市', 145418)","('广州市', 152786)","('长春市', 149085)","('广州市', 1121209)","('广州市', 57245)"
"('廊坊市', 156973)","('荆州市', 294676)","('绍兴市', 52770)","('无锡市', 380413)","('廊坊市', 46243)","('济宁市', 48586)","('廊坊市', 47409)","('荆州市', 356545)","('荆州市', 18204)"
"('常州市', 4373)","('中山市', 8209)","('泉州市', 1470)","('苏州市', 10598)","('常州市', 1288)","('常州市', 1354)","('常州市', 1321)","('常州市', 9933)","('中山市', 507)"
"('武汉市', 3816422)","('东莞市', 7164363)","('厦门市', 1282986)","('武汉市', 9248853)","('武汉市', 1124294)","('武汉市', 1181260)","('武汉市', 1152643)","('武汉市', 8668562)","('东莞市', 442586)"
"('保定市', 1077)","('珠海市', 2022)","('泉州市', 362)","('金华市', 2610)","('保定市', 317)","('保定市', 333)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 2446)","('广州市', 125)"
"('济宁市', 10304383)","('广州市', 19343860)","('广州市', 3464076)","('杭州市', 24972007)","('济宁市', 3035607)","('济宁市', 3189416)","('长春市', 3112148)","('杭州市', 23405215)","('广州市', 1194988)"
"('天津市', 116034)","('绍兴市', 217824)","('绍兴市', 39008)","('无锡市', 281200)","('廊坊市', 34183)","('廊坊市', 35915)","('天津市', 35045)","('无锡市', 263557)","('成都市/资阳市/眉山市', 13456)"
