RDC,Trans_cost,Trunk_cost,Transit_cost,Dist_cost,Rdc_cus_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost,Total_Area,RDC_Shipping_Distance,RDC_Reverse_Distance
1,18753427.652597558,25720143.339597844,113481879.19481866,23179246.066547126,162381268.60096362,11047369.227993436,26356910.00124157,35602763.65334721,254141739.1361434,146427.2777846754,432427.37,65744.24
2,16321824.862772021,21037920.94424983,113481879.19481874,23179246.066547137,157699046.2056157,9587326.614527022,32088359.89306017,35602763.65334722,251299321.22932214,153748.6416739092,405377.25,53966.66500000001
3,13730052.685350195,17103874.867970005,113481879.19481868,23179246.066547133,153765000.12933582,8212480.515280229,38340311.6200964,35602763.653347194,249650608.6034098,161436.07375760464,391933.91000000003,44738.975
4,14298990.204392761,13502160.658818543,113481879.19481869,23179246.066547137,150163285.92018437,6694082.973886218,42159303.807536304,35602763.65334721,248918426.55934688,169507.87744548492,325880.3000000001,32849.384999999995
5,14479541.483611021,13092656.440417757,113481879.19481869,23179246.066547137,149753781.70178357,6520877.84224103,44011922.33166902,35602763.65334721,250368887.01265183,177983.27131775918,306606.69000000006,31148.2816667
6,14593665.889459234,12702201.204756152,113481879.19481869,23179246.066547137,149363326.46612197,6234817.871077039,46374038.340402424,35602763.65334721,252168612.22040787,186882.43488364716,294394.7100000001,28975.0216667
7,14671062.979116436,12277982.282715125,113481879.1948187,23179246.06654714,148939107.54408097,6038637.754120604,48912102.22309777,35602763.65334721,254163674.15376303,196226.55662782953,291831.4,26010.5216667
8,14735942.038434412,12203407.797152512,113481879.19481869,23179246.06654714,148864533.05851835,5979881.257556295,51236665.368187055,35602763.65334721,256419785.3760433,206037.88445922104,290802.80000000005,25343.901666699996
9,15067783.13384803,12439503.85773415,113481879.1948187,23179246.06654714,149100629.11909997,5747780.804099944,53288709.1687668,35602763.65334721,258807665.87916198,216339.778682182,291008.18000000005,23360.9416667
10,15258900.633048346,12871703.80409717,113481879.1948187,23179246.066547137,149532829.065463,5592465.806799284,55366498.2077456,35602763.65334721,261353457.36640346,227156.76761629118,293495.24000000005,21362.6966667
11,15431534.726682985,13159263.498501673,113481879.19481869,23179246.06654714,149820388.7598675,5431177.825634934,57742797.34946998,35602763.65334721,264028662.3150026,238514.60599710565,297649.0900000001,19961.291666700003
12,15393398.222298289,13314496.28078645,113481879.19481869,23179246.066547137,149975621.5421523,5300430.184169851,60598893.419197135,35602763.6533472,266871107.02116475,250440.33629696092,305444.0200000001,19084.3516667
13,15520006.150170976,13707379.314567665,113481879.19481869,23179246.066547137,150368504.5759335,5265134.141704688,63108324.17965647,35602763.65334721,269864732.7008128,262962.3531118091,316888.24,18634.751666699998
14,16519659.782064235,16426061.57668162,113481879.19481866,23179246.066547137,153087186.83804742,5342736.450901382,62401747.59565406,35602763.653347194,272954094.3200143,276110.47076739935,328100.58999999997,19221.1316667
