济南市,中山市,贵阳市,南宁市/崇左市,合肥市,泉州市,湖州市,天津市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 2011227)","('清远市', 8582396)","('贵阳市', 734724)","('贵阳市', 416542)","('黄山市', 798062)","('汕头市', 1308578)","('杭州市', 11842384)","('保定市', 3918184)","('保定市', 1129593)","('保定市', 1118717)","('保定市', 1447016)","('保定市', 1291931)","('黄山市', 3601168)"
"('无锡市', 33899)","('安庆市', 144653)","('安庆市', 12384)","('安庆市', 7021)","('安庆市', 13451)","('安庆市', 22056)","('无锡市', 199599)","('无锡市', 66040)","('安庆市', 19039)","('安庆市', 18856)","('安庆市', 24389)","('无锡市', 21775)","('安庆市', 60696)"
"('合肥市', 25368)","('中山市', 108250)","('南宁市/崇左市', 9267)","('南宁市/崇左市', 5254)","('合肥市', 10066)","('福州市', 16505)","('苏州市', 149368)","('合肥市', 49420)","('合肥市', 14248)","('合肥市', 14110)","('合肥市', 18251)","('合肥市', 16295)","('合肥市', 45422)"
"('德州市', 261585)","('东莞市', 1116248)","('长沙市', 95560)","('东莞市', 54176)","('黄山市', 103798)","('温州市', 170197)","('上海市', 1540250)","('德州市', 509609)","('德州市', 146918)","('德州市', 145503)","('德州市', 188203)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 468377)"
"('苏州市', 98519)","('珠海市', 420406)","('广州市', 35990)","('广州市', 20404)","('苏州市', 39093)","('福州市', 64100)","('苏州市', 580095)","('苏州市', 191931)","('苏州市', 55333)","('苏州市', 54800)","('苏州市', 70882)","('苏州市', 63285)","('苏州市', 176402)"
"('盐城市', 864035)","('肇庆市', 3687051)","('肇庆市', 315642)","('肇庆市', 178949)","('杭州市', 342852)","('温州市', 562173)","('杭州市', 5087561)","('盐城市', 1683276)","('盐城市', 485280)","('盐城市', 480608)","('盐城市', 621647)","('盐城市', 555022)","('杭州市', 1547084)"
"('保定市', 18311)","('东莞市', 78139)","('东莞市', 6689)","('东莞市', 3792)","('石家庄市', 7266)","('深圳市', 11914)","('保定市', 107820)","('保定市', 35673)","('石家庄市', 10284)","('石家庄市', 10185)","('石家庄市', 13174)","('保定市', 11762)","('石家庄市', 32787)"
"('益阳市', 69566)","('深圳市', 296856)","('益阳市', 25413)","('深圳市', 14408)","('益阳市', 27604)","('泉州市', 45262)","('泉州市', 409616)","('益阳市', 135526)","('益阳市', 39071)","('益阳市', 38695)","('益阳市', 50051)","('益阳市', 44687)","('益阳市', 124561)"
"('石家庄市', 28869)","('广州市', 123191)","('广州市', 10546)","('广州市', 5979)","('上海市', 11455)","('深圳市', 18783)","('上海市', 169984)","('石家庄市', 56241)","('石家庄市', 16214)","('石家庄市', 16058)","('石家庄市', 20770)","('石家庄市', 18544)","('上海市', 51691)"
"('长春市', 232090)","('珠海市', 990383)","('广州市', 84785)","('广州市', 48068)","('广州市', 92094)","('深圳市', 151006)","('深圳市', 1366576)","('长春市', 452147)","('长春市', 130352)","('广州市', 129097)","('广州市', 166981)","('长春市', 149085)","('广州市', 415564)"
"('济宁市', 73805)","('荆州市', 314943)","('荆州市', 26962)","('荆州市', 15286)","('无锡市', 29286)","('绍兴市', 48020)","('绍兴市', 434572)","('廊坊市', 143783)","('廊坊市', 41452)","('荆州市', 41053)","('济宁市', 53100)","('廊坊市', 47409)","('荆州市', 132150)"
"('常州市', 2056)","('中山市', 8774)","('中山市', 751)","('中山市', 426)","('常州市', 816)","('泉州市', 1338)","('苏州市', 12107)","('常州市', 4006)","('常州市', 1155)","('常州市', 1144)","('常州市', 1479)","('常州市', 1321)","('常州市', 3682)"
"('武汉市', 1794388)","('东莞市', 7657094)","('东莞市', 655511)","('东莞市', 371633)","('武汉市', 712020)","('厦门市', 1167495)","('福州市', 10565608)","('武汉市', 3495749)","('武汉市', 1007807)","('武汉市', 998104)","('武汉市', 1291007)","('武汉市', 1152643)","('武汉市', 3212912)"
"('保定市', 506)","('珠海市', 2161)","('广州市', 185)","('广州市', 105)","('金华市', 201)","('泉州市', 329)","('金华市', 2982)","('保定市', 986)","('保定市', 284)","('保定市', 282)","('保定市', 364)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 907)"
"('济宁市', 4844868)","('广州市', 20674239)","('广州市', 1769886)","('广州市', 1003413)","('杭州市', 1922462)","('广州市', 3152250)","('杭州市', 28527261)","('济宁市', 9438560)","('济宁市', 2721090)","('济宁市', 2694892)","('济宁市', 3485734)","('长春市', 3112148)","('杭州市', 8674898)"
"('天津市', 54556)","('绍兴市', 232805)","('成都市/资阳市/眉山市', 19930)","('成都市/资阳市/眉山市', 11299)","('无锡市', 21648)","('绍兴市', 35496)","('绍兴市', 321235)","('天津市', 106284)","('廊坊市', 30641)","('成都市/资阳市/眉山市', 30346)","('廊坊市', 39252)","('天津市', 35045)","('无锡市', 97685)"
