中山市,湖州市
"('清远市', 12102600)","('杭州市', 26097922)"
"('安庆市', 203985)","('无锡市', 439872)"
"('中山市', 152650)","('苏州市', 329174)"
"('东莞市', 1574095)","('上海市', 3394362)"
"('珠海市', 592841)","('苏州市', 1278397)"
"('肇庆市', 5199352)","('杭州市', 11211829)"
"('东莞市', 110189)","('保定市', 237611)"
"('深圳市', 418616)","('泉州市', 902700)"
"('广州市', 173719)","('上海市', 374607)"
"('珠海市', 1396604)","('深圳市', 3011623)"
"('荆州市', 444121)","('绍兴市', 957698)"
"('中山市', 12373)","('苏州市', 26680)"
"('东莞市', 10797770)","('福州市', 23284199)"
"('珠海市', 3047)","('金华市', 6571)"
"('广州市', 29154100)","('杭州市', 62867600)"
"('绍兴市', 328293)","('绍兴市', 707928)"
