中山市,湖州市,石家庄市
"('清远市', 12079418)","('杭州市', 16218588)","('保定市', 9902517)"
"('安庆市', 203595)","('无锡市', 273359)","('安庆市', 166904)"
"('中山市', 152358)","('苏州市', 204565)","('合肥市', 124901)"
"('东莞市', 1571080)","('上海市', 2109430)","('德州市', 1287946)"
"('珠海市', 591706)","('苏州市', 794462)","('苏州市', 485071)"
"('肇庆市', 5189393)","('杭州市', 6967606)","('盐城市', 4254182)"
"('东莞市', 109978)","('保定市', 147663)","('石家庄市', 90158)"
"('深圳市', 417815)","('泉州市', 560984)","('益阳市', 342518)"
"('广州市', 173387)","('上海市', 232800)","('石家庄市', 142140)"
"('珠海市', 1393929)","('深圳市', 1871577)","('长春市', 1142721)"
"('荆州市', 443270)","('绍兴市', 595163)","('廊坊市', 363386)"
"('中山市', 12349)","('苏州市', 16580)","('常州市', 10123)"
"('东莞市', 10777087)","('福州市', 14469996)","('武汉市', 8834886)"
"('珠海市', 3041)","('金华市', 4083)","('保定市', 2493)"
"('广州市', 29098257)","('杭州市', 39069152)","('济宁市', 23854292)"
"('绍兴市', 327664)","('绍兴市', 439943)","('廊坊市', 268614)"
