中山市,湖州市,天津市,鄂州市
"('清远市', 10433056)","('杭州市', 13701007)","('保定市', 7953397)","('黄山市', 6113062)"
"('安庆市', 175846)","('无锡市', 230926)","('无锡市', 134052)","('安庆市', 103034)"
"('中山市', 131592)","('苏州市', 172811)","('合肥市', 100316)","('合肥市', 77104)"
"('东莞市', 1356950)","('上海市', 1781988)","('德州市', 1034439)","('长沙市', 795080)"
"('珠海市', 511059)","('苏州市', 671139)","('苏州市', 389594)","('苏州市', 299446)"
"('肇庆市', 4482106)","('杭州市', 5886037)","('盐城市', 3416829)","('杭州市', 2626209)"
"('东莞市', 94989)","('保定市', 124742)","('保定市', 72412)","('石家庄市', 55657)"
"('深圳市', 360869)","('泉州市', 473904)","('益阳市', 275100)","('益阳市', 211445)"
"('广州市', 149755)","('上海市', 196663)","('石家庄市', 114162)","('上海市', 87746)"
"('珠海市', 1203944)","('深圳市', 1581056)","('长春市', 917799)","('广州市', 705429)"
"('荆州市', 382855)","('绍兴市', 502777)","('廊坊市', 291861)","('荆州市', 224327)"
"('中山市', 10666)","('苏州市', 14007)","('常州市', 8131)","('常州市', 6249)"
"('东莞市', 9308226)","('福州市', 12223846)","('武汉市', 7095909)","('武汉市', 5453988)"
"('珠海市', 2627)","('金华市', 3449)","('保定市', 2002)","('金华市', 1539)"
"('广州市', 25132316)","('杭州市', 33004520)","('济宁市', 19159034)","('杭州市', 14725830)"
"('绍兴市', 283006)","('绍兴市', 371651)","('天津市', 215743)","('无锡市', 165822)"
