中山市,湖州市,天津市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('清远市', 10433056)","('杭州市', 13499718)","('保定市', 5953764)","('保定市', 3189675)","('保定市', 1291931)","('黄山市', 3832378)"
"('安庆市', 175846)","('无锡市', 227533)","('无锡市', 100349)","('安庆市', 53761)","('无锡市', 21775)","('安庆市', 64593)"
"('中山市', 131592)","('苏州市', 170272)","('合肥市', 75095)","('合肥市', 40231)","('合肥市', 16295)","('合肥市', 48338)"
"('东莞市', 1356950)","('上海市', 1755807)","('德州市', 774362)","('德州市', 414857)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 498449)"
"('珠海市', 511059)","('苏州市', 661279)","('苏州市', 291643)","('苏州市', 156245)","('苏州市', 63285)","('苏州市', 187728)"
"('肇庆市', 4482106)","('杭州市', 5799562)","('盐城市', 2557774)","('盐城市', 1370304)","('盐城市', 555022)","('杭州市', 1646413)"
"('东莞市', 94989)","('保定市', 122909)","('保定市', 54207)","('石家庄市', 29041)","('保定市', 11762)","('石家庄市', 34892)"
"('深圳市', 360869)","('泉州市', 466941)","('益阳市', 205935)","('益阳市', 110328)","('益阳市', 44687)","('益阳市', 132558)"
"('广州市', 149755)","('上海市', 193773)","('石家庄市', 85460)","('石家庄市', 45784)","('石家庄市', 18544)","('上海市', 55010)"
"('珠海市', 1203944)","('深圳市', 1557828)","('长春市', 687047)","('广州市', 368079)","('长春市', 149085)","('广州市', 442245)"
"('荆州市', 382855)","('绍兴市', 495390)","('廊坊市', 218481)","('济宁市', 117049)","('廊坊市', 47409)","('荆州市', 140634)"
"('中山市', 10666)","('苏州市', 13801)","('常州市', 6087)","('常州市', 3261)","('常州市', 1321)","('常州市', 3918)"
"('东莞市', 9308226)","('福州市', 12044259)","('武汉市', 5311864)","('武汉市', 2845784)","('武汉市', 1152643)","('武汉市', 3419194)"
"('珠海市', 2627)","('金华市', 3399)","('保定市', 1499)","('保定市', 803)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 965)"
"('广州市', 25132316)","('杭州市', 32519634)","('济宁市', 14342094)","('济宁市', 7683648)","('长春市', 3112148)","('杭州市', 9231861)"
"('绍兴市', 283006)","('绍兴市', 366191)","('天津市', 161501)","('廊坊市', 86523)","('天津市', 35045)","('无锡市', 103957)"
