RDC,Trans_cost,Trunk_cost,Transit_cost,Dist_cost,Rdc_cus_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost,Total_Area,RDC_Shipping_Distance,RDC_Reverse_Distance
1,11058659.79055697,26296514.89481458,56860037.381774604,23179246.066547126,106335798.34313631,10911262.382352931,26811604.367880106,35602763.65334721,190720088.5372735,101559.10745409131,504775.2249999999,68165.25000000001
2,10124086.32821755,18849189.865279242,56860037.38177464,23179246.066547137,98888473.31360103,8554927.738797469,28529328.866287705,35602763.65334721,181699579.90025094,103590.28960317312,435514.3016666666,50467.345
3,12389309.052752733,14167309.528723378,56860037.381774634,23179246.06654714,94206592.97704515,6512784.161859097,28768924.4713516,35602763.65334721,177480374.31635582,105662.09539523667,322320.19166666665,34149.985
4,13871757.81777578,12737642.899693092,56860037.38177464,23179246.066547144,92776926.34801488,6114080.0286864415,27794343.17455875,35602763.6533472,176159871.02238303,107775.3373031414,304226.81333333335,32575.214999999997
5,13713448.247381654,12035003.305103172,56860037.38177464,23179246.06654714,92074286.75342496,5767072.365924721,28705680.85326308,35602763.6533472,175863251.87334162,109930.84404920418,278167.5883333333,30345.735
6,13838400.690956736,11629763.17741335,56860037.38177464,23179246.06654714,91669046.62573513,5574022.961167393,29143275.74731853,35602763.6533472,175827509.67852497,112129.4609301883,257162.59499999994,28526.3116667
7,14162289.55696617,11100666.903388577,56860037.38177465,23179246.06654714,91139950.35171036,5312121.921371028,29640883.172711942,35602763.65334721,175858008.6561067,114372.05014879204,252602.38499999995,25760.3916667
8,14482754.92665549,10742772.645808812,56860037.38177465,23179246.066547137,90782056.0941306,5025603.319783941,30266834.99372421,35602763.6533472,176160012.98764145,116659.49115176788,230191.42499999993,23351.7416667
9,14345707.836640064,10377076.308003588,56860037.38177464,23179246.066547133,90416359.75632536,4909141.520492375,31228102.66806941,35602763.6533472,176502075.4348744,118992.68097480325,227536.52499999997,22651.9516667
10,14357024.912505437,10262181.282369273,56860037.38177465,23179246.066547133,90301464.73069105,4831670.741952396,31851768.541175652,35602763.6533472,176944692.57967174,121372.53459429934,224378.01499999996,21640.191666699997
11,14692332.076009214,9918716.313012369,56860037.38177465,23179246.06654714,89957999.76133415,4669054.027630185,32497276.404286597,35602763.6533472,177419425.92260733,123799.98528618531,199893.82499999995,19641.9466667
12,14828247.337352052,9791466.592639998,56860037.38177465,23179246.06654714,89830750.04096179,4574334.380854825,33132841.56747433,35602763.6533472,177968936.97999018,126275.984991909,197135.865,19016.7016667
13,14870280.592044067,9678219.782546544,56860037.38177466,23179246.066547137,89717503.23086834,4545527.837808645,33823121.754099436,35602763.653347194,178559197.0681677,128801.50469174713,195523.235,18685.161666699998
14,15173466.86240244,9177014.432861246,56860037.38177465,23179246.06654714,89216297.88118303,4545527.837808645,34662693.51825797,35602763.653347194,179200749.75299928,131377.5347855821,191489.15166666667,18685.161666699998
