供应商代码,供应商城市,供应商_LAT,供应商_LGT,RDC代码,RDC城市,RDC_LAT,RDC_LGT,SKU_NO,品类,重量(kg)
312,保定市,38.867657,115.482331,22,天津市,39.125596,117.190182,SKU1,包装胶袋,6302662
510,无锡市,31.574729,120.301663,22,天津市,39.125596,117.190182,SKU10,雨具,106229
311,石家庄市,38.045474,114.502461,22,天津市,39.125596,117.190182,SKU2,背胶运单,90468
431,长春市,43.886841,125.3245,22,天津市,39.125596,117.190182,SKU3,常规运单,727309
316,廊坊市,39.523927,116.704441,22,天津市,39.125596,117.190182,SKU4,春秋冬装,231285
519,常州市,31.772752,119.946973,22,天津市,39.125596,117.190182,SKU5,防护用品,6443
27,武汉市,30.584355,114.298572,22,天津市,39.125596,117.190182,SKU6,封箱胶纸,5623146
312,保定市,38.867657,115.482331,22,天津市,39.125596,117.190182,SKU7,配饰用品,1587
537,济宁市,35.415393,116.587245,22,天津市,39.125596,117.190182,SKU8,文件封,15182558
22,天津市,39.125596,117.190182,22,天津市,39.125596,117.190182,SKU9,夏装,170965
312,保定市,38.867657,115.482331,371,郑州市,34.757975,113.665412,SKU1,包装胶袋,2885599
556,安庆市,30.50883,117.043551,371,郑州市,34.757975,113.665412,SKU10,雨具,48636
311,石家庄市,38.045474,114.502461,371,郑州市,34.757975,113.665412,SKU2,背胶运单,41420
20,广州市,23.125178,113.280637,371,郑州市,34.757975,113.665412,SKU3,常规运单,332990
537,济宁市,35.415393,116.587245,371,郑州市,34.757975,113.665412,SKU4,春秋冬装,105891
519,常州市,31.772752,119.946973,371,郑州市,34.757975,113.665412,SKU5,防护用品,2950
27,武汉市,30.584355,114.298572,371,郑州市,34.757975,113.665412,SKU6,封箱胶纸,2574491
312,保定市,38.867657,115.482331,371,郑州市,34.757975,113.665412,SKU7,配饰用品,727
537,济宁市,35.415393,116.587245,371,郑州市,34.757975,113.665412,SKU8,文件封,6951154
316,廊坊市,39.523927,116.704441,371,郑州市,34.757975,113.665412,SKU9,夏装,78274
571,杭州市,30.287459,120.153576,572,湖州市,30.867198,120.102398,SKU1,包装胶袋,9649673
510,无锡市,31.574729,120.301663,572,湖州市,30.867198,120.102398,SKU10,雨具,162642
21,上海市,31.231706,121.472644,572,湖州市,30.867198,120.102398,SKU2,背胶运单,138510
755,深圳市,22.547,114.085947,572,湖州市,30.867198,120.102398,SKU3,常规运单,1113544
575,绍兴市,29.997117,120.582112,572,湖州市,30.867198,120.102398,SKU4,春秋冬装,354108
512,苏州市,31.299379,120.619585,572,湖州市,30.867198,120.102398,SKU5,防护用品,9865
591,福州市,26.075302,119.306239,572,湖州市,30.867198,120.102398,SKU6,封箱胶纸,8609303
579,金华市,29.089524,119.649506,572,湖州市,30.867198,120.102398,SKU7,配饰用品,2429
571,杭州市,30.287459,120.153576,572,湖州市,30.867198,120.102398,SKU8,文件封,23245214
575,绍兴市,29.997117,120.582112,572,湖州市,30.867198,120.102398,SKU9,夏装,261756
559,黄山市,29.709239,118.317325,711,鄂州市,30.396536,114.890593,SKU1,包装胶袋,1838271
556,安庆市,30.50883,117.043551,711,鄂州市,30.396536,114.890593,SKU10,雨具,30983
21,上海市,31.231706,121.472644,711,鄂州市,30.396536,114.890593,SKU2,背胶运单,26386
20,广州市,23.125178,113.280637,711,鄂州市,30.396536,114.890593,SKU3,常规运单,212131
716,荆州市,30.326857,112.23813,711,鄂州市,30.396536,114.890593,SKU4,春秋冬装,67458
519,常州市,31.772752,119.946973,711,鄂州市,30.396536,114.890593,SKU5,防护用品,1879
27,武汉市,30.584355,114.298572,711,鄂州市,30.396536,114.890593,SKU6,封箱胶纸,1640080
579,金华市,29.089524,119.649506,711,鄂州市,30.396536,114.890593,SKU7,配饰用品,463
571,杭州市,30.287459,120.153576,711,鄂州市,30.396536,114.890593,SKU8,文件封,4428234
510,无锡市,31.574729,120.301663,711,鄂州市,30.396536,114.890593,SKU9,夏装,49865
763,清远市,23.685022,113.051227,760,中山市,22.521113,113.382391,SKU1,包装胶袋,7633739
556,安庆市,30.50883,117.043551,760,中山市,22.521113,113.382391,SKU10,雨具,128664
20,广州市,23.125178,113.280637,760,中山市,22.521113,113.382391,SKU2,背胶运单,109574
756,珠海市,22.224979,113.553986,760,中山市,22.521113,113.382391,SKU3,常规运单,880911
716,荆州市,30.326857,112.23813,760,中山市,22.521113,113.382391,SKU4,春秋冬装,280130
760,中山市,22.521113,113.382391,760,中山市,22.521113,113.382391,SKU5,防护用品,7804
769,东莞市,23.046237,113.746262,760,中山市,22.521113,113.382391,SKU6,封箱胶纸,6810714
756,珠海市,22.224979,113.553986,760,中山市,22.521113,113.382391,SKU7,配饰用品,1922
20,广州市,23.125178,113.280637,760,中山市,22.521113,113.382391,SKU8,文件封,18389006
575,绍兴市,29.997117,120.582112,760,中山市,22.521113,113.382391,SKU9,夏装,207072
851,贵阳市,26.578343,106.713478,851,贵阳市,26.578343,106.713478,SKU1,包装胶袋,1884865
556,安庆市,30.50883,117.043551,851,贵阳市,26.578343,106.713478,SKU10,雨具,31769
20,广州市,23.125178,113.280637,851,贵阳市,26.578343,106.713478,SKU2,背胶运单,27055
20,广州市,23.125178,113.280637,851,贵阳市,26.578343,106.713478,SKU3,常规运单,217508
716,荆州市,30.326857,112.23813,851,贵阳市,26.578343,106.713478,SKU4,春秋冬装,69168
760,中山市,22.521113,113.382391,851,贵阳市,26.578343,106.713478,SKU5,防护用品,1927
