供应商代码,供应商城市,供应商_LAT,供应商_LGT,RDC代码,RDC城市,RDC_LAT,RDC_LGT,SKU_NO,品类,重量(kg)
312,保定市,38.867657,115.482331,22,天津市,39.125596,117.190182,SKU1,包装胶袋,6302662
510,无锡市,31.574729,120.301663,22,天津市,39.125596,117.190182,SKU10,雨具,106229
311,石家庄市,38.045474,114.502461,22,天津市,39.125596,117.190182,SKU2,背胶运单,90468
431,长春市,43.886841,125.3245,22,天津市,39.125596,117.190182,SKU3,常规运单,727309
316,廊坊市,39.523927,116.704441,22,天津市,39.125596,117.190182,SKU4,春秋冬装,231285
519,常州市,31.772752,119.946973,22,天津市,39.125596,117.190182,SKU5,防护用品,6443
27,武汉市,30.584355,114.298572,22,天津市,39.125596,117.190182,SKU6,封箱胶纸,5623146
312,保定市,38.867657,115.482331,22,天津市,39.125596,117.190182,SKU7,配饰用品,1587
537,济宁市,35.415393,116.587245,22,天津市,39.125596,117.190182,SKU8,文件封,15182558
22,天津市,39.125596,117.190182,22,天津市,39.125596,117.190182,SKU9,夏装,170965
851,贵阳市,26.578343,106.713478,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU1,包装胶袋,1634178
556,安庆市,30.50883,117.043551,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU10,雨具,27544
311,石家庄市,38.045474,114.502461,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU2,背胶运单,23457
20,广州市,23.125178,113.280637,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU3,常规运单,188579
716,荆州市,30.326857,112.23813,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU4,春秋冬装,59968
760,中山市,22.521113,113.382391,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU5,防护用品,1671
27,武汉市,30.584355,114.298572,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU6,封箱胶纸,1457990
20,广州市,23.125178,113.280637,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU7,配饰用品,411
537,济宁市,35.415393,116.587245,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU8,文件封,3936590
28,成都市/资阳市/眉山市,30.659462,104.065735,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU9,夏装,44328
312,保定市,38.867657,115.482331,371,郑州市,34.757975,113.665412,SKU1,包装胶袋,2858169
556,安庆市,30.50883,117.043551,371,郑州市,34.757975,113.665412,SKU10,雨具,48173
311,石家庄市,38.045474,114.502461,371,郑州市,34.757975,113.665412,SKU2,背胶运单,41026
20,广州市,23.125178,113.280637,371,郑州市,34.757975,113.665412,SKU3,常规运单,329824
537,济宁市,35.415393,116.587245,371,郑州市,34.757975,113.665412,SKU4,春秋冬装,104884
519,常州市,31.772752,119.946973,371,郑州市,34.757975,113.665412,SKU5,防护用品,2922
27,武汉市,30.584355,114.298572,371,郑州市,34.757975,113.665412,SKU6,封箱胶纸,2550019
312,保定市,38.867657,115.482331,371,郑州市,34.757975,113.665412,SKU7,配饰用品,720
537,济宁市,35.415393,116.587245,371,郑州市,34.757975,113.665412,SKU8,文件封,6885079
316,廊坊市,39.523927,116.704441,371,郑州市,34.757975,113.665412,SKU9,夏装,77530
571,杭州市,30.287459,120.153576,572,湖州市,30.867198,120.102398,SKU1,包装胶袋,9649673
510,无锡市,31.574729,120.301663,572,湖州市,30.867198,120.102398,SKU10,雨具,162642
21,上海市,31.231706,121.472644,572,湖州市,30.867198,120.102398,SKU2,背胶运单,138510
755,深圳市,22.547,114.085947,572,湖州市,30.867198,120.102398,SKU3,常规运单,1113544
575,绍兴市,29.997117,120.582112,572,湖州市,30.867198,120.102398,SKU4,春秋冬装,354108
512,苏州市,31.299379,120.619585,572,湖州市,30.867198,120.102398,SKU5,防护用品,9865
591,福州市,26.075302,119.306239,572,湖州市,30.867198,120.102398,SKU6,封箱胶纸,8609303
579,金华市,29.089524,119.649506,572,湖州市,30.867198,120.102398,SKU7,配饰用品,2429
571,杭州市,30.287459,120.153576,572,湖州市,30.867198,120.102398,SKU8,文件封,23245214
575,绍兴市,29.997117,120.582112,572,湖州市,30.867198,120.102398,SKU9,夏装,261756
559,黄山市,29.709239,118.317325,711,鄂州市,30.396536,114.890593,SKU1,包装胶袋,1878731
556,安庆市,30.50883,117.043551,711,鄂州市,30.396536,114.890593,SKU10,雨具,31665
21,上海市,31.231706,121.472644,711,鄂州市,30.396536,114.890593,SKU2,背胶运单,26967
20,广州市,23.125178,113.280637,711,鄂州市,30.396536,114.890593,SKU3,常规运单,216800
716,荆州市,30.326857,112.23813,711,鄂州市,30.396536,114.890593,SKU4,春秋冬装,68943
519,常州市,31.772752,119.946973,711,鄂州市,30.396536,114.890593,SKU5,防护用品,1921
27,武汉市,30.584355,114.298572,711,鄂州市,30.396536,114.890593,SKU6,封箱胶纸,1676177
579,金华市,29.089524,119.649506,711,鄂州市,30.396536,114.890593,SKU7,配饰用品,473
571,杭州市,30.287459,120.153576,711,鄂州市,30.396536,114.890593,SKU8,文件封,4525697
510,无锡市,31.574729,120.301663,711,鄂州市,30.396536,114.890593,SKU9,夏装,50962
763,清远市,23.685022,113.051227,760,中山市,22.521113,113.382391,SKU1,包装胶袋,7871397
556,安庆市,30.50883,117.043551,760,中山市,22.521113,113.382391,SKU10,雨具,132670
20,广州市,23.125178,113.280637,760,中山市,22.521113,113.382391,SKU2,背胶运单,112985
756,珠海市,22.224979,113.553986,760,中山市,22.521113,113.382391,SKU3,常规运单,908336
