长沙市,中山市,南宁市/崇左市,成都市/资阳市/眉山市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('永州市', 1003610)","('清远市', 7441118)","('贵阳市', 791970)","('贵阳市', 1608127)","('汕头市', 1111512)","('杭州市', 11908229)","('保定市', 4340423)","('保定市', 865554)","('保定市', 1827746)","('保定市', 1162395)","('黄山市', 1103559)"
"('安庆市', 16916)","('安庆市', 125418)","('安庆市', 13348)","('安庆市', 27104)","('安庆市', 18734)","('无锡市', 200709)","('安庆市', 73156)","('安庆市', 14589)","('安庆市', 30806)","('无锡市', 19592)","('安庆市', 18600)"
"('广州市', 14406)","('广州市', 106809)","('广州市', 11368)","('石家庄市', 23083)","('深圳市', 15955)","('上海市', 170929)","('石家庄市', 62302)","('石家庄市', 12424)","('石家庄市', 26235)","('石家庄市', 16685)","('上海市', 15840)"
"('广州市', 115814)","('珠海市', 858683)","('广州市', 91391)","('广州市', 185573)","('深圳市', 128265)","('深圳市', 1374175)","('长春市', 500872)","('广州市', 99882)","('广州市', 210917)","('长春市', 134137)","('广州市', 127347)"
"('荆州市', 36829)","('荆州市', 273062)","('荆州市', 29062)","('荆州市', 59012)","('绍兴市', 40788)","('绍兴市', 436988)","('廊坊市', 159278)","('荆州市', 31763)","('济宁市', 67072)","('廊坊市', 42656)","('荆州市', 40497)"
"('中山市', 1026)","('中山市', 7607)","('中山市', 810)","('中山市', 1644)","('泉州市', 1136)","('苏州市', 12174)","('常州市', 4437)","('常州市', 885)","('常州市', 1869)","('常州市', 1188)","('常州市', 1128)"
"('武汉市', 895406)","('东莞市', 6638861)","('东莞市', 706584)","('武汉市', 1434748)","('厦门市', 991675)","('福州市', 10624355)","('武汉市', 3872465)","('武汉市', 772235)","('武汉市', 1630689)","('武汉市', 1037072)","('武汉市', 984580)"
"('广州市', 253)","('珠海市', 1873)","('广州市', 199)","('广州市', 405)","('泉州市', 280)","('金华市', 2998)","('保定市', 1093)","('保定市', 218)","('保定市', 460)","('沈阳市/铁岭市/抚顺市', 293)","('金华市', 278)"
"('广州市', 2417607)","('广州市', 17924998)","('广州市', 1907785)","('济宁市', 3873837)","('广州市', 2677535)","('杭州市', 28685878)","('济宁市', 10455698)","('济宁市', 2085043)","('济宁市', 4402880)","('长春市', 2800106)","('杭州市', 2658376)"
"('绍兴市', 27224)","('绍兴市', 201847)","('成都市/资阳市/眉山市', 21483)","('成都市/资阳市/眉山市', 43622)","('绍兴市', 30151)","('绍兴市', 323021)","('廊坊市', 117738)","('成都市/资阳市/眉山市', 23479)","('廊坊市', 49579)","('天津市', 31531)","('无锡市', 29935)"
