长沙市,中山市,贵阳市,南宁市/崇左市,成都市/资阳市/眉山市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('永州市', 993251)","('清远市', 7264426)","('贵阳市', 545773)","('贵阳市', 484536)","('贵阳市', 1556839)","('汕头市', 1111512)","('杭州市', 11908229)","('保定市', 4340423)","('保定市', 865554)","('保定市', 1827746)","('保定市', 1162395)","('黄山市', 1103559)"
"('安庆市', 16741)","('安庆市', 122439)","('安庆市', 9199)","('安庆市', 8167)","('安庆市', 26240)","('安庆市', 18734)","('无锡市', 200709)","('安庆市', 73156)","('安庆市', 14589)","('安庆市', 30806)","('无锡市', 19592)","('安庆市', 18600)"
"('广州市', 14257)","('广州市', 104273)","('广州市', 7834)","('广州市', 6955)","('石家庄市', 22347)","('深圳市', 15955)","('上海市', 170929)","('石家庄市', 62302)","('石家庄市', 12424)","('石家庄市', 26235)","('石家庄市', 16685)","('上海市', 15840)"
"('广州市', 114618)","('珠海市', 838293)","('广州市', 62981)","('广州市', 55914)","('广州市', 179655)","('深圳市', 128265)","('深圳市', 1374175)","('长春市', 500872)","('广州市', 99882)","('广州市', 210917)","('长春市', 134137)","('广州市', 127347)"
"('荆州市', 36449)","('荆州市', 266578)","('荆州市', 20028)","('荆州市', 17781)","('荆州市', 57130)","('绍兴市', 40788)","('绍兴市', 436988)","('廊坊市', 159278)","('荆州市', 31763)","('济宁市', 67072)","('廊坊市', 42656)","('荆州市', 40497)"
"('中山市', 1015)","('中山市', 7427)","('中山市', 558)","('中山市', 495)","('中山市', 1592)","('泉州市', 1136)","('苏州市', 12174)","('常州市', 4437)","('常州市', 885)","('常州市', 1869)","('常州市', 1188)","('常州市', 1128)"
"('武汉市', 886164)","('东莞市', 6481219)","('东莞市', 486931)","('东莞市', 432296)","('武汉市', 1388990)","('厦门市', 991675)","('福州市', 10624355)","('武汉市', 3872465)","('武汉市', 772235)","('武汉市', 1630689)","('武汉市', 1037072)","('武汉市', 984580)"
"('广州市', 250)","('珠海市', 1829)","('广州市', 137)","('广州市', 122)","('广州市', 392)","('泉州市', 280)","('金华市', 2998)","('保定市', 1093)","('保定市', 218)","('保定市', 460)","('沈阳市/铁岭市/抚顺市', 293)","('金华市', 278)"
"('广州市', 2392653)","('广州市', 17499364)","('广州市', 1314718)","('广州市', 1167205)","('济宁市', 3750287)","('广州市', 2677535)","('杭州市', 28685878)","('济宁市', 10455698)","('济宁市', 2085043)","('济宁市', 4402880)","('长春市', 2800106)","('杭州市', 2658376)"
"('绍兴市', 26943)","('绍兴市', 197054)","('成都市/资阳市/眉山市', 14805)","('成都市/资阳市/眉山市', 13143)","('成都市/资阳市/眉山市', 42231)","('绍兴市', 30151)","('绍兴市', 323021)","('廊坊市', 117738)","('成都市/资阳市/眉山市', 23479)","('廊坊市', 49579)","('天津市', 31531)","('无锡市', 29935)"
