中山市,湖州市,石家庄市
"('清远市', 10103629)","('杭州市', 16414636)","('保定市', 6645977)"
"('安庆市', 170293)","('无锡市', 276663)","('安庆市', 112016)"
"('广州市', 145026)","('上海市', 235614)","('石家庄市', 95396)"
"('珠海市', 1165929)","('深圳市', 1894201)","('长春市', 766926)"
"('荆州市', 370766)","('绍兴市', 602357)","('廊坊市', 243883)"
"('中山市', 10329)","('苏州市', 16781)","('常州市', 6794)"
"('东莞市', 9014316)","('福州市', 14644908)","('武汉市', 5929447)"
"('珠海市', 2544)","('金华市', 4133)","('保定市', 1673)"
"('广州市', 24338754)","('杭州市', 39541416)","('济宁市', 16009574)"
"('绍兴市', 274070)","('绍兴市', 445261)","('廊坊市', 180278)"
