中山市,成都市/资阳市/眉山市,湖州市,天津市
"('清远市', 8928876)","('贵阳市', 2296348)","('杭州市', 15835750)","('保定市', 6103268)"
"('安庆市', 150493)","('安庆市', 38704)","('无锡市', 266906)","('无锡市', 102869)"
"('广州市', 128164)","('石家庄市', 32962)","('上海市', 227305)","('石家庄市', 87606)"
"('珠海市', 1030366)","('广州市', 264992)","('深圳市', 1827399)","('长春市', 704299)"
"('荆州市', 327657)","('荆州市', 84268)","('绍兴市', 581114)","('廊坊市', 223968)"
"('中山市', 9128)","('中山市', 2348)","('苏州市', 16189)","('常州市', 6239)"
"('东莞市', 7966218)","('武汉市', 2048769)","('福州市', 14128434)","('武汉市', 5445250)"
"('珠海市', 2248)","('广州市', 578)","('金华市', 3987)","('保定市', 1537)"
"('广州市', 21508878)","('济宁市', 5531701)","('杭州市', 38146930)","('济宁市', 14702235)"
"('绍兴市', 242203)","('成都市/资阳市/眉山市', 62290)","('绍兴市', 429558)","('天津市', 165556)"
