长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,沈阳市/铁岭市/抚顺市
"('永州市', 1619075)","('清远市', 7943873)","('贵阳市', 1991994)","('杭州市', 15287810)","('保定市', 5159095)","('保定市', 1162395)"
"('安庆市', 27289)","('安庆市', 133891)","('安庆市', 33574)","('无锡市', 257671)","('安庆市', 86955)","('无锡市', 19592)"
"('广州市', 23240)","('广州市', 114025)","('石家庄市', 28593)","('上海市', 219440)","('石家庄市', 74053)","('石家庄市', 16685)"
"('广州市', 186836)","('珠海市', 916700)","('广州市', 229870)","('深圳市', 1764168)","('长春市', 595344)","('长春市', 134137)"
"('荆州市', 59414)","('荆州市', 291511)","('荆州市', 73099)","('绍兴市', 561007)","('廊坊市', 189320)","('廊坊市', 42656)"
"('中山市', 1655)","('中山市', 8121)","('中山市', 2036)","('苏州市', 15629)","('常州市', 5274)","('常州市', 1188)"
"('武汉市', 1444516)","('东莞市', 7087412)","('武汉市', 1777229)","('福州市', 13639570)","('武汉市', 4602872)","('武汉市', 1037072)"
"('广州市', 408)","('珠海市', 2000)","('广州市', 502)","('金华市', 3849)","('保定市', 1299)","('沈阳市/铁岭市/抚顺市', 293)"
"('广州市', 3900209)","('广州市', 19136092)","('济宁市', 4798539)","('杭州市', 36826991)","('济宁市', 12427806)","('长春市', 2800106)"
"('绍兴市', 43919)","('绍兴市', 215484)","('成都市/资阳市/眉山市', 54035)","('绍兴市', 414695)","('廊坊市', 139945)","('天津市', 31531)"
