长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,西安市/咸阳市,沈阳市/铁岭市/抚顺市
"('永州市', 1592188)","('清远市', 7943873)","('贵阳市', 1700873)","('杭州市', 14979118)","('保定市', 4770643)","('保定市', 1015152)","('保定市', 1162395)"
"('安庆市', 26836)","('安庆市', 133891)","('安庆市', 28668)","('无锡市', 252468)","('安庆市', 80408)","('安庆市', 17110)","('无锡市', 19592)"
"('广州市', 22854)","('广州市', 114025)","('石家庄市', 24414)","('上海市', 215009)","('石家庄市', 68477)","('石家庄市', 14571)","('石家庄市', 16685)"
"('广州市', 183734)","('珠海市', 916700)","('广州市', 196276)","('深圳市', 1728546)","('长春市', 550518)","('广州市', 117146)","('长春市', 134137)"
"('荆州市', 58427)","('荆州市', 291511)","('荆州市', 62416)","('绍兴市', 549679)","('廊坊市', 175065)","('荆州市', 37252)","('廊坊市', 42656)"
"('中山市', 1628)","('中山市', 8121)","('中山市', 1739)","('苏州市', 15313)","('常州市', 4877)","('常州市', 1038)","('常州市', 1188)"
"('武汉市', 1420528)","('东莞市', 7087412)","('武汉市', 1517495)","('福州市', 13364158)","('武汉市', 4256301)","('武汉市', 905705)","('武汉市', 1037072)"
"('广州市', 401)","('珠海市', 2000)","('广州市', 428)","('金华市', 3771)","('保定市', 1201)","('保定市', 256)","('沈阳市/铁岭市/抚顺市', 293)"
"('广州市', 3835441)","('广州市', 19136092)","('济宁市', 4097254)","('杭州市', 36083378)","('济宁市', 11492060)","('济宁市', 2445413)","('长春市', 2800106)"
"('绍兴市', 43189)","('绍兴市', 215484)","('成都市/资阳市/眉山市', 46138)","('绍兴市', 406321)","('廊坊市', 129408)","('成都市/资阳市/眉山市', 27537)","('天津市', 31531)"
