长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市
"('永州市', 1537243)","('清远市', 7943873)","('贵阳市', 1700873)","('杭州市', 13704303)","('保定市', 4568509)","('保定市', 892441)","('保定市', 1654605)","('保定市', 1162395)"
"('安庆市', 25910)","('安庆市', 133891)","('安庆市', 28668)","('无锡市', 230981)","('安庆市', 77001)","('安庆市', 15042)","('安庆市', 27888)","('无锡市', 19592)"
"('广州市', 22065)","('广州市', 114025)","('石家庄市', 24414)","('上海市', 196710)","('石家庄市', 65576)","('石家庄市', 12810)","('石家庄市', 23750)","('石家庄市', 16685)"
"('广州市', 177393)","('珠海市', 916700)","('广州市', 196276)","('深圳市', 1581436)","('长春市', 527192)","('广州市', 102985)","('广州市', 190937)","('长春市', 134137)"
"('荆州市', 56411)","('荆州市', 291511)","('荆州市', 62416)","('绍兴市', 502898)","('廊坊市', 167648)","('荆州市', 32749)","('济宁市', 60718)","('廊坊市', 42656)"
"('中山市', 1572)","('中山市', 8121)","('中山市', 1739)","('苏州市', 14010)","('常州市', 4670)","('常州市', 912)","('常州市', 1692)","('常州市', 1188)"
"('武汉市', 1371507)","('东莞市', 7087412)","('武汉市', 1517495)","('福州市', 12226786)","('武汉市', 4075959)","('武汉市', 796223)","('武汉市', 1476215)","('武汉市', 1037072)"
"('广州市', 387)","('珠海市', 2000)","('广州市', 428)","('金华市', 3450)","('保定市', 1150)","('保定市', 225)","('保定市', 417)","('沈阳市/铁岭市/抚顺市', 293)"
"('广州市', 3703084)","('广州市', 19136092)","('济宁市', 4097254)","('杭州市', 33012461)","('济宁市', 11005136)","('济宁市', 2149812)","('济宁市', 3985798)","('长春市', 2800106)"
"('绍兴市', 41699)","('绍兴市', 215484)","('成都市/资阳市/眉山市', 46138)","('绍兴市', 371741)","('廊坊市', 123925)","('成都市/资阳市/眉山市', 24208)","('廊坊市', 44883)","('天津市', 31531)"
