长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('永州市', 1218297)","('清远市', 7943873)","('贵阳市', 1700873)","('杭州市', 13001522)","('保定市', 4568509)","('保定市', 865554)","('保定市', 1599661)","('保定市', 1162395)","('黄山市', 1103559)"
"('安庆市', 20534)","('安庆市', 133891)","('安庆市', 28668)","('无锡市', 219136)","('安庆市', 77001)","('安庆市', 14589)","('安庆市', 26962)","('无锡市', 19592)","('安庆市', 18600)"
"('广州市', 17487)","('广州市', 114025)","('石家庄市', 24414)","('上海市', 186622)","('石家庄市', 65576)","('石家庄市', 12424)","('石家庄市', 22961)","('石家庄市', 16685)","('上海市', 15840)"
"('广州市', 140588)","('珠海市', 916700)","('广州市', 196276)","('深圳市', 1500337)","('长春市', 527192)","('广州市', 99882)","('广州市', 184596)","('长春市', 134137)","('广州市', 127347)"
"('荆州市', 44707)","('荆州市', 291511)","('荆州市', 62416)","('绍兴市', 477108)","('廊坊市', 167648)","('荆州市', 31763)","('济宁市', 58702)","('廊坊市', 42656)","('荆州市', 40497)"
"('中山市', 1245)","('中山市', 8121)","('中山市', 1739)","('苏州市', 13292)","('常州市', 4670)","('常州市', 885)","('常州市', 1635)","('常州市', 1188)","('常州市', 1128)"
"('武汉市', 1086948)","('东莞市', 7087412)","('武汉市', 1517495)","('福州市', 11599775)","('武汉市', 4075959)","('武汉市', 772235)","('武汉市', 1427195)","('武汉市', 1037072)","('武汉市', 984580)"
"('广州市', 307)","('珠海市', 2000)","('广州市', 428)","('金华市', 3273)","('保定市', 1150)","('保定市', 218)","('保定市', 403)","('沈阳市/铁岭市/抚顺市', 293)","('金华市', 278)"
"('广州市', 2934771)","('广州市', 19136092)","('济宁市', 4097254)","('杭州市', 31319523)","('济宁市', 11005136)","('济宁市', 2085043)","('济宁市', 3853442)","('长春市', 2800106)","('杭州市', 2658376)"
"('绍兴市', 33047)","('绍兴市', 215484)","('成都市/资阳市/眉山市', 46138)","('绍兴市', 352677)","('廊坊市', 123925)","('成都市/资阳市/眉山市', 23479)","('廊坊市', 43392)","('天津市', 31531)","('无锡市', 29935)"
