RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
7311,长沙市,444881.2480475266,2458034.855861548,0.0,991863.3405268722,0.0,806821.4084455357,328160.7474026736,3306.211135089574,4482341.158030755,4701600.852881482,4327.7699999999995,0.0,17.0,0.0,0.5483819212327529,1.0489163334785199
760,中山市,1345207.5426677645,17963119.02797203,0.0,7254280.222021186,0.0,5900922.38198933,2400098.806214936,24180.93407340395,32782902.122162934,32463529.17465031,7244.54,0.0,24.0,0.0,0.5479416972003841,0.9902579415842288
851,贵阳市,315937.1760539779,2606225.6772641786,0.0,523209.9568965064,0.0,443333.2877622562,180318.19872113309,1816.7012392239808,2462962.709790312,3888706.0979769193,13938.14,0.0,22.0,0.0,1.0581669251038166,1.5788733148574505
771,南宁市/崇左市,254783.63065815583,1163488.0722833732,0.0,464504.85128601873,0.0,393590.48922473507,160086.169953548,1612.864066965343,2186613.8290263056,2276367.043452283,3348.3199999999997,0.0,11.0,0.0,0.5320958172122564,1.0410466691624027
28,成都市/资阳市/眉山市,1367250.0783731802,5341147.146206181,0.0,1368104.5560534773,0.0,1264626.2477017608,514365.00108544546,5182.214227475292,7025701.376120892,9341128.028334599,23732.879999999994,0.0,31.0,0.0,0.7602297422375207,1.32956519616439
551,合肥市,283385.7481653433,1876086.2636756403,0.0,702552.9517861168,0.0,649414.4758877215,264138.1816975131,2661.1854234322604,3607858.199376231,3511439.439514822,3589.2800000000007,0.0,16.0,0.0,0.52,0.9732753466092212
595,泉州市,477583.7170955282,2608336.307957792,0.0,976764.4526197924,0.0,902885.6450623127,367233.22534740955,3699.8653508325474,5016031.361457293,4965570.122735426,1733.54,0.0,9.0,0.0,0.52,0.9899400073313723
572,湖州市,2886114.47083334,27269275.340513516,0.0,9762052.779095352,0.0,9023687.642343713,3670229.929502023,36977.47264808845,50131598.01302064,48941130.232785925,7682.459999999999,0.0,26.0,0.0,0.5439538419148515,0.9762531451735188
311,石家庄市,1874595.5443947196,13697192.136500126,0.0,3640863.355289293,0.0,3525743.1286948645,1434035.4484290439,14447.870457497194,19587461.82608259,22738394.164879005,14882.55,0.0,34.0,0.0,0.6992836671804509,1.1608647596494939
29,西安市/咸阳市,571380.5650694617,5337503.637310325,0.0,691476.0595179305,0.0,703092.9381237561,285970.9740632259,2881.150247991377,3906071.878465312,7303453.200021474,66580.99999999999,0.0,48.0,0.0,1.3664632406630008,1.8697692790259113
371,郑州市,716338.8988667453,7870966.354653397,0.0,1460154.746805856,0.0,1484685.5171859448,603870.3285233342,6083.978111691067,8248252.873255248,11532145.517511943,7898.7699999999995,0.0,28.0,0.0,0.9542586139877944,1.3981319068071536
24,沈阳市/铁岭市/抚顺市,614912.2295457056,5252094.44013092,0.0,835755.174463157,0.0,944217.7322894733,384044.3417781321,3869.236918810912,5245654.068274851,7646979.576429256,21153.459999999995,0.0,37.0,0.0,1.0012277538267382,1.4577742788411006
711,鄂州市,505358.17832901934,3623567.978286967,0.0,661210.4066812249,0.0,896425.0917100636,364605.50625800935,3673.3911482290273,4980139.398389243,5686561.655007275,5924.45,65744.24,20.0,63.0,0.7276037252007364,1.1418478882029919
