,0,1,2,3,4,5,6,7,8,9,10,11,12
1,湖州市,,,,,,,,,,,,
2,中山市,湖州市,,,,,,,,,,,
3,中山市,湖州市,石家庄市,,,,,,,,,,
4,中山市,成都市/资阳市/眉山市,湖州市,天津市,,,,,,,,,
5,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,沈阳市/铁岭市/抚顺市,,,,,,,,
6,长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,沈阳市/铁岭市/抚顺市,,,,,,,
7,长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,西安市/咸阳市,沈阳市/铁岭市/抚顺市,,,,,,
8,长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,,,,,
9,长沙市,中山市,成都市/资阳市/眉山市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,,,,
10,长沙市,中山市,成都市/资阳市/眉山市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,,,
11,长沙市,中山市,南宁市/崇左市,成都市/资阳市/眉山市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,,
12,长沙市,中山市,贵阳市,南宁市/崇左市,成都市/资阳市/眉山市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,
13,长沙市,中山市,贵阳市,南宁市/崇左市,成都市/资阳市/眉山市,合肥市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
