,CDC_Name,CDC_LAT,CDC_LGT,RDC_Name,RDC_LAT,RDC_LGT,SKU1,SKU10,SKU2,SKU3,SKU4,SKU5,SKU6,SKU7,SKU8,SKU9
广州市,20,23.125178,113.280637,760,22.521113,113.382391,0,0,112985.1504,0,0,0,0,0,18961502.72,0
广州市,20,23.125178,113.280637,28,30.659462,104.065735,0,0,0,211313.1985,0,0,0,461.0337039,0,0
广州市,20,23.125178,113.280637,711,30.396536,114.890593,0,0,0,400727.2475,0,0,0,0,0,0
上海市,21,31.231706,121.472644,572,30.867198,120.102398,0,0,144141.1561,0,0,0,0,0,0,0
上海市,21,31.231706,121.472644,711,30.396536,114.890593,0,0,49845.24326,0,0,0,0,0,0,0
天津市,22,39.125596,117.190182,22,39.125596,117.190182,0,0,0,0,0,0,0,0,0,159221.0051
天津市,22,39.125596,117.190182,24,41.796767,123.429096,0,0,0,0,0,0,0,0,0,30054.35713
沈阳市,24,41.796767,123.429096,24,41.796767,123.429096,0,0,0,0,0,0,0,278.94904,0,0
武汉市,27,30.584355,114.298572,28,30.659462,104.065735,0,0,0,0,0,0,1633756.327,0,0,0
武汉市,27,30.584355,114.298572,22,39.125596,117.190182,0,0,0,0,0,0,5236877.276,0,0,0
武汉市,27,30.584355,114.298572,24,41.796767,123.429096,0,0,0,0,0,0,988506.3832,0,0,0
武汉市,27,30.584355,114.298572,711,30.396536,114.890593,0,0,0,0,0,0,3098200.59,0,0,0
眉山市,28,30.659462,104.065735,28,30.659462,104.065735,0,0,0,0,0,0,0,0,0,49672.41179
石家庄市,311,38.045474,114.502461,28,30.659462,104.065735,0,0,26284.60592,0,0,0,0,0,0,0
石家庄市,311,38.045474,114.502461,22,39.125596,117.190182,0,0,84253.23479,0,0,0,0,0,0,0
石家庄市,311,38.045474,114.502461,24,41.796767,123.429096,0,0,15903.53488,0,0,0,0,0,0,0
保定市,312,38.867657,115.482331,22,39.125596,117.190182,5869715.048,0,0,0,0,0,0,1477.807239,0,0
保定市,312,38.867657,115.482331,24,41.796767,123.429096,1107960.047,0,0,0,0,0,0,0,0,0
廊坊市,316,39.523927,116.704441,22,39.125596,117.190182,0,0,0,0,215397.0551,0,0,0,0,0
廊坊市,316,39.523927,116.704441,24,41.796767,123.429096,0,0,0,0,40658.07783,0,0,0,0,0
长春市,431,43.886841,125.3245,22,39.125596,117.190182,0,0,0,677347.8202,0,0,0,0,0,0
长春市,431,43.886841,125.3245,24,41.796767,123.429096,0,0,0,127855.3246,0,0,0,0,2668978.346,0
无锡市,510,31.574729,120.301663,572,30.867198,120.102398,0,169253.8725,0,0,0,0,0,0,0,0
无锡市,510,31.574729,120.301663,22,39.125596,117.190182,0,98932.09301,0,0,0,0,0,0,0,0
无锡市,510,31.574729,120.301663,24,41.796767,123.429096,0,18674.29773,0,0,0,0,0,0,0,0
无锡市,510,31.574729,120.301663,711,30.396536,114.890593,0,0,0,0,0,0,0,0,0,94197.09226
苏州市,512,31.299379,120.619585,572,30.867198,120.102398,0,0,0,0,0,10266.02777,0,0,0,0
