src_code,dest_code,车型,distance,price
10,20,3,2157.79,0.897456667
10,21,3,1253.77,0.60825
10,22,3,125.72,0.16181
10,23,3,1743.49,0.762326667
10,24,3,751.41,0.439227778
10,25,3,1070.58,0.54542
10,27,3,1212.13,0.59547
10,28,3,1851.31,0.782105556
10,29,3,1152.31,0.545396667
10,310,3,495.54,0.35145
10,311,3,330.42,0.219143333
10,312,3,168.78,0.17649
10,313,3,206.82,0.189683333
10,314,3,250.3,0.207096667
10,315,3,179.83,0.182623333
10,316,3,56.58,0.14322
10,317,3,197.45,0.185823333
10,318,3,323.68,0.215046667
10,319,3,426,0.333793333
10,335,3,309,0.21699
10,349,3,462.5,0.35207
10,350,3,474.24,0.35165
10,351,3,573.68,0.376506667
10,352,3,323.92,0.227753333
10,353,3,433.92,0.33675
10,354,3,591.65,0.3771
10,355,3,634.68,0.39144
10,356,3,770.99,0.429636667
10,357,3,768.08,0.439163333
10,358,3,696.2,0.42046
10,359,3,889.23,0.476223333
10,370,3,744.13,0.428263333
10,371,3,762.37,0.430233333
10,372,3,574.4,0.37296
10,373,3,657.69,0.402186667
10,374,3,821.92,0.463263333
10,375,3,874.24,0.477116667
10,376,3,994.97,0.521443333
10,377,3,1006.15,0.51593
10,378,3,702.78,0.423863333
10,379,3,811.6,0.455916667
10,391,3,744.53,0.424663333
10,392,3,591.31,0.381713333
10,393,3,581.77,0.374493333
10,394,3,826.01,0.463596667
10,395,3,869.89,0.475406667
10,396,3,936.41,0.496906667
10,398,3,1012.94,0.506366667
10,411,3,868.96,0.474923333
10,412,3,691.45,0.42202
10,414,3,745.67,0.43818
10,415,3,911.96,0.482593333
10,416,3,478.62,0.35903
10,417,3,615.45,0.400643333
10,418,3,611.6,0.398016667
10,419,3,708.99,0.423873333
10,421,3,483.64,0.36918
10,427,3,581.07,0.387376667
10,429,3,452.13,0.346716667
10,431,3,1060.32,0.52775
10,432,3,1110.73,0.552626667
10,433,3,1316.97,0.632876667
10,434,3,897.04,0.485496667
10,435,3,1002.01,0.510923333
10,436,3,1052.64,0.566166667
10,437,3,933.99,0.497846667
10,438,3,994.76,0.532073333
10,439,3,1019.81,0.527153333
10,451,3,1318.5,0.63779
10,452,3,1416.02,0.649336667
10,453,3,1420.84,0.65179
10,454,3,1729.07,0.747646667
10,455,3,1371.97,0.657163333
10,456,3,1724.49,0.753566667
10,457,3,2066.64,0.79228
10,458,3,1583.29,0.716573333
10,459,3,1199.82,0.590133333
10,464,3,1627.72,0.710476667
10,467,3,1735.63,0.72338
10,468,3,1683.08,0.744156667
10,469,3,1762.89,0.760486667
10,470,3,1566.58,0.725853333
10,471,3,505.92,0.358806667
10,472,3,660.21,0.405596667
10,473,3,980.42,0.502406667
10,474,3,354.53,0.235403333
10,475,3,797.63,0.444306667
10,476,3,415.81,0.3438
10,477,3,712.27,0.424076667
10,478,3,888.13,0.46871
10,479,3,655.19,0.399113333
10,482,3,1045.94,0.576343333
10,483,3,1203.36,0.54871
10,510,3,1166.67,0.578733333
10,511,3,1079.26,0.545166667
10,512,3,1177.98,0.586576667
10,513,3,1141.56,0.558646667
10,514,3,966.77,0.514183333
10,515,3,945.67,0.502746667
10,516,3,733.25,0.42749
10,517,3,915.09,0.4841
10,518,3,778.9,0.448593333
10,519,3,1128.8,0.564233333
10,52,3,2037.27,0.8625
10,523,3,1051.59,0.534663333
10,527,3,852.98,0.463986667
10,53,3,2255.13,0.91664
10,530,3,647.69,0.400893333
10,531,3,450.03,0.34304
10,532,3,663.32,0.416436667
10,533,3,419.84,0.344123333
10,534,3,304.73,0.21496
10,535,3,743.38,0.43714
10,536,3,512.09,0.374146667
10,537,3,571.93,0.38389
10,538,3,467.82,0.353936667
10,539,3,650.04,0.40761
10,543,3,372.34,0.236636667
10,546,3,446.3,0.346433333
10,550,3,1028.08,0.517833333
10,551,3,1075.69,0.530253333
10,552,3,941.91,0.48947
10,553,3,1203.94,0.581136667
10,554,3,1003.65,0.506856667
10,555,3,1145.03,0.56521
10,556,3,1196.9,0.576656667
10,557,3,864.69,0.46456
10,558,3,836.395,0.460786667
10,559,3,1362.5,0.647623333
10,561,3,755.88,0.440176667
10,562,3,1190.42,0.581266667
10,563,3,1260.49,0.59701
10,564,3,1046.94,0.52657
10,566,3,1305.11,0.61261
10,570,3,1504.5,0.68641
10,571,3,1368.25,0.63356
10,572,3,1271.09,0.60407
10,573,3,1278.01,0.644863333
10,574,3,1434.54,0.68402
10,575,3,1380.93,0.656623333
10,576,3,1506.7,0.706103333
10,577,3,1643.54,0.740053333
10,578,3,1632.5,0.717586667
10,579,3,1480.1,0.67844
10,580,3,1493.44,0.729763333
10,591,3,1933.4,0.821916667
10,592,3,2105.07,0.881206667
10,593,3,1824.94,0.81459
10,594,3,2010.79,0.848853333
10,595,3,2033.67,0.866246667
10,596,3,2091.57,0.88234
10,597,3,1913.91,0.837076667
10,598,3,1855.92,0.80697
10,599,3,1697.52,0.75851
10,631,3,858.04,0.465813333
10,632,3,667.75,0.40916
10,633,3,717.62,0.463783333
10,634,3,525.46,0.367656667
10,635,3,485.16,0.350426667
10,660,3,2252.61,0.933563333
10,662,3,2399.5,0.97215
10,663,3,2179.9,0.90539
10,668,3,2403.43,0.974456667
10,691,3,3191.7,1.218146667
10,692,3,3353.28,1.26479
10,701,3,1524.87,0.687396667
10,710,3,1127.8,0.55407
10,711,3,1219.38,0.601983333
10,712,3,1159.91,0.5683
10,713,3,1200.78,0.591956667
10,714,3,1270.35,0.615616667
10,715,3,1358.95,0.62271
10,716,3,1347.08,0.61811
10,717,3,1371.88,0.628483333
10,718,3,1609.92,0.712243333
10,719,3,1346.7,0.60605
10,722,3,1109.18,0.55104
10,724,3,1259.87,0.592576667
10,728,3,1281.98,0.603065556
10,730,3,1415.05,0.647513333
10,7311,3,1523.3,0.68814
10,7312,3,1602.03,0.705626667
10,7313,3,1661.16,0.716586667
10,734,3,1699.29,0.73813
10,735,3,1813.57,0.774073333
10,736,3,1461.02,0.67033
10,737,3,1576.5,0.70347
10,738,3,1648.56,0.73587
10,739,3,1784.57,0.759683333
10,743,3,1719.8,0.75647
10,744,3,1627.45,0.716433333
10,745,3,1832.88,0.79155
10,746,3,1976.69,0.814966667
10,750,3,2306.62,0.93869
10,751,3,1960.33,0.822303333
10,752,3,2118.38,0.89204
10,753,3,2025.24,0.864873333
10,754,3,2209.91,0.918276667
10,755,3,2194.6,0.91845
10,756,3,2315.81,0.955853333
10,757,3,2207.45,0.909543333
10,758,3,2139.76,0.921186667
10,759,3,2615.58,1.019333333
10,760,3,2252.78,0.92659
10,762,3,2010.95,0.864213333
10,763,3,2075.22,0.870343333
10,766,3,2332.05,0.9245
10,768,3,2269.64,0.92367
10,769,3,2188.4,0.910106667
10,770,3,2611.68,1.012033333
10,771,3,2403.89,0.967196667
10,772,3,2259.64,0.91104
10,773,3,2030,0.847313333
10,774,3,2227.77,0.904686667
10,775,3,2300.99,0.941106667
10,776,3,2594.05,1.015163333
10,777,3,2433,0.972936667
10,778,3,2329.47,0.941413333
10,779,3,2552.79,1.00111
10,790,3,1549.82,0.715456667
10,791,3,1466.31,0.68586
10,792,3,1380.64,0.643243333
10,793,3,1526.51,0.701663333
10,794,3,1645.14,0.73098
10,795,3,1486.85,0.70787
10,796,3,1632.83,0.741306667
10,797,3,1853.73,0.800946667
10,798,3,1397.62,0.648006667
10,799,3,1627.17,0.721386667
10,812,3,2453.73,1.058983333
10,813,3,1989.76,0.812096667
10,816,3,1702.78,0.7337
10,817,3,1745.37,0.742633333
10,818,3,1585.09,0.704866667
10,825,3,1797.65,0.75648
10,826,3,1733.34,0.755006667
