济南市,天津市,中山市,贵阳市,泉州市,湖州市,石家庄市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 1371407)","('保定市', 3724706)","('惠州市', 8825421)","('贵阳市', 776251)","('汕头市', 1279155)","('杭州市', 12460699)","('保定市', 1374584)","('保定市', 2669185)","('保定市', 1291931)","('黄山市', 4427185)"
"('无锡市', 23115)","('无锡市', 62779)","('安庆市', 148750)","('安庆市', 13083)","('安庆市', 21560)","('无锡市', 210021)","('安庆市', 23168)","('安庆市', 44988)","('无锡市', 21775)","('安庆市', 74619)"
"('合肥市', 17298)","('合肥市', 46980)","('中山市', 111315)","('南宁市/崇左市', 9791)","('福州市', 16134)","('苏州市', 157167)","('合肥市', 17338)","('合肥市', 33666)","('合肥市', 16295)","('合肥市', 55840)"
"('德州市', 178369)","('德州市', 484445)","('东莞市', 1147857)","('长沙市', 100961)","('温州市', 166370)","('无锡市', 1620670)","('德州市', 178782)","('德州市', 347161)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 575811)"
"('苏州市', 67178)","('苏州市', 182453)","('珠海市', 432310)","('广州市', 38024)","('福州市', 62659)","('苏州市', 610383)","('苏州市', 67334)","('苏州市', 130749)","('苏州市', 63285)","('苏州市', 216864)"
"('盐城市', 589165)","('盐城市', 1600157)","('肇庆市', 3791455)","('肇庆市', 333482)","('温州市', 549533)","('杭州市', 5353194)","('盐城市', 590530)","('盐城市', 1146698)","('盐城市', 555022)","('杭州市', 1901946)"
"('保定市', 12486)","('保定市', 33912)","('东莞市', 80352)","('东莞市', 7067)","('深圳市', 11646)","('保定市', 113449)","('石家庄市', 12515)","('石家庄市', 24302)","('保定市', 11762)","('石家庄市', 40308)"
"('益阳市', 47436)","('益阳市', 128834)","('深圳市', 305262)","('益阳市', 26850)","('泉州市', 44245)","('泉州市', 431003)","('益阳市', 47545)","('益阳市', 92324)","('益阳市', 44687)","('益阳市', 153132)"
"('石家庄市', 19685)","('石家庄市', 53464)","('广州市', 126679)","('广州市', 11142)","('深圳市', 18361)","('上海市', 178859)","('石家庄市', 19731)","('石家庄市', 38313)","('石家庄市', 18544)","('上海市', 63547)"
"('长春市', 158256)","('长春市', 429820)","('珠海市', 1018428)","('广州市', 89577)","('深圳市', 147611)","('广州市', 1437928)","('长春市', 158623)","('广州市', 308016)","('长春市', 149085)","('广州市', 510884)"
"('济宁市', 50326)","('廊坊市', 136683)","('荆州市', 323861)","('荆州市', 28486)","('绍兴市', 46940)","('无锡市', 457262)","('廊坊市', 50442)","('济宁市', 97949)","('廊坊市', 47409)","('荆州市', 162461)"
"('常州市', 1402)","('常州市', 3808)","('中山市', 9022)","('中山市', 794)","('泉州市', 1308)","('苏州市', 12739)","('常州市', 1405)","('常州市', 2729)","('常州市', 1321)","('常州市', 4526)"
"('武汉市', 1223550)","('武汉市', 3323130)","('东莞市', 7873916)","('东莞市', 692560)","('厦门市', 1141244)","('武汉市', 11117261)","('武汉市', 1226385)","('武汉市', 2381409)","('武汉市', 1152643)","('武汉市', 3949872)"
"('保定市', 345)","('保定市', 938)","('珠海市', 2222)","('广州市', 195)","('泉州市', 322)","('金华市', 3137)","('保定市', 346)","('保定市', 672)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 1115)"
"('济宁市', 3303598)","('济宁市', 8972489)","('广州市', 21259663)","('广州市', 1869920)","('广州市', 3081372)","('杭州市', 30016729)","('济宁市', 3311253)","('济宁市', 6429831)","('长春市', 3112148)","('杭州市', 10664699)"
"('天津市', 37201)","('天津市', 101036)","('绍兴市', 239397)","('成都市/资阳市/眉山市', 21056)","('绍兴市', 34698)","('无锡市', 338007)","('廊坊市', 37287)","('廊坊市', 72404)","('天津市', 35045)","('无锡市', 120091)"
