济南市,天津市,中山市,贵阳市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 1371407)","('保定市', 3724706)","('惠州市', 8825421)","('贵阳市', 767166)","('汕头市', 1279155)","('杭州市', 12460699)","('保定市', 1323071)","('保定市', 1061326)","('保定市', 1630030)","('保定市', 1291931)","('黄山市', 4465612)"
"('无锡市', 23115)","('无锡市', 62779)","('安庆市', 148750)","('安庆市', 12930)","('安庆市', 21560)","('无锡市', 210021)","('安庆市', 22300)","('安庆市', 17888)","('安庆市', 27474)","('无锡市', 21775)","('安庆市', 75266)"
"('合肥市', 17298)","('合肥市', 46980)","('中山市', 111315)","('南宁市/崇左市', 9676)","('福州市', 16134)","('苏州市', 157167)","('合肥市', 16688)","('合肥市', 13387)","('合肥市', 20560)","('合肥市', 16295)","('合肥市', 56325)"
"('德州市', 178369)","('德州市', 484445)","('东莞市', 1147857)","('长沙市', 99780)","('温州市', 166370)","('无锡市', 1620670)","('德州市', 172082)","('德州市', 138039)","('德州市', 212006)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 580809)"
"('苏州市', 67178)","('苏州市', 182453)","('珠海市', 432310)","('广州市', 37579)","('福州市', 62659)","('苏州市', 610383)","('苏州市', 64810)","('苏州市', 51989)","('苏州市', 79846)","('苏州市', 63285)","('苏州市', 218746)"
"('盐城市', 589165)","('盐城市', 1600157)","('肇庆市', 3791455)","('肇庆市', 329579)","('温州市', 549533)","('杭州市', 5353194)","('盐城市', 568399)","('盐城市', 455952)","('盐城市', 700271)","('盐城市', 555022)","('杭州市', 1918455)"
"('保定市', 12486)","('保定市', 33912)","('东莞市', 80352)","('东莞市', 6985)","('深圳市', 11646)","('保定市', 113449)","('石家庄市', 12046)","('石家庄市', 9663)","('石家庄市', 14841)","('保定市', 11762)","('石家庄市', 40658)"
"('益阳市', 47436)","('益阳市', 128834)","('深圳市', 305262)","('益阳市', 26535)","('泉州市', 44245)","('泉州市', 431003)","('益阳市', 45764)","('益阳市', 36710)","('益阳市', 56381)","('益阳市', 44687)","('益阳市', 154461)"
"('石家庄市', 19685)","('石家庄市', 53464)","('广州市', 126679)","('广州市', 11012)","('深圳市', 18361)","('上海市', 178859)","('石家庄市', 18991)","('石家庄市', 15234)","('石家庄市', 23397)","('石家庄市', 18544)","('上海市', 64099)"
"('长春市', 158256)","('长春市', 429820)","('珠海市', 1018428)","('广州市', 88529)","('深圳市', 147611)","('广州市', 1437928)","('长春市', 152678)","('广州市', 122474)","('广州市', 188101)","('长春市', 149085)","('广州市', 515318)"
"('济宁市', 50326)","('廊坊市', 136683)","('荆州市', 323861)","('荆州市', 28152)","('绍兴市', 46940)","('无锡市', 457262)","('廊坊市', 48552)","('荆州市', 38947)","('济宁市', 59816)","('廊坊市', 47409)","('荆州市', 163872)"
"('常州市', 1402)","('常州市', 3808)","('中山市', 9022)","('中山市', 784)","('泉州市', 1308)","('苏州市', 12739)","('常州市', 1353)","('常州市', 1085)","('常州市', 1666)","('常州市', 1321)","('常州市', 4565)"
"('武汉市', 1223550)","('武汉市', 3323130)","('东莞市', 7873916)","('东莞市', 684454)","('厦门市', 1141244)","('武汉市', 11117261)","('武汉市', 1180425)","('武汉市', 946900)","('武汉市', 1454290)","('武汉市', 1152643)","('武汉市', 3984156)"
"('保定市', 345)","('保定市', 938)","('珠海市', 2222)","('广州市', 193)","('泉州市', 322)","('金华市', 3137)","('保定市', 333)","('保定市', 267)","('保定市', 410)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 1124)"
"('济宁市', 3303598)","('济宁市', 8972489)","('广州市', 21259663)","('广州市', 1848035)","('广州市', 3081372)","('杭州市', 30016729)","('济宁市', 3187161)","('济宁市', 2556640)","('济宁市', 3926599)","('长春市', 3112148)","('杭州市', 10757267)"
"('天津市', 37201)","('天津市', 101036)","('绍兴市', 239397)","('成都市/资阳市/眉山市', 20810)","('绍兴市', 34698)","('无锡市', 338007)","('廊坊市', 35889)","('成都市/资阳市/眉山市', 28789)","('廊坊市', 44216)","('天津市', 35045)","('无锡市', 121134)"
