济南市,天津市,中山市,贵阳市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 1329230)","('保定市', 3724706)","('惠州市', 8460346)","('贵阳市', 725649)","('汕头市', 1279155)","('杭州市', 12452320)","('保定市', 1323071)","('保定市', 1061326)","('保定市', 1637455)","('保定市', 1291931)","('黄山市', 4508743)","('贵阳市', 406591)"
"('无锡市', 22404)","('无锡市', 62779)","('安庆市', 142596)","('安庆市', 12231)","('安庆市', 21560)","('无锡市', 209880)","('安庆市', 22300)","('安庆市', 17888)","('安庆市', 27599)","('无锡市', 21775)","('安庆市', 75993)","('安庆市', 6853)"
"('合肥市', 16766)","('合肥市', 46980)","('中山市', 106711)","('南宁市/崇左市', 9153)","('福州市', 16134)","('苏州市', 157061)","('合肥市', 16688)","('合肥市', 13387)","('合肥市', 20653)","('合肥市', 16295)","('合肥市', 56869)","('南宁市/崇左市', 5128)"
"('德州市', 172883)","('德州市', 484445)","('东莞市', 1100374)","('长沙市', 94380)","('温州市', 166370)","('无锡市', 1619580)","('德州市', 172082)","('德州市', 138039)","('德州市', 212972)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 586418)","('东莞市', 52882)"
"('苏州市', 65112)","('苏州市', 182453)","('珠海市', 414427)","('广州市', 35546)","('福州市', 62659)","('苏州市', 609972)","('苏州市', 64810)","('苏州市', 51989)","('苏州市', 80210)","('苏州市', 63285)","('苏州市', 220859)","('广州市', 19917)"
"('盐城市', 571046)","('盐城市', 1600157)","('肇庆市', 3634617)","('肇庆市', 311743)","('温州市', 549533)","('杭州市', 5349594)","('盐城市', 568399)","('盐城市', 455952)","('盐城市', 703461)","('盐城市', 555022)","('杭州市', 1936984)","('肇庆市', 174674)"
"('保定市', 12102)","('保定市', 33912)","('东莞市', 77028)","('东莞市', 6607)","('深圳市', 11646)","('保定市', 113373)","('石家庄市', 12046)","('石家庄市', 9663)","('石家庄市', 14908)","('保定市', 11762)","('石家庄市', 41050)","('东莞市', 3702)"
"('益阳市', 45977)","('益阳市', 128834)","('深圳市', 292635)","('益阳市', 25099)","('泉州市', 44245)","('泉州市', 430713)","('益阳市', 45764)","('益阳市', 36710)","('益阳市', 56638)","('益阳市', 44687)","('益阳市', 155953)","('深圳市', 14064)"
"('石家庄市', 19080)","('石家庄市', 53464)","('广州市', 121439)","('广州市', 10416)","('深圳市', 18361)","('上海市', 178739)","('石家庄市', 18991)","('石家庄市', 15234)","('石家庄市', 23504)","('石家庄市', 18544)","('上海市', 64718)","('广州市', 5836)"
"('长春市', 153389)","('长春市', 429820)","('珠海市', 976299)","('广州市', 83738)","('深圳市', 147611)","('广州市', 1436961)","('长春市', 152678)","('广州市', 122474)","('广州市', 188957)","('长春市', 149085)","('广州市', 520296)","('广州市', 46919)"
"('济宁市', 48778)","('廊坊市', 136683)","('荆州市', 310464)","('荆州市', 26629)","('绍兴市', 46940)","('无锡市', 456955)","('廊坊市', 48552)","('荆州市', 38947)","('济宁市', 60089)","('廊坊市', 47409)","('荆州市', 165454)","('荆州市', 14920)"
"('常州市', 1359)","('常州市', 3808)","('中山市', 8649)","('中山市', 742)","('泉州市', 1308)","('苏州市', 12730)","('常州市', 1353)","('常州市', 1085)","('常州市', 1674)","('常州市', 1321)","('常州市', 4609)","('中山市', 416)"
"('武汉市', 1185921)","('武汉市', 3323130)","('东莞市', 7548202)","('东莞市', 647414)","('厦门市', 1141244)","('武汉市', 11109785)","('武汉市', 1180425)","('武汉市', 946900)","('武汉市', 1460914)","('武汉市', 1152643)","('武汉市', 4022637)","('东莞市', 362755)"
"('保定市', 335)","('保定市', 938)","('珠海市', 2130)","('广州市', 183)","('泉州市', 322)","('金华市', 3135)","('保定市', 333)","('保定市', 267)","('保定市', 412)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 1135)","('广州市', 102)"
"('济宁市', 3201999)","('济宁市', 8972489)","('广州市', 20380230)","('广州市', 1748026)","('广州市', 3081372)","('杭州市', 29996544)","('济宁市', 3187161)","('济宁市', 2556640)","('济宁市', 3944485)","('长春市', 3112148)","('杭州市', 10861165)","('广州市', 979442)"
"('天津市', 36057)","('天津市', 101036)","('绍兴市', 229494)","('成都市/资阳市/眉山市', 19684)","('绍兴市', 34698)","('无锡市', 337780)","('廊坊市', 35889)","('成都市/资阳市/眉山市', 28789)","('廊坊市', 44417)","('天津市', 35045)","('无锡市', 122303)","('成都市/资阳市/眉山市', 11029)"
