济南市,天津市,中山市,贵阳市,合肥市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 1261606)","('保定市', 3792330)","('惠州市', 8426295)","('贵阳市', 716751)","('黄山市', 587737)","('汕头市', 1258377)","('杭州市', 12269862)","('保定市', 1323071)","('保定市', 1061326)","('保定市', 1477622)","('保定市', 1291931)","('黄山市', 4327024)","('贵阳市', 406591)"
"('无锡市', 21264)","('无锡市', 63918)","('安庆市', 142022)","('安庆市', 12081)","('安庆市', 9906)","('安庆市', 21210)","('无锡市', 206804)","('安庆市', 22300)","('安庆市', 17888)","('安庆市', 24905)","('无锡市', 21775)","('安庆市', 72931)","('安庆市', 6853)"
"('合肥市', 15913)","('合肥市', 47833)","('中山市', 106281)","('南宁市/崇左市', 9040)","('合肥市', 7413)","('福州市', 15872)","('苏州市', 154760)","('合肥市', 16688)","('合肥市', 13387)","('合肥市', 18637)","('合肥市', 16295)","('合肥市', 54577)","('南宁市/崇左市', 5128)"
"('德州市', 164088)","('德州市', 493240)","('东莞市', 1095945)","('长沙市', 93222)","('黄山市', 76443)","('温州市', 163668)","('无锡市', 1595849)","('德州市', 172082)","('德州市', 138039)","('德州市', 192183)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 562784)","('东莞市', 52882)"
"('苏州市', 61799)","('苏州市', 185766)","('珠海市', 412759)","('广州市', 35110)","('苏州市', 28790)","('福州市', 61641)","('苏州市', 601035)","('苏州市', 64810)","('苏州市', 51989)","('苏州市', 72381)","('苏州市', 63285)","('苏州市', 211958)","('广州市', 19917)"
"('盐城市', 541994)","('盐城市', 1629208)","('肇庆市', 3619989)","('肇庆市', 307921)","('杭州市', 252495)","('温州市', 540607)","('杭州市', 5271209)","('盐城市', 568399)","('盐城市', 455952)","('盐城市', 634796)","('盐城市', 555022)","('杭州市', 1858916)","('肇庆市', 174674)"
"('保定市', 11486)","('保定市', 34528)","('东莞市', 76718)","('东莞市', 6526)","('石家庄市', 5351)","('深圳市', 11457)","('保定市', 111712)","('石家庄市', 12046)","('石家庄市', 9663)","('石家庄市', 13453)","('保定市', 11762)","('石家庄市', 39396)","('东莞市', 3702)"
"('益阳市', 43638)","('益阳市', 131173)","('深圳市', 291457)","('益阳市', 24792)","('益阳市', 20329)","('泉州市', 43526)","('泉州市', 424402)","('益阳市', 45764)","('益阳市', 36710)","('益阳市', 51109)","('益阳市', 44687)","('益阳市', 149667)","('深圳市', 14064)"
"('石家庄市', 18109)","('石家庄市', 54435)","('广州市', 120950)","('广州市', 10288)","('上海市', 8436)","('深圳市', 18063)","('上海市', 176120)","('石家庄市', 18991)","('石家庄市', 15234)","('石家庄市', 21210)","('石家庄市', 18544)","('上海市', 62110)","('广州市', 5836)"
"('长春市', 145586)","('长春市', 437624)","('珠海市', 972370)","('广州市', 82711)","('广州市', 67823)","('深圳市', 145213)","('广州市', 1415906)","('长春市', 152678)","('广州市', 122474)","('广州市', 170513)","('长春市', 149085)","('广州市', 499326)","('广州市', 46919)"
"('济宁市', 46296)","('廊坊市', 139165)","('荆州市', 309214)","('荆州市', 26302)","('无锡市', 21568)","('绍兴市', 46178)","('无锡市', 450259)","('廊坊市', 48552)","('荆州市', 38947)","('济宁市', 54223)","('廊坊市', 47409)","('荆州市', 158786)","('荆州市', 14920)"
"('常州市', 1290)","('常州市', 3877)","('中山市', 8614)","('中山市', 733)","('常州市', 601)","('泉州市', 1286)","('苏州市', 12544)","('常州市', 1353)","('常州市', 1085)","('常州市', 1511)","('常州市', 1321)","('常州市', 4424)","('中山市', 416)"
"('武汉市', 1125587)","('武汉市', 3383463)","('东莞市', 7517822)","('东莞市', 639475)","('武汉市', 524371)","('厦门市', 1122707)","('武汉市', 10946998)","('武汉市', 1180425)","('武汉市', 946900)","('武汉市', 1318314)","('武汉市', 1152643)","('武汉市', 3860510)","('东莞市', 362755)"
"('保定市', 318)","('保定市', 955)","('珠海市', 2121)","('广州市', 180)","('金华市', 148)","('泉州市', 317)","('金华市', 3089)","('保定市', 333)","('保定市', 267)","('保定市', 372)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 1089)","('广州市', 102)"
"('济宁市', 3039099)","('济宁市', 9135389)","('广州市', 20298205)","('广州市', 1726589)","('杭州市', 1415807)","('广州市', 3031320)","('杭州市', 29557018)","('济宁市', 3187161)","('济宁市', 2556640)","('济宁市', 3559462)","('长春市', 3112148)","('杭州市', 10423420)","('广州市', 979442)"
"('天津市', 34222)","('天津市', 102870)","('绍兴市', 228570)","('成都市/资阳市/眉山市', 19442)","('无锡市', 15943)","('绍兴市', 34135)","('无锡市', 332830)","('廊坊市', 35889)","('成都市/资阳市/眉山市', 28789)","('廊坊市', 40082)","('天津市', 35045)","('无锡市', 117374)","('成都市/资阳市/眉山市', 11029)"
