济南市,天津市,长沙市,中山市,贵阳市,合肥市,泉州市,湖州市,石家庄市,西安市/咸阳市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市,南宁市/崇左市
"('保定市', 985333)","('保定市', 4068603)","('永州市', 197026)","('惠州市', 8410251)","('贵阳市', 716751)","('黄山市', 575376)","('汕头市', 1274422)","('杭州市', 12269862)","('保定市', 1323071)","('保定市', 1061326)","('保定市', 1457228)","('保定市', 1291931)","('黄山市', 4162753)","('贵阳市', 406591)"
"('无锡市', 16607)","('无锡市', 68575)","('安庆市', 3321)","('安庆市', 141752)","('安庆市', 12081)","('安庆市', 9698)","('安庆市', 21480)","('无锡市', 206804)","('安庆市', 22300)","('安庆市', 17888)","('安庆市', 24561)","('无锡市', 21775)","('安庆市', 70162)","('安庆市', 6853)"
"('合肥市', 12428)","('合肥市', 51317)","('合肥市', 2485)","('中山市', 106079)","('南宁市/崇左市', 9040)","('合肥市', 7257)","('福州市', 16074)","('苏州市', 154760)","('合肥市', 16688)","('合肥市', 13387)","('合肥市', 18380)","('合肥市', 16295)","('合肥市', 52505)","('南宁市/崇左市', 5128)"
"('德州市', 128155)","('德州市', 529173)","('长沙市', 25626)","('东莞市', 1093859)","('长沙市', 93222)","('黄山市', 74835)","('温州市', 165755)","('无锡市', 1595849)","('德州市', 172082)","('德州市', 138039)","('德州市', 189531)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 541418)","('东莞市', 52882)"
"('苏州市', 48266)","('苏州市', 199299)","('广州市', 9651)","('珠海市', 411973)","('广州市', 35110)","('苏州市', 28185)","('福州市', 62427)","('苏州市', 601035)","('苏州市', 64810)","('苏州市', 51989)","('苏州市', 71382)","('苏州市', 63285)","('苏州市', 203911)","('广州市', 19917)"
"('盐城市', 423305)","('盐城市', 1747897)","('肇庆市', 84644)","('肇庆市', 3613096)","('肇庆市', 307921)","('杭州市', 247185)","('温州市', 547499)","('杭州市', 5271209)","('盐城市', 568399)","('盐城市', 455952)","('盐城市', 626034)","('盐城市', 555022)","('杭州市', 1788345)","('肇庆市', 174674)"
"('保定市', 8971)","('保定市', 37043)","('东莞市', 1794)","('东莞市', 76572)","('东莞市', 6526)","('石家庄市', 5239)","('深圳市', 11603)","('保定市', 111712)","('石家庄市', 12046)","('石家庄市', 9663)","('石家庄市', 13267)","('保定市', 11762)","('石家庄市', 37900)","('东莞市', 3702)"
"('益阳市', 34082)","('益阳市', 140729)","('益阳市', 6815)","('深圳市', 290902)","('益阳市', 24792)","('益阳市', 19902)","('泉州市', 44081)","('泉州市', 424402)","('益阳市', 45764)","('益阳市', 36710)","('益阳市', 50404)","('益阳市', 44687)","('益阳市', 143985)","('深圳市', 14064)"
"('石家庄市', 14143)","('石家庄市', 58400)","('广州市', 2828)","('广州市', 120720)","('广州市', 10288)","('上海市', 8259)","('深圳市', 18293)","('上海市', 176120)","('石家庄市', 18991)","('石家庄市', 15234)","('石家庄市', 20917)","('石家庄市', 18544)","('上海市', 59752)","('广州市', 5836)"
"('长春市', 113705)","('长春市', 469505)","('广州市', 22736)","('珠海市', 970518)","('广州市', 82711)","('广州市', 66397)","('深圳市', 147065)","('广州市', 1415906)","('长春市', 152678)","('广州市', 122474)","('广州市', 168160)","('长春市', 149085)","('广州市', 480369)","('广州市', 46919)"
"('济宁市', 36158)","('廊坊市', 149303)","('荆州市', 7230)","('荆州市', 308625)","('荆州市', 26302)","('无锡市', 21114)","('绍兴市', 46767)","('无锡市', 450259)","('廊坊市', 48552)","('荆州市', 38947)","('济宁市', 53475)","('廊坊市', 47409)","('荆州市', 152758)","('荆州市', 14920)"
"('常州市', 1007)","('常州市', 4159)","('中山市', 201)","('中山市', 8598)","('中山市', 733)","('常州市', 588)","('泉州市', 1303)","('苏州市', 12544)","('常州市', 1353)","('常州市', 1085)","('常州市', 1490)","('常州市', 1321)","('常州市', 4256)","('中山市', 416)"
"('武汉市', 879101)","('武汉市', 3629950)","('武汉市', 175784)","('东莞市', 7503508)","('东莞市', 639475)","('武汉市', 513342)","('厦门市', 1137021)","('武汉市', 10946998)","('武汉市', 1180425)","('武汉市', 946900)","('武汉市', 1300118)","('武汉市', 1152643)","('武汉市', 3713950)","('东莞市', 362755)"
"('保定市', 248)","('保定市', 1024)","('广州市', 50)","('珠海市', 2117)","('广州市', 180)","('金华市', 145)","('泉州市', 321)","('金华市', 3089)","('保定市', 333)","('保定市', 267)","('保定市', 367)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 1048)","('广州市', 102)"
"('济宁市', 2373582)","('济宁市', 9800906)","('广州市', 474618)","('广州市', 20259556)","('广州市', 1726589)","('杭州市', 1386030)","('广州市', 3069970)","('杭州市', 29557018)","('济宁市', 3187161)","('济宁市', 2556640)","('济宁市', 3510333)","('长春市', 3112148)","('杭州市', 10027707)","('广州市', 979442)"
"('天津市', 26728)","('天津市', 110364)","('绍兴市', 5344)","('绍兴市', 228135)","('成都市/资阳市/眉山市', 19442)","('无锡市', 15608)","('绍兴市', 34570)","('无锡市', 332830)","('廊坊市', 35889)","('成都市/资阳市/眉山市', 28789)","('廊坊市', 39529)","('天津市', 35045)","('无锡市', 112918)","('成都市/资阳市/眉山市', 11029)"
