中山市,湖州市
"('惠州市', 12120873)","('杭州市', 26079649)"
"('安庆市', 204293)","('无锡市', 439564)"
"('中山市', 152881)","('苏州市', 328943)"
"('东莞市', 1576471)","('无锡市', 3391985)"
"('珠海市', 593737)","('苏州市', 1277502)"
"('肇庆市', 5207202)","('杭州市', 11203979)"
"('东莞市', 110355)","('保定市', 237444)"
"('深圳市', 419249)","('泉州市', 902068)"
"('广州市', 173982)","('上海市', 374344)"
"('珠海市', 1398713)","('广州市', 3009515)"
"('荆州市', 444792)","('无锡市', 957028)"
"('中山市', 12391)","('苏州市', 26662)"
"('东莞市', 10814073)","('武汉市', 23267896)"
"('珠海市', 3052)","('金华市', 6566)"
"('广州市', 29198118)","('杭州市', 62823582)"
"('绍兴市', 328789)","('无锡市', 707433)"
