中山市,湖州市,石家庄市
"('惠州市', 12070406)","('杭州市', 16313242)","('保定市', 9816875)"
"('安庆市', 203443)","('无锡市', 274954)","('安庆市', 165460)"
"('中山市', 152244)","('苏州市', 205759)","('合肥市', 123821)"
"('东莞市', 1569908)","('无锡市', 2121741)","('德州市', 1276808)"
"('珠海市', 591264)","('苏州市', 799098)","('苏州市', 480876)"
"('肇庆市', 5185521)","('杭州市', 7008270)","('盐城市', 4217390)"
"('东莞市', 109896)","('保定市', 148525)","('石家庄市', 89379)"
"('深圳市', 417503)","('泉州市', 564258)","('益阳市', 339556)"
"('广州市', 173257)","('上海市', 234158)","('石家庄市', 140910)"
"('珠海市', 1392889)","('广州市', 1882500)","('长春市', 1132838)"
"('荆州市', 442940)","('无锡市', 598636)","('廊坊市', 360243)"
"('中山市', 12340)","('苏州市', 16677)","('常州市', 10036)"
"('东莞市', 10769047)","('武汉市', 14554445)","('武汉市', 8758478)"
"('珠海市', 3039)","('金华市', 4107)","('保定市', 2472)"
"('广州市', 29076547)","('杭州市', 39297165)","('济宁市', 23647989)"
"('绍兴市', 327420)","('无锡市', 442511)","('廊坊市', 266291)"
