天津市,中山市,湖州市,鄂州市
"('保定市', 7541369)","('惠州市', 10422515)","('杭州市', 13891807)","('黄山市', 6344831)"
"('无锡市', 127107)","('安庆市', 175668)","('无锡市', 234142)","('安庆市', 106940)"
"('合肥市', 95119)","('中山市', 131459)","('苏州市', 175218)","('合肥市', 80028)"
"('德州市', 980849)","('东莞市', 1355579)","('无锡市', 1806804)","('长沙市', 825225)"
"('苏州市', 369411)","('珠海市', 510543)","('苏州市', 680485)","('苏州市', 310799)"
"('盐城市', 3239819)","('肇庆市', 4477577)","('杭州市', 5968007)","('杭州市', 2725779)"
"('保定市', 68661)","('东莞市', 94893)","('保定市', 126479)","('石家庄市', 57767)"
"('益阳市', 260848)","('深圳市', 360504)","('泉州市', 480503)","('益阳市', 219461)"
"('石家庄市', 108248)","('广州市', 149604)","('上海市', 199401)","('上海市', 91073)"
"('长春市', 870252)","('珠海市', 1202728)","('广州市', 1603074)","('广州市', 732175)"
"('廊坊市', 276741)","('荆州市', 382468)","('无锡市', 509778)","('荆州市', 232832)"
"('常州市', 7710)","('中山市', 10655)","('苏州市', 14202)","('常州市', 6486)"
"('武汉市', 6728303)","('东莞市', 9298821)","('武汉市', 12394075)","('武汉市', 5660769)"
"('保定市', 1899)","('珠海市', 2624)","('金华市', 3498)","('金华市', 1597)"
"('济宁市', 18166495)","('广州市', 25106922)","('杭州市', 33464142)","('杭州市', 15284141)"
"('天津市', 204566)","('绍兴市', 282720)","('无锡市', 376827)","('无锡市', 172109)"
