天津市,中山市,湖州市,郑州市,鄂州市
"('保定市', 6260406)","('惠州市', 10413808)","('杭州市', 13740778)","('保定市', 3905524)","('黄山市', 3880006)"
"('无锡市', 105517)","('安庆市', 175521)","('无锡市', 231596)","('安庆市', 65826)","('安庆市', 65396)"
"('合肥市', 78963)","('中山市', 131350)","('苏州市', 173313)","('合肥市', 49260)","('合肥市', 48939)"
"('德州市', 814244)","('东莞市', 1354446)","('无锡市', 1787160)","('德州市', 507962)","('长沙市', 504643)"
"('苏州市', 306664)","('珠海市', 510117)","('苏州市', 673087)","('苏州市', 191311)","('苏州市', 190061)"
"('盐城市', 2689509)","('肇庆市', 4473837)","('杭州市', 5903123)","('盐城市', 1677837)","('杭州市', 1666875)"
"('保定市', 56998)","('东莞市', 94813)","('保定市', 125104)","('石家庄市', 35558)","('石家庄市', 35326)"
"('益阳市', 216541)","('深圳市', 360203)","('泉州市', 475279)","('益阳市', 135088)","('益阳市', 134205)"
"('石家庄市', 89861)","('广州市', 149479)","('上海市', 197234)","('石家庄市', 56059)","('上海市', 55693)"
"('长春市', 722432)","('珠海市', 1201723)","('广州市', 1585645)","('广州市', 450686)","('广州市', 447741)"
"('廊坊市', 229734)","('荆州市', 382149)","('无锡市', 504236)","('济宁市', 143318)","('荆州市', 142382)"
"('常州市', 6400)","('中山市', 10646)","('苏州市', 14047)","('常州市', 3993)","('常州市', 3967)"
"('武汉市', 5585446)","('东莞市', 9291054)","('武汉市', 12259329)","('武汉市', 3484454)","('武汉市', 3461687)"
"('保定市', 1576)","('珠海市', 2622)","('金华市', 3459)","('保定市', 983)","('金华市', 977)"
"('济宁市', 15080767)","('广州市', 25085949)","('杭州市', 33100326)","('济宁市', 9408065)","('杭州市', 9346593)"
"('天津市', 169819)","('绍兴市', 282483)","('无锡市', 372730)","('廊坊市', 105941)","('无锡市', 105248)"
