天津市,中山市,湖州市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 4983755)","('惠州市', 10256510)","('杭州市', 13692825)","('保定市', 3863532)","('保定市', 1276651)","('黄山市', 4127249)"
"('无锡市', 84000)","('安庆市', 172870)","('无锡市', 230788)","('安庆市', 65119)","('无锡市', 21518)","('安庆市', 69563)"
"('合肥市', 62860)","('中山市', 129366)","('苏州市', 172708)","('合肥市', 48731)","('合肥市', 16102)","('合肥市', 52057)"
"('德州市', 648200)","('东莞市', 1333988)","('无锡市', 1780923)","('德州市', 502501)","('沈阳市/铁岭市/抚顺市', 166044)","('长沙市', 536800)"
"('苏州市', 244127)","('珠海市', 502411)","('苏州市', 670738)","('苏州市', 189254)","('苏州市', 62536)","('苏州市', 202172)"
"('盐城市', 2141052)","('肇庆市', 4406260)","('杭州市', 5882523)","('盐城市', 1659797)","('盐城市', 548457)","('杭州市', 1773092)"
"('保定市', 45375)","('东莞市', 93381)","('保定市', 124667)","('石家庄市', 35176)","('保定市', 11623)","('石家庄市', 37577)"
"('益阳市', 172383)","('深圳市', 354762)","('泉州市', 473621)","('益阳市', 133636)","('益阳市', 44158)","('益阳市', 142757)"
"('石家庄市', 71536)","('广州市', 147221)","('上海市', 196545)","('石家庄市', 55457)","('石家庄市', 18325)","('上海市', 59242)"
"('长春市', 575111)","('珠海市', 1183571)","('广州市', 1580112)","('广州市', 445840)","('长春市', 147322)","('广州市', 476272)"
"('廊坊市', 182886)","('荆州市', 376376)","('无锡市', 502477)","('济宁市', 141777)","('廊坊市', 46848)","('荆州市', 151455)"
"('常州市', 5095)","('中山市', 10485)","('苏州市', 13998)","('常州市', 3950)","('常州市', 1305)","('常州市', 4219)"
"('武汉市', 4446436)","('东莞市', 9150714)","('武汉市', 12216546)","('武汉市', 3446989)","('武汉市', 1139010)","('武汉市', 3682273)"
"('保定市', 1255)","('珠海市', 2582)","('金华市', 3447)","('保定市', 973)","('沈阳市/铁岭市/抚顺市', 321)","('金华市', 1039)"
"('济宁市', 12005427)","('广州市', 24707032)","('杭州市', 32984812)","('济宁市', 9306909)","('长春市', 3075340)","('杭州市', 9942180)"
"('天津市', 135189)","('绍兴市', 278217)","('无锡市', 371430)","('廊坊市', 104802)","('天津市', 34630)","('无锡市', 111955)"
