天津市,中山市,泉州市,湖州市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 4983755)","('惠州市', 9394858)","('汕头市', 1308578)","('杭州市', 13230085)","('保定市', 3801239)","('保定市', 1276651)","('黄山市', 4205356)"
"('无锡市', 84000)","('安庆市', 158347)","('安庆市', 22056)","('无锡市', 222989)","('安庆市', 64069)","('无锡市', 21518)","('安庆市', 70880)"
"('合肥市', 62860)","('中山市', 118498)","('福州市', 16505)","('苏州市', 166871)","('合肥市', 47945)","('合肥市', 16102)","('合肥市', 53042)"
"('德州市', 648200)","('东莞市', 1221919)","('温州市', 170197)","('无锡市', 1720738)","('德州市', 494399)","('沈阳市/铁岭市/抚顺市', 166044)","('长沙市', 546959)"
"('苏州市', 244127)","('珠海市', 460204)","('福州市', 64100)","('苏州市', 648071)","('苏州市', 186202)","('苏州市', 62536)","('苏州市', 205998)"
"('盐城市', 2141052)","('肇庆市', 4036089)","('温州市', 562173)","('杭州市', 5683727)","('盐城市', 1633036)","('盐城市', 548457)","('杭州市', 1806647)"
"('保定市', 45375)","('东莞市', 85536)","('深圳市', 11914)","('保定市', 120454)","('石家庄市', 34609)","('保定市', 11623)","('石家庄市', 38288)"
"('益阳市', 172383)","('深圳市', 324958)","('泉州市', 45262)","('泉州市', 457615)","('益阳市', 131481)","('益阳市', 44158)","('益阳市', 145459)"
"('石家庄市', 71536)","('广州市', 134853)","('深圳市', 18783)","('上海市', 189903)","('石家庄市', 54563)","('石家庄市', 18325)","('上海市', 60363)"
"('长春市', 575111)","('珠海市', 1084139)","('深圳市', 151006)","('广州市', 1526713)","('广州市', 438652)","('长春市', 147322)","('广州市', 485286)"
"('廊坊市', 182886)","('荆州市', 344757)","('绍兴市', 48020)","('无锡市', 485496)","('济宁市', 139492)","('廊坊市', 46848)","('荆州市', 154321)"
"('常州市', 5095)","('中山市', 9604)","('泉州市', 1338)","('苏州市', 13525)","('常州市', 3886)","('常州市', 1305)","('常州市', 4299)"
"('武汉市', 4446436)","('东莞市', 8381960)","('厦门市', 1167495)","('武汉市', 11803696)","('武汉市', 3391412)","('武汉市', 1139010)","('武汉市', 3751960)"
"('保定市', 1255)","('珠海市', 2365)","('泉州市', 329)","('金华市', 3331)","('保定市', 957)","('沈阳市/铁岭市/抚顺市', 321)","('金华市', 1059)"
"('济宁市', 12005427)","('广州市', 22631387)","('广州市', 3152250)","('杭州市', 31870112)","('济宁市', 9156850)","('长春市', 3075340)","('杭州市', 10130333)"
"('天津市', 135189)","('绍兴市', 254843)","('绍兴市', 35496)","('无锡市', 358877)","('廊坊市', 103112)","('天津市', 34630)","('无锡市', 114074)"
