天津市,中山市,贵阳市,泉州市,湖州市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 5051379)","('惠州市', 8848171)","('贵阳市', 798792)","('汕头市', 1279155)","('杭州市', 13162461)","('保定市', 3795066)","('保定市', 1276651)","('黄山市', 3988847)"
"('无锡市', 85139)","('安庆市', 149133)","('安庆市', 13463)","('安庆市', 21560)","('无锡市', 221849)","('安庆市', 63965)","('无锡市', 21518)","('安庆市', 67231)"
"('合肥市', 63713)","('中山市', 111602)","('南宁市/崇左市', 10075)","('福州市', 16134)","('苏州市', 166018)","('合肥市', 47867)","('合肥市', 16102)","('合肥市', 50311)"
"('德州市', 656995)","('东莞市', 1150815)","('长沙市', 103893)","('温州市', 166370)","('无锡市', 1711943)","('德州市', 493596)","('沈阳市/铁岭市/抚顺市', 166044)","('长沙市', 518800)"
"('苏州市', 247440)","('珠海市', 433424)","('广州市', 39129)","('福州市', 62659)","('苏州市', 644758)","('苏州市', 185900)","('苏州市', 62536)","('苏州市', 195392)"
"('盐城市', 2170104)","('肇庆市', 3801229)","('肇庆市', 343166)","('温州市', 549533)","('杭州市', 5654675)","('盐城市', 1630384)","('盐城市', 548457)","('杭州市', 1713633)"
"('保定市', 45991)","('东莞市', 80559)","('东莞市', 7273)","('深圳市', 11646)","('保定市', 119839)","('石家庄市', 34552)","('保定市', 11623)","('石家庄市', 36317)"
"('益阳市', 174722)","('深圳市', 306049)","('益阳市', 27629)","('泉州市', 44245)","('泉州市', 455276)","('益阳市', 131267)","('益阳市', 44158)","('益阳市', 137970)"
"('石家庄市', 72507)","('广州市', 127006)","('广州市', 11466)","('深圳市', 18361)","('上海市', 188933)","('石家庄市', 54474)","('石家庄市', 18325)","('上海市', 57255)"
"('长春市', 582914)","('珠海市', 1021053)","('广州市', 92178)","('深圳市', 147611)","('广州市', 1518909)","('广州市', 437939)","('长春市', 147322)","('广州市', 460301)"
"('廊坊市', 185367)","('荆州市', 324695)","('荆州市', 29313)","('绍兴市', 46940)","('无锡市', 483014)","('济宁市', 139265)","('廊坊市', 46848)","('荆州市', 146376)"
"('常州市', 5164)","('中山市', 9046)","('中山市', 817)","('泉州市', 1308)","('苏州市', 13456)","('常州市', 3880)","('常州市', 1305)","('常州市', 4078)"
"('武汉市', 4506769)","('东莞市', 7894214)","('东莞市', 712671)","('厦门市', 1141244)","('武汉市', 11743363)","('武汉市', 3385905)","('武汉市', 1139010)","('武汉市', 3558793)"
"('保定市', 1272)","('珠海市', 2228)","('广州市', 201)","('泉州市', 322)","('金华市', 3314)","('保定市', 955)","('沈阳市/铁岭市/抚顺市', 321)","('金华市', 1004)"
"('济宁市', 12168327)","('广州市', 21314466)","('广州市', 1924220)","('广州市', 3081372)","('杭州市', 31707212)","('济宁市', 9141980)","('长春市', 3075340)","('杭州市', 9608782)"
"('天津市', 137023)","('绍兴市', 240014)","('成都市/资阳市/眉山市', 21668)","('绍兴市', 34698)","('无锡市', 357043)","('廊坊市', 102944)","('天津市', 34630)","('无锡市', 108201)"
