天津市,中山市,贵阳市,泉州市,湖州市,石家庄市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('保定市', 4435995)","('惠州市', 8848171)","('贵阳市', 798792)","('汕头市', 1279155)","('杭州市', 12784013)","('保定市', 1374584)","('保定市', 3035865)","('保定市', 1276651)","('黄山市', 4367295)"
"('无锡市', 74767)","('安庆市', 149133)","('安庆市', 13463)","('安庆市', 21560)","('无锡市', 215470)","('安庆市', 23168)","('安庆市', 51168)","('无锡市', 21518)","('安庆市', 73609)"
"('合肥市', 55951)","('中山市', 111602)","('南宁市/崇左市', 10075)","('福州市', 16134)","('苏州市', 161245)","('合肥市', 17338)","('合肥市', 38291)","('合肥市', 16102)","('合肥市', 55085)"
"('德州市', 576957)","('东莞市', 1150815)","('长沙市', 103893)","('温州市', 166370)","('无锡市', 1662721)","('德州市', 178782)","('德州市', 394852)","('沈阳市/铁岭市/抚顺市', 166044)","('长沙市', 568021)"
"('苏州市', 217296)","('珠海市', 433424)","('广州市', 39129)","('福州市', 62659)","('苏州市', 626220)","('苏州市', 67334)","('苏州市', 148711)","('苏州市', 62536)","('苏州市', 213930)"
"('盐城市', 1905731)","('肇庆市', 3801229)","('肇庆市', 343166)","('温州市', 549533)","('杭州市', 5492091)","('盐城市', 590530)","('盐城市', 1304227)","('盐城市', 548457)","('杭州市', 1876217)"
"('保定市', 40388)","('东莞市', 80559)","('东莞市', 7273)","('深圳市', 11646)","('保定市', 116393)","('石家庄市', 12515)","('石家庄市', 27640)","('保定市', 11623)","('石家庄市', 39762)"
"('益阳市', 153436)","('深圳市', 306049)","('益阳市', 27629)","('泉州市', 44245)","('泉州市', 442186)","('益阳市', 47545)","('益阳市', 105007)","('益阳市', 44158)","('益阳市', 151060)"
"('石家庄市', 63674)","('广州市', 127006)","('广州市', 11466)","('深圳市', 18361)","('上海市', 183500)","('石家庄市', 19731)","('石家庄市', 43576)","('石家庄市', 18325)","('上海市', 62688)"
"('长春市', 511901)","('珠海市', 1021053)","('广州市', 92178)","('深圳市', 147611)","('广州市', 1475237)","('长春市', 158623)","('广州市', 350330)","('长春市', 147322)","('广州市', 503973)"
"('廊坊市', 162785)","('荆州市', 324695)","('荆州市', 29313)","('绍兴市', 46940)","('无锡市', 469126)","('廊坊市', 50442)","('济宁市', 111405)","('廊坊市', 46848)","('荆州市', 160264)"
"('常州市', 4535)","('中山市', 9046)","('中山市', 817)","('泉州市', 1308)","('苏州市', 13069)","('常州市', 1405)","('常州市', 3104)","('常州市', 1305)","('常州市', 4465)"
"('武汉市', 3957732)","('东莞市', 7894214)","('东莞市', 712671)","('厦门市', 1141244)","('武汉市', 11405717)","('武汉市', 1226385)","('武汉市', 2708556)","('武汉市', 1139010)","('武汉市', 3896439)"
"('保定市', 1117)","('珠海市', 2228)","('广州市', 201)","('泉州市', 322)","('金华市', 3219)","('保定市', 346)","('保定市', 764)","('沈阳市/铁岭市/抚顺市', 321)","('金华市', 1100)"
"('济宁市', 10685922)","('广州市', 21314466)","('广州市', 1924220)","('广州市', 3081372)","('杭州市', 30795564)","('济宁市', 3311253)","('济宁市', 7313133)","('长春市', 3075340)","('杭州市', 10520430)"
"('天津市', 120330)","('绍兴市', 240014)","('成都市/资阳市/眉山市', 21668)","('绍兴市', 34698)","('无锡市', 346777)","('廊坊市', 37287)","('廊坊市', 82350)","('天津市', 34630)","('无锡市', 118467)"
