RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
531,济南市,411343.599377053,2691778.840971142,151385.3066988882,2155379.921899242,385013.6123730121,429295.2283761221,1333222.4443577095,0.0,918327.5357119362,372317.964229034,4273.148860120864,5101819.64284409,5372624.04941691,410.08,1021.1399999999999,2.0,4.0,0.6117570372611941,1.0530799647048783
22,天津市,2258496.8788573067,18982205.55553499,850230.0309599227,15448371.720810108,2683603.803764956,385003.3438287768,4446421.691484786,0.0,3791924.5884610317,1537361.7673255608,17644.53052176502,21066247.7136724,27605555.17930958,3235.2999999999997,232.43,12.0,3.0,0.919347819440767,1.3104163377606657
7311,长沙市,97287.04492921369,0.0,0.0,0.0,0.0,132475.70070931234,256335.9118220842,0.0,183627.52615127998,74448.1941947389,854.4530394069474,1020152.9230626666,572439.1386826765,0.0,204.37,0.0,2.0,0.1298586689450426,0.5611307145639697
760,中山市,1890914.132859656,33227484.126180965,1787636.5950162366,25996576.938955095,5443270.592209633,765167.3180982221,10941957.958899887,0.0,7838326.892872724,3177896.5545812594,36473.193196332955,43546260.515959576,52772936.2960518,8795.2,1785.81,27.0,10.0,0.7806101153466664,1.2118821609655936
851,贵阳市,463128.7766365946,1518689.369841583,195656.3300564946,986460.4314308175,336572.6083542708,249335.50615905857,895211.0854848153,0.0,668009.3605914409,270831.3488917975,3108.371824600053,3711163.114396895,3331245.322076898,14071.98,928.1600000000001,19.0,3.0,0.4764072129144249,0.8976283767085949
551,合肥市,232777.22807565398,1697560.2766729922,64520.12080609062,1378444.792927995,254595.3629389066,185598.13834616006,658749.880939076,0.0,536248.6443589398,217411.5398091777,2495.2647005268027,2979159.135327444,3078156.940317168,143.43,476.78,2.0,3.0,0.6321107163052474,1.0332301164499031
595,泉州市,598520.2074049766,4719761.406249108,234058.8916244974,3732532.074061887,753170.4405627239,237917.7393094488,1459089.359731676,0.0,1187756.8615864818,481552.82239480095,5526.853635347258,6598649.231036011,7604525.366876714,1113.28,1028.83,7.0,6.0,0.751317272971666,1.1524366731163216
572,湖州市,3596357.4946012218,45746347.15998736,2956635.419125538,35734282.744934894,7055428.995926932,1303859.4792667842,14047803.121997654,0.0,11435471.3349682,4636288.515659166,53211.37546211232,63530396.30537891,72533481.09621999,10451.460000000001,2852.16,33.0,14.0,0.7405936272314826,1.1417130273761384
311,石家庄市,664634.977790443,3782675.257529017,364907.3867164038,2687817.4304949967,729950.4403176164,305038.6970799977,1445934.0246223477,0.0,1233097.7945159785,499935.4181333334,5737.833431041063,6850543.302866546,6766745.773747341,12701.3,1840.5799999999997,24.0,5.0,0.5966992359421404,0.9877677542620391
29,西安市/咸阳市,797264.2042934893,8668545.849544875,600200.2816191615,7007023.823521391,1061321.7444043232,441799.99992960924,1104649.9772367629,0.0,989151.9936730679,401032.35749316565,4602.7082384865125,5495288.8537392635,11204147.820384314,72436.59000000001,4859.165,42.0,5.0,1.657846583128266,2.0388642196234077
371,郑州市,672770.9782018004,4375214.752017105,331731.500272821,3207142.7902506273,836340.4614936567,183356.23260139048,1516713.2818623914,0.0,1358131.5326122078,550627.9053098662,6319.638674426631,7545175.181178929,7433415.799093095,8221.29,176.28,25.0,2.0,0.6041703307286527,0.9851879672237945
24,沈阳市/铁岭市/抚顺市,879235.9687761168,5342446.95115123,415544.07057592255,4184116.3117103623,742786.5688649457,252087.5932283983,1210201.98293993,0.0,1204075.4274505428,488168.8662194427,5602.786958055231,6689307.930280799,8008811.954770101,21926.139999999996,1334.6166666999998,38.0,3.0,0.8363398131299339,1.1972556859755614
711,鄂州市,2043581.788490148,15294980.730862737,2332986.354142677,10313674.570652787,2648319.806067272,165749.85865647276,3249510.90186986,0.0,3879672.6001084745,1572937.4849113282,18052.838343721443,21553736.667269308,22589914.091497544,60890.28,777.79,83.0,2.0,0.7173109158838937,1.0480741432552498
771,南宁市/崇左市,230006.4879016935,989464.3797742181,90537.1073368185,650055.6431685098,248871.6292688898,74078.26625130614,507826.2454550107,0.0,378941.5602848987,153634.45481101607,1763.2855744965648,2105230.8904716596,1950310.4517654334,6430.0,25.0,10.0,1.0,0.5051904999300321,0.926411663724202
